filename,Numeric numbers,mean_r,mean_g,mean_b,median_r,median_g,median_b,mean_h,mean_s,mean_v,median_h,median_s,median_v,mean_gray,median_gray,contrast,energy,homogeneity,entropy,RI,CI,HI,SI,lab_L,lab_a,lab_b,luv_L,luv_u,luv_v,xyz_X,xyz_Y,xyz_Z,image_path,image_no,soc,moisture,soil_type,Sample_No,Mahalanobis_Distance,Is_Outlier
1.jpg,1,175.0611647,153.9672951,118.6085379,176.0,155.0,120,18.75470344,84.94441566,175.0611647,19,82,176.0,0.611374024,0.615179216,1213.420203,0.009752586,0.038490781,13.72292041,1.972764976,0.486021303,2.197575423,1.759089272,64.59991636,2.40229347,21.45497656,64.59991636,15.48869645,27.86801386,0.325496549,0.335451552,0.220850794,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/1.jpg,1,1.17,12.26,1,1,7.972829137534602,True
2.jpg,2,152.3463409,152.9035196,147.1570671,154.0,154.0,149,40.57894212,14.80616231,153.8462213,35,11,155.0,0.597532549,0.603341176,1704.740431,0.00735102,0.034905718,14.4546475,1.733744044,2.680959198,28.42619915,0.876165248,62.9870113,-1.293673928,2.947870788,62.9870113,0.00108531,4.40753248,0.296668479,0.315713444,0.321914859,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/2.jpg,2,7.76,78.27,1,2,24.248746255982994,True
8.jpg,8,159.7197066,150.7820871,137.987783,172.0,162.0,149,18.08529974,41.48702567,159.7271205,17,35,172.0,0.595132792,0.6383,2139.67705,0.007419153,0.032563645,14.55946659,2.024659441,0.199019032,2.495587095,0.416161572,62.79608275,1.015829051,7.920315689,62.79608275,6.076190362,10.84547315,0.300586399,0.313429533,0.284995633,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/8.jpg,8,3.68,75.84,1,5,12.550149771156201,True
9.jpg,9,158.3760364,154.2080875,145.8715322,169.0,165.0,156,21.19650829,24.55329241,158.4427415,21,20,169.0,0.605853769,0.647579608,2148.514334,0.007488472,0.033124927,14.53656757,1.945503379,0.291431495,2.587687309,0.26011119,63.80208726,-0.015909736,4.911565953,63.80208726,2.911199041,6.946397584,0.309418969,0.325588296,0.317884384,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/9.jpg,9,3.68,75.84,1,5,16.781054976288104,True
10.jpg,10,149.862225,143.4309829,133.0773677,154.0,147.0,136,19.14752073,34.84111926,149.878966,18,29,154.0,0.564906377,0.579156078,2308.421705,0.006624562,0.030185976,14.73497902,1.802212838,0.218381124,2.282613833,0.363011025,59.83581799,0.492981021,6.354536191,59.83581799,4.397203495,8.71901753,0.266778627,0.279414641,0.261998312,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/10.jpg,10,4.43,69.63,1,6,10.847175394738633,True
11.jpg,11,150.7805724,139.4445751,123.9989636,155.0,144.0,128,17.41107302,54.15603077,150.7835021,17,45,155.0,0.551920964,0.569661176,2661.37504,0.006606736,0.027828595,14.77236308,2.054358135,0.269885757,2.541745334,0.604913626,58.61001589,1.544412824,9.790854304,58.61001589,7.764245388,13.02560627,0.256565216,0.266083185,0.228473536,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/11.jpg,11,4.43,69.63,1,6,7.890538994505545,True
21.jpg,21,166.1862643,149.1811224,120.2977718,168.0,151.0,122,18.82166773,70.83155293,166.1862643,19,70,168.0,0.591028335,0.596449412,82.8377042,0.025599336,0.141490247,11.08751048,1.24200047,0.419448626,2.192084093,2.029234936,62.54443854,1.68705909,17.57786638,62.54443854,12.32784001,23.11474368,0.299493285,0.310436195,0.222734693,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/21.jpg,21,1.38,0.0,1,1,15.336488264892617,True
22.jpg,22,181.8084742,158.9194037,124.6163704,183.0,160.0,125,18.09255421,80.50384646,181.8084742,18,80,183.0,0.632588559,0.635597647,111.9607423,0.028092089,0.121729534,10.83582761,1.725655705,0.309847009,2.34086997,1.587797139,66.64391525,3.206353769,21.02813889,66.64391525,16.57834786,27.44198474,0.353078951,0.361625197,0.243884735,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/22.jpg,22,1.48,0.0,1,2,14.696512364323246,True
24.jpg,24,158.5030094,143.6313576,102.8680843,161.0,146.0,105,22.04938616,91.06736288,158.5030094,22,88,161.0,0.564127653,0.57289098,502.7068386,0.015317567,0.061815391,12.53864255,1.998514029,0.471849166,1.733323264,2.653307889,60.00851092,-0.738260143,23.72613802,60.00851092,11.73862631,30.4579868,0.265590117,0.281327836,0.168247543,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/24.jpg,24,1.48,0.0,1,2,7.720693531826997,True
30.jpg,30,165.5350167,157.12217,129.113082,167.0,158.0,130,23.08902663,58.38085938,165.5350167,23,56,167.0,0.615256646,0.621163137,1327.565523,0.009921881,0.034812707,13.6860115,1.932163686,0.212400477,1.606825651,1.103200527,64.80412871,-1.636707551,15.78423949,64.80412871,6.706452679,21.71672195,0.316758398,0.338007773,0.256579182,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/30.jpg,30,1.32,0.0,1,4,10.033311111117644,True
