Sample_No,Image_No
1,1
2,2
3,3
3,4
3,5
4,6
4,7
5,8
5,9
6,10
6,11
7,12
7,13
7,14
8,15
8,16
9,17
9,18
9,19
1,20
1,21
2,22
2,23
2,24
3,25
3,26
3,27
4,28
4,29
4,30
5,31
5,32
5,33
6,34
6,35
6,36
7,37
7,38
7,39
8,40
8,41
8,42
9,43
9,44
9,45
1,46
1,47
2,48
2,49
3,50
4,51
4,52
5,53
5,54
6,55
6,56
7,57
7,58
8,59
8,60
9,61
9,62
9,63
1,64
1,65
2,66
2,67
3,68
3,69
4,70
4,71
5,72
5,73
6,74
6,75
6,76
7,77
7,78
7,79
8,80
8,81
8,82
9,83
9,84
9,85
1,86
1,87
2,88
2,89
2,90
3,91
3,92
4,93
4,94
5,95
5,96
6,97
6,98
7,99
7,100
8,101
8,102
8,103
9,104
9,105
9,106
1,107
1,108
1,109
2,110
2,111
2,112
2,113
3,114
3,115
4,116
4,117
4,118
5,119
5,120
5,121
6,122
6,123
6,124
7,125
7,126
7,127
8,128
8,129
8,130
9,131
9,132
9,133
1,134
1,135
2,136
2,137
2,138
3,139
3,140
3,141
4,142
4,143
4,144
5,145
5,146
5,147
6,148
6,149
7,150
7,151
7,152
8,153
8,154
8,155
9,156
9,157
9,158
1,159
1,160
1,161
2,162
2,163
2,164
3,165
3,166
3,167
4,168
4,169
4,170
5,171
5,172
5,173
6,174
6,175
6,176
7,177
7,178
7,179
8,180
8,181
8,182
9,183
9,184
9,185
1,186
1,187
2,188
3,189
3,190
4,191
4,192
5,193
5,194
5,195
6,196
6,197
7,198
7,199
7,200
7,201
8,202
8,203
9,204
9,205
10,206
10,207
10,208
10,209
10,210
10,211
10,212
10,213
10,214
10,215
10,216
10,217
11,218
11,219
11,220
11,221
11,222
11,223
11,224
11,225
11,226
11,227
11,228
11,229
12,230
12,231
12,232
12,233
12,234
12,235
12,236
12,237
12,238
12,239
12,240
12,241
12,242
12,243
12,244
12,245
12,246
12,247
12,248
12,249
12,250
12,251
13,252
13,253
13,254
13,255
13,256
13,257
13,258
13,259
13,260
13,261
13,262
13,263
13,264
13,265
13,266
13,267
13,268
10,269
10,270
10,271
11,272
11,273
11,274
12,275
12,276
12,277
13,278
13,279
13,280
10,281
10,282
10,283
10,284
10,285
10,286
11,287
11,288
11,289
12,290
12,291
12,292
13,293
13,294
13,295
10,296
10,297
10,298
10,299
11,300
11,301
11,302
11,303
12,304
12,305
12,306
12,307
13,308
13,309
13,310
13,311
10,312
10,313
10,314
10,315
11,316
11,317
11,318
11,319
12,320
12,321
12,322
12,323
13,324
13,325
13,326
13,327
10,328
10,329
10,330
10,331
11,332
11,333
11,334
11,335
12,336
12,337
12,338
12,339
13,340
13,341
13,342
13,343
10,344
10,345
10,346
10,347
10,348
11,349
11,350
11,351
11,352
12,353
12,354
12,355
12,356
13,357
13,358
13,359
13,360
14,361
14,362
14,363
14,364
14,365
14,366
14,367
14,368
14,369
14,370
14,371
15,372
15,373
15,374
15,375
15,376
15,377
15,378
15,379
15,380
15,381
15,382
16,383
16,384
16,385
16,386
16,387
16,388
16,389
16,390
16,391
16,392
16,393
16,394
16,395
17,396
17,397
17,398
17,399
17,400
17,401
18,402
18,403
18,404
18,405
18,406
18,407
18,408
18,409
18,410
18,411
18,412
18,413
18,414
18,415
19,416
19,417
19,418
19,419
19,420
19,421
19,422
19,423
19,424
19,425
19,426
20,427
20,428
20,429
20,430
20,431
20,432
20,433
20,434
20,435
20,436
14,437
14,438
14,439
14,440
14,441
14,442
14,443
14,444
15,445
15,446
15,447
15,448
15,449
15,450
16,451
16,452
16,453
16,454
16,455
16,456
17,457
17,458
17,459
17,460
17,461
17,462
18,463
18,464
18,465
18,466
18,467
18,468
19,469
19,470
19,471
19,472
19,473
20,474
20,475
20,476
20,477
20,478
20,479
14,480
14,481
14,482
14,483
14,484
14,485
15,486
15,487
15,488
15,489
15,490
15,491
16,492
16,493
16,494
16,495
16,496
16,497
17,498
17,499
17,500
17,501
17,502
18,503
18,504
18,505
18,506
18,507
18,508
19,509
19,510
19,511
19,512
19,513
19,514
20,515
20,516
20,517
20,518
20,519
20,520
20,521
14,522
14,523
14,524
14,525
14,526
14,527
15,528
15,529
15,530
15,531
15,532
15,533
16,534
16,535
16,536
16,537
16,538
16,539
17,540
17,541
17,542
17,543
17,544
17,545
18,546
18,547
18,548
18,549
18,550
19,551
19,552
19,553
19,554
19,555
19,556
19,557
20,558
20,559
20,560
20,561
20,562
20,563
