filename,Numeric numbers,mean_r,mean_g,mean_b,median_r,median_g,median_b,mean_h,mean_s,mean_v,median_h,median_s,median_v,mean_gray,median_gray,contrast,energy,homogeneity,entropy,RI,CI,HI,SI,lab_L,lab_a,lab_b,luv_L,luv_u,luv_v,xyz_X,xyz_Y,xyz_Z,image_path,image_no,soc,moisture,soil_type
2.jpg,2,152.3463409,152.9035196,147.1570671,154.0,154.0,149,40.57894212,14.80616231,153.8462213,35,11,155.0,0.597532549,0.603341176,1704.740431,0.00735102,0.034905718,14.4546475,1.733744044,2.680959198,28.42619915,0.876165248,62.9870113,-1.293673928,2.947870788,62.9870113,0.00108531,4.40753248,0.296668479,0.315713444,0.321914859,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/2.jpg,2,7.76,78.27,1
12.jpg,12,155.5428292,139.7229153,116.8341837,160.0,143.0,120,17.75147481,73.89341518,155.5430684,18,64,160.0,0.554644586,0.568998431,2759.412436,0.006529826,0.025721331,14.78650092,1.610934959,0.331214571,2.398577467,0.876443863,58.95478401,2.161065447,14.41146271,58.95478401,11.16373759,18.7966095,0.261606418,0.269788916,0.206031298,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/12.jpg,12,5.34,86.86,1
13.jpg,13,151.6105708,141.8887317,127.0735411,158.0,147.0,132,18.36405851,49.58388473,151.6151945,18,41,158.0,0.560339009,0.581946667,1853.605341,0.006867949,0.034088725,14.64671975,2.135051782,0.216992828,2.378579494,0.516181895,59.42103636,1.006824754,9.199314691,59.42103636,6.708487394,12.393402,0.263676122,0.274854923,0.240142711,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/13.jpg,13,5.34,86.86,1
14.jpg,14,156.0714286,142.9772202,125.5277423,161.0,147.0,129,17.15092873,56.05634168,156.0719467,17,50,161.0,0.566673067,0.582497255,2235.894158,0.007033017,0.029138151,14.59384319,2.184062363,0.286096673,2.532512823,0.679224061,60.07614241,1.894848373,11.05930802,60.07614241,9.007474734,14.68939368,0.272782759,0.282079471,0.235813756,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/14.jpg,14,5.34,86.86,1
37.jpg,37,136.729831,121.4729153,97.24087213,136.0,121.0,96,18.45717076,75.00952647,136.729831,18,74,136.0,0.482226979,0.478825098,426.69791,0.016789764,0.064316858,12.29190276,1.206550921,0.66637065,2.265381519,1.44892399,51.78485369,1.891812686,15.45180607,51.78485369,10.95433587,19.3885192,0.193362071,0.199537268,0.141978743,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/37.jpg,37,6.72,0.0,1
38.jpg,38,144.2184311,126.3279257,92.12898597,144.0,126.0,92,19.62129305,96.18090322,144.2184311,20,92,144.0,0.500642802,0.500620392,1176.88551,0.010355104,0.036533534,13.56136958,1.924703567,0.622207117,2.050132583,1.568965935,53.73985936,1.57393701,21.15370636,53.73985936,13.41415885,26.17499176,0.209802985,0.217304757,0.132411526,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/38.jpg,38,6.72,0.0,1
39.jpg,39,161.938915,152.2570552,127.9277742,163.0,153.0,129,21.45685188,56.3567044,161.938915,21,53,163.0,0.598275722,0.600699216,1758.413617,0.00866372,0.030680823,14.0290953,1.39018641,0.241304411,1.80349889,1.048673138,63.15419533,-0.56402636,14.10091343,63.15419533,7.287311746,19.24999371,0.300490406,0.317722409,0.249410384,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/39.jpg,39,6.72,0.0,1
57.jpg,57,132.0369898,117.6761201,93.31058673,131.0,117.0,93,18.91131218,84.35875717,132.0369898,19,75,131.0,0.466553137,0.46393451,1917.988889,0.007342497,0.031008978,14.44095848,1.693164938,0.345412817,2.19117971,0.902743067,50.19885215,1.533581796,15.48489874,50.19885215,10.38134641,19.30783137,0.179514496,0.185856352,0.130669813,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/57.jpg,57,6.72,53.32,1
58.jpg,58,130.0918766,115.9597616,92.07089047,129.0,115.0,91,18.88813377,84.3511639,130.0918766,19,75,129.0,0.459766465,0.456977255,1920.873999,0.007400669,0.030316488,14.42854317,1.612676666,0.340840508,2.193797369,0.89256295,49.50715156,1.523324987,15.2289042,49.50715156,10.19973566,18.9324249,0.17395654,0.18009107,0.1269833,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/58.jpg,58,6.72,53.32,1
77.jpg,77,144.5807159,122.0533323,80.58545918,145.0,122.0,81,19.39080437,127.5240354,144.5807159,19,113,145.0,0.485688501,0.487397255,2374.651886,0.006751494,0.027114807,14.65611076,1.665618514,0.501551549,2.099848826,1.446137149,52.40091705,2.759549996,25.91886743,52.40091705,17.16664427,30.72450547,0.200395594,0.205027353,0.106029877,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/77.jpg,77,6.72,12.25,1
78.jpg,78,143.7710061,119.787229,76.16256776,144.0,120.0,76,19.30187739,135.5762516,143.7710061,19,121,144.0,0.477405661,0.477366275,2341.944907,0.006782469,0.02785506,14.64672957,1.70138529,0.512860037,2.120671175,1.502242843,51.62805405,3.210325343,27.38452917,51.62805405,18.36969865,31.9193391,0.194632556,0.198155762,0.096647799,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/78.jpg,78,6.72,12.25,1
79.jpg,79,147.933514,124.598015,81.80482701,149.0,125.0,82,19.37625558,128.3770528,147.933514,19,114,149.0,0.495966352,0.497502353,2534.532952,0.006645943,0.026155158,14.700802,1.753129883,0.511007625,2.10401318,1.464567858,53.45211825,2.906988049,26.65886839,53.45211825,17.81389848,31.66558762,0.209996314,0.214626093,0.10978057,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/79.jpg,79,6.72,12.25,1
99.jpg,99,146.388074,128.0166614,88.94581075,148.0,130.0,90,20.38920998,112.0770289,146.388074,20,100,148.0,0.506288542,0.512623137,2274.733404,0.006973674,0.028345005,14.57476823,1.748453829,0.412685044,1.949176247,1.337202768,54.3549626,1.140892245,23.80585106,54.3549626,14.07189443,29.23138171,0.214457442,0.223105482,0.126132768,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/99.jpg,99,6.72,5.68,1
