filename,Numeric numbers,mean_r,mean_g,mean_b,median_r,median_g,median_b,mean_h,mean_s,mean_v,median_h,median_s,median_v,mean_gray,median_gray,contrast,energy,homogeneity,entropy,RI,CI,HI,SI,lab_L,lab_a,lab_b,luv_L,luv_u,luv_v,xyz_X,xyz_Y,xyz_Z,image_path,image_no,soc,moisture,soil_type
2.jpg,2,152.3463409,152.9035196,147.1570671,154.0,154.0,149,40.57894212,14.80616231,153.8462213,35,11,155.0,0.597532549,0.603341176,1704.740431,0.00735102,0.034905718,14.4546475,1.733744044,2.680959198,28.42619915,0.876165248,62.9870113,-1.293673928,2.947870788,62.9870113,0.00108531,4.40753248,0.296668479,0.315713444,0.321914859,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/2.jpg,2,7.76,78.27,1
3.jpg,3,165.758251,158.1951531,148.623007,171.0,163.0,154,16.99657207,28.61443718,165.7583307,16,26,171.0,0.623969253,0.64417098,1454.077394,0.009172003,0.036887756,13.96671403,2.133157716,0.159558613,2.628034003,0.37374215,65.56102517,1.030243036,5.979538016,65.56102517,5.018254519,8.286859564,0.333292099,0.347595432,0.332216079,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/3.jpg,3,3.34,68.36,1
4.jpg,4,152.9510922,142.2910953,128.0276228,158.0,147.0,133,17.29382573,47.2765067,152.9511918,17,41,158.0,0.562854699,0.583077647,1602.342329,0.007557845,0.035983929,14.41565351,2.253682146,0.228250108,2.514743992,0.538802673,59.67131873,1.462497534,9.028345875,59.67131873,7.254426272,12.10061878,0.267415908,0.277600306,0.243752688,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/4.jpg,4,3.34,68.36,1
5.jpg,5,133.0829879,124.0079919,111.7635124,133.0,123.0,111,17.75147481,48.99071269,133.0966199,17,41,133.0,0.490406281,0.487877647,1638.26053,0.006843557,0.036270233,14.63973428,1.820461358,0.242507752,2.764607561,0.458695233,52.4818084,1.248748343,7.933309668,52.4818084,6.149210979,10.35233519,0.198057037,0.205755614,0.181840578,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/5.jpg,5,3.34,68.36,1
8.jpg,8,159.7197066,150.7820871,137.987783,172.0,162.0,149,18.08529974,41.48702567,159.7271205,17,35,172.0,0.595132792,0.6383,2139.67705,0.007419153,0.032563645,14.55946659,2.024659441,0.199019032,2.495587095,0.416161572,62.79608275,1.015829051,7.920315689,62.79608275,6.076190362,10.84547315,0.300586399,0.313429533,0.284995633,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/8.jpg,8,3.68,75.84,1
9.jpg,9,158.3760364,154.2080875,145.8715322,169.0,165.0,156,21.19650829,24.55329241,158.4427415,21,20,169.0,0.605853769,0.647579608,2148.514334,0.007488472,0.033124927,14.53656757,1.945503379,0.291431495,2.587687309,0.26011119,63.80208726,-0.015909736,4.911565953,63.80208726,2.911199041,6.946397584,0.309418969,0.325588296,0.317884384,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/9.jpg,9,3.68,75.84,1
10.jpg,10,149.862225,143.4309829,133.0773677,154.0,147.0,136,19.14752073,34.84111926,149.878966,18,29,154.0,0.564906377,0.579156078,2308.421705,0.006624562,0.030185976,14.73497902,1.802212838,0.218381124,2.282613833,0.363011025,59.83581799,0.492981021,6.354536191,59.83581799,4.397203495,8.71901753,0.266778627,0.279414641,0.261998312,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/10.jpg,10,4.43,69.63,1
11.jpg,11,150.7805724,139.4445751,123.9989636,155.0,144.0,128,17.41107302,54.15603077,150.7835021,17,45,155.0,0.551920964,0.569661176,2661.37504,0.006606736,0.027828595,14.77236308,2.054358135,0.269885757,2.541745334,0.604913626,58.61001589,1.544412824,9.790854304,58.61001589,7.764245388,13.02560627,0.256565216,0.266083185,0.228473536,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/11.jpg,11,4.43,69.63,1
12.jpg,12,155.5428292,139.7229153,116.8341837,160.0,143.0,120,17.75147481,73.89341518,155.5430684,18,64,160.0,0.554644586,0.568998431,2759.412436,0.006529826,0.025721331,14.78650092,1.610934959,0.331214571,2.398577467,0.876443863,58.95478401,2.161065447,14.41146271,58.95478401,11.16373759,18.7966095,0.261606418,0.269788916,0.206031298,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/12.jpg,12,5.34,86.86,1
13.jpg,13,151.6105708,141.8887317,127.0735411,158.0,147.0,132,18.36405851,49.58388473,151.6151945,18,41,158.0,0.560339009,0.581946667,1853.605341,0.006867949,0.034088725,14.64671975,2.135051782,0.216992828,2.378579494,0.516181895,59.42103636,1.006824754,9.199314691,59.42103636,6.708487394,12.393402,0.263676122,0.274854923,0.240142711,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/13.jpg,13,5.34,86.86,1
14.jpg,14,156.0714286,142.9772202,125.5277423,161.0,147.0,129,17.15092873,56.05634168,156.0719467,17,50,161.0,0.566673067,0.582497255,2235.894158,0.007033017,0.029138151,14.59384319,2.184062363,0.286096673,2.532512823,0.679224061,60.07614241,1.894848373,11.05930802,60.07614241,9.007474734,14.68939368,0.272782759,0.282079471,0.235813756,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/14.jpg,14,5.34,86.86,1
37.jpg,37,136.729831,121.4729153,97.24087213,136.0,121.0,96,18.45717076,75.00952647,136.729831,18,74,136.0,0.482226979,0.478825098,426.69791,0.016789764,0.064316858,12.29190276,1.206550921,0.66637065,2.265381519,1.44892399,51.78485369,1.891812686,15.45180607,51.78485369,10.95433587,19.3885192,0.193362071,0.199537268,0.141978743,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/37.jpg,37,6.72,0.0,1
38.jpg,38,144.2184311,126.3279257,92.12898597,144.0,126.0,92,19.62129305,96.18090322,144.2184311,20,92,144.0,0.500642802,0.500620392,1176.88551,0.010355104,0.036533534,13.56136958,1.924703567,0.622207117,2.050132583,1.568965935,53.73985936,1.57393701,21.15370636,53.73985936,13.41415885,26.17499176,0.209802985,0.217304757,0.132411526,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/38.jpg,38,6.72,0.0,1
