Sample_No,image_no,moisture,soil_type,soc,SI,lab_b,median_h,CI,mean_r,luv_u,median_s,xyz_Z,entropy
4,6,13.5,1,1.22,2.193528626,25.68159375,20,0.658256742,162.9836177,15.82543867,99,0.159225604,13.30445934
4,7,13.5,1,1.22,1.635630565,22.59476564,19,0.430063861,171.9700853,15.26672661,85,0.20474305,14.18959667
8,15,4.13,1,0.99,2.100016312,28.05963592,21,0.564867767,159.6281091,16.40336662,108,0.138034128,14.05548365
8,16,4.13,1,0.99,1.613534721,28.04520664,21,0.44245281,159.1781728,16.37981651,107,0.136946846,14.7445965
9,17,34.31,1,1.31,1.340567284,21.71090729,19,0.416578934,162.1806441,15.44275975,88,0.175969596,14.74362522
9,18,34.31,1,1.31,1.33586119,21.04492444,19,0.38890096,170.7757494,15.04517697,81,0.209500065,14.44932319
9,19,34.31,1,1.31,1.393296657,22.38156081,19,0.427462244,167.9445552,16.02175846,88,0.189339846,14.45816692
1,20,0.0,1,1.38,1.67808977,24.66506552,22,0.648100168,141.3242188,12.77337398,103,0.113908494,13.35948335
2,23,0.0,1,1.48,2.554788608,25.41573076,22,0.740292677,149.6930604,12.93439414,100,0.131992166,12.46003892
4,28,0.0,1,1.32,2.201644392,16.46758082,20,0.575721304,153.7985292,10.74261401,69,0.191272098,11.94103641
4,29,0.0,1,1.32,1.807602683,22.75106242,22,0.595493648,142.8822943,11.34343011,93,0.128933763,12.90531423
5,32,0.0,1,2.2,2.125487546,21.09028803,21,0.637649617,143.069874,11.14222079,88,0.136506462,12.44980918
6,35,0.0,1,1.49,2.347138528,21.70339217,22,0.521455838,148.82954,10.90890282,86,0.151011479,12.74096371
8,41,0.0,1,1.18,1.919228756,22.78078864,22,0.599703472,144.3629026,11.42765258,93,0.132503736,12.84977439
9,44,0.0,1,3.11,1.555403349,20.57595311,20,0.672724991,138.2390784,11.86956953,90,0.123416844,12.6241574
9,45,0.0,1,3.11,1.743983518,19.33765306,21,0.451013663,161.6602559,10.80353738,74,0.20350709,13.24298883
1,46,46.78,1,1.38,1.766634273,23.31716138,19,0.643578852,144.5408163,16.22562368,103,0.117270654,13.93944029
1,47,46.78,1,1.38,1.794961846,25.45449797,19,0.672643896,149.6291853,17.29596018,108,0.119429098,14.01263731
2,48,46.5,1,1.48,1.230061812,20.9526996,19,0.54058725,128.1736886,13.65754895,102,0.093442374,13.62981921
2,49,46.5,1,1.48,1.621931102,22.83062649,19,0.62503459,138.4635085,15.58461183,105,0.105978476,13.7689041
4,51,48.55,1,1.32,1.016479046,19.83771306,20,0.464837604,123.261639,12.27455395,99,0.089489534,13.72347387
4,52,48.55,1,1.32,1.531173799,21.73731401,19,0.563481382,139.571887,14.76721916,99,0.11448355,13.98275807
5,53,51.05,1,2.2,1.451034298,21.01651455,19,0.533039204,141.9511918,14.29466091,95,0.124377758,14.18941977
5,54,51.05,1,2.2,1.463100137,21.01611491,19,0.527907314,141.1315171,14.19459715,95,0.12255409,14.14739105
6,55,39.76,1,1.49,1.298189206,19.33637554,20,0.512519031,132.890346,11.5560495,88,0.115229053,13.63469672
6,56,39.76,1,1.49,1.582728675,21.0171687,20,0.518030532,142.8477958,12.80861815,90,0.131082668,13.80573605
8,59,48.3,1,1.18,1.802034073,26.56302387,20,0.699259388,144.7016303,17.09867837,114,0.104350001,13.85401045
8,60,48.3,1,1.18,1.876995119,26.85779375,20,0.674010723,148.0205875,17.18651234,113,0.110885494,13.92473775
9,61,58.85,1,3.11,1.354423456,17.7059432,19,0.540528522,140.6910276,12.41619085,81,0.139359337,13.96652374
9,62,58.85,1,3.11,1.301763196,17.77542398,19,0.521148732,137.1311185,12.03948298,83,0.130508509,13.92345283
9,63,58.85,1,3.11,1.401336509,19.47849436,19,0.557821011,135.4589644,13.2065762,91,0.116504053,13.98314857
1,64,6.86,1,1.38,1.855681313,29.34781747,21,0.582658687,150.6662946,16.58061546,118,0.110155994,14.16383238
1,65,6.86,1,1.38,2.038112606,30.37366933,21,0.617167587,151.8234813,17.620782,122,0.106810902,14.14361083
2,66,7.21,1,1.48,1.912338151,27.5179118,21,0.695701127,148.1412229,16.09054249,113,0.111695738,13.72780103
2,67,7.21,1,1.48,2.22592103,29.49461261,21,0.685565686,154.6802256,17.19465355,116,0.117704139,13.81740287
4,70,7.34,1,1.32,2.053647028,29.6713274,21,0.631947519,152.5439055,17.8203759,119,0.110369519,14.10769129
4,71,7.34,1,1.32,1.838508178,27.70624799,20,0.625009191,149.9001315,16.79691377,114,0.113442077,14.1312092
5,72,10.52,1,2.2,1.754154227,26.61723828,20,0.549748548,150.396863,16.24002752,109,0.119980378,14.16699732
5,73,10.52,1,2.2,1.790423769,26.5622169,20,0.539493971,148.9572106,16.12260806,109,0.116928549,14.14327606
6,74,8.04,1,1.49,1.915886187,27.06999352,21,0.533514327,154.4303651,15.82737228,106,0.129733346,13.99949086
6,75,8.04,1,1.49,1.876134611,27.44544178,21,0.477037339,155.3753388,15.90606874,107,0.130547735,14.14622732
6,76,8.04,1,1.49,1.910268541,27.26856508,21,0.525890802,156.5037269,15.9526602,106,0.134076039,14.01483696
8,80,7.07,1,1.18,2.161013289,30.24916119,21,0.682839252,151.1367785,17.85726293,122,0.105080049,13.95919457
8,81,7.07,1,1.18,2.409024813,32.19194576,21,0.675181432,159.659379,19.19711402,123,0.115087234,14.09683903
8,82,7.07,1,1.18,2.440508456,32.67596585,21,0.673267459,159.744898,19.36677751,125,0.11317784,14.08399892
9,83,14.96,1,3.11,1.726621592,27.51209058,19,0.57439807,155.5149673,19.12078465,113,0.121857862,14.2940207
9,84,14.96,1,3.11,1.705720459,25.23561937,19,0.561433053,152.4481425,17.34268123,105,0.1272586,14.19813227
9,85,14.96,1,3.11,1.694390704,26.1513633,20,0.503640162,152.3059232,17.23580338,108,0.123789391,14.43392979
1,86,2.73,1,1.38,1.76239758,24.18840747,21,0.515442098,155.6067243,13.43267862,95,0.151828458,13.86428058
1,87,2.73,1,1.38,1.625447345,23.25533447,21,0.475379975,153.4893575,12.89902187,92,0.151388508,13.92134858
2,88,5.1,1,1.48,2.130419545,28.52628432,21,0.556322348,158.2756696,15.59406153,109,0.134923015,13.75343567
2,89,5.1,1,1.48,2.021038532,27.30332519,22,0.477631525,166.3104074,14.57301826,99,0.166144289,13.90486492
2,90,5.1,1,1.48,2.011094705,27.06373152,22,0.48756281,164.5072545,14.31513745,99,0.162647573,13.83534705
4,93,2.37,1,1.32,1.774299238,25.92480505,21,0.586553123,153.7695313,14.46141972,102,0.136386774,13.94340743
4,94,2.37,1,1.32,1.772010979,25.44259648,21,0.524094928,159.4185467,14.33286544,97,0.1546324,14.01511127
5,95,4.33,1,2.2,1.690854317,24.54894758,21,0.481726955,153.835499,13.54243441,96,0.144919745,14.02222178
5,96,4.33,1,2.2,1.607494609,23.71183199,21,0.441019034,157.351144,13.01780488,91,0.160396419,14.10156579
6,97,2.79,1,1.49,1.512366703,24.02142588,22,0.380015542,157.8844467,12.00786055,90,0.164080057,14.15149804
6,98,2.79,1,1.49,1.452527188,23.20609535,22,0.351639837,162.5595105,11.99854164,85,0.182573472,14.24365562
8,101,3.91,1,1.18,2.035033189,29.25144713,21,0.517935117,162.5590123,16.27576068,109,0.141608404,14.03987337
8,102,3.91,1,1.18,1.904649838,28.39024087,21,0.478114982,164.9670759,15.65664464,104,0.15385972,14.12308836
8,103,3.91,1,1.18,2.013245399,32.39009411,22,0.444325601,165.0045041,16.24950699,116,0.135746199,14.49627251
9,104,10.48,1,3.11,1.707694413,25.83328353,20,0.507947568,155.2989278,15.34525363,102,0.138263094,14.22387203
9,105,10.48,1,3.11,1.532240433,23.86476567,21,0.43857271,153.9855309,13.90229358,94,0.147034686,14.25445723
9,106,10.48,1,3.11,1.850898298,30.55683042,21,0.465347175,163.0736408,17.54532187,114,0.134131195,14.59998102
1,107,0.75,1,1.38,1.904631341,28.83063551,21,0.643666737,149.5976762,16.68024869,117,0.109157617,14.01040364
1,108,0.75,1,1.38,2.323044987,31.72397347,21,0.625789139,157.8910435,18.30283842,122,0.114744903,14.14699994
2,110,0.71,1,1.48,2.470900447,30.98665856,21,0.636438684,161.2184511,17.98378486,118,0.126468735,13.89363555
2,111,0.71,1,1.48,2.507582144,30.86136025,21,0.630126206,161.0831075,18.01907704,117,0.126497994,13.84464673
2,112,0.71,1,1.48,2.205087109,29.11274761,21,0.582901449,163.3921795,16.88639339,110,0.142642107,13.87280156
2,113,0.71,1,1.48,2.283885692,29.22492387,21,0.556988726,163.692343,16.9178601,110,0.142918516,13.89411202
4,116,0.69,1,1.32,1.894786755,26.6056672,21,0.718424307,149.1075614,15.50386649,109,0.118794995,13.59067464
4,117,0.69,1,1.32,1.764519586,25.91799804,21,0.679101094,148.1776945,14.9235735,106,0.12053212,13.71764533
4,118,0.69,1,1.32,2.438190383,33.00757826,21,0.568716715,169.5285993,19.45677411,120,0.136228947,14.30738083
5,119,0.87,1,2.2,1.772668747,25.54194887,20,0.643483256,146.5186344,15.16114512,107,0.11711358,13.770426
5,120,0.87,1,2.2,1.799261986,25.62439845,20,0.646225765,147.8927176,15.20428125,106,0.120115219,13.79719613
5,121,0.87,1,2.2,1.89194546,26.85539126,20,0.596154124,154.1804648,16.09047509,107,0.129153436,14.02627958
6,122,0.62,1,1.49,1.581913066,24.10742788,21,0.502062023,147.782665,13.71467054,98,0.129669365,13.97084294
6,123,0.62,1,1.49,1.7273307,27.99360842,21,0.494106523,161.6867626,16.27099836,105,0.144334109,14.2285217
6,124,0.62,1,1.49,1.621869759,24.80201041,21,0.509847173,159.5556043,14.28172488,95,0.157969857,14.0630844
8,128,0.68,1,1.18,2.264788022,30.45290319,21,0.586882772,162.5983937,17.66624853,115,0.132943104,14.11031709
8,129,0.68,1,1.18,2.30591355,31.06040883,21,0.58637656,163.5931322,17.94193993,116,0.132429672,14.07374633
8,130,0.68,1,1.18,2.221075233,30.09330336,21,0.637581082,155.6548948,17.45332589,118,0.117278014,13.96226278
9,131,0.98,1,3.11,1.876385358,25.10279735,20,0.545323066,158.6738481,15.81392154,99,0.149211965,14.08609769
9,132,0.98,1,3.11,1.869011999,27.27597767,20,0.543357615,157.7781808,17.04010632,107,0.134308638,14.24071496
9,133,0.98,1,3.11,1.770446405,26.50221808,20,0.536975799,159.5723852,16.55382259,103,0.143697226,14.24721606
1,134,19.4,1,1.38,1.83766853,30.64861096,20,0.709954982,142.1470225,19.21811355,134,0.081840515,14.1048234
1,135,19.4,1,1.38,1.948217964,29.46864507,20,0.635820193,152.7097816,18.64730249,120,0.109406175,14.3203678
2,136,19.86,1,1.48,2.071200376,29.83606423,20,0.737041264,151.5737006,19.56225034,123,0.103383709,13.91683637
2,137,19.86,1,1.48,1.634844986,27.7624632,20,0.779897387,139.83524,17.78281239,123,0.088449836,13.76246221
4,142,1.81,1,1.32,1.898723427,28.64314521,20,0.725068336,149.114198,18.41322505,121,0.104430526,13.89459794
4,143,1.81,1,1.32,1.94440503,29.54423996,20,0.674189688,154.6189214,19.45196136,121,0.111655879,14.22376804
4,144,1.81,1,1.32,1.938124613,29.02079764,20,0.667903791,153.6031768,19.02196783,119,0.112114399,14.2168291
5,145,4.12,1,2.2,1.793764552,26.28289775,20,0.582866175,150.2485651,16.95972973,109,0.118891497,14.29359986
5,146,4.12,1,2.2,1.632716426,23.88247459,20,0.54094422,142.839784,15.08710729,104,0.114136648,14.31645959
5,147,4.12,1,2.2,1.85292807,28.25565804,20,0.593602456,150.3342235,17.84568451,117,0.109933734,14.35952676
6,148,2.36,1,1.49,1.629240326,25.9561604,20,0.595782694,145.015904,16.07178282,111,0.109663932,14.30116183
6,149,2.36,1,1.49,1.696340307,26.91818082,20,0.600097101,149.4920679,16.71509495,112,0.11542255,14.26576638
8,153,22.42,1,1.18,2.108339684,31.63344818,20,0.859935222,148.3475167,20.6574097,133,0.088469749,13.75656032
