feature,scaled_variance,stage1_pass,reason
mean_r,0.04462600883623881,True,retained
mean_g,0.04408849776814384,True,retained
mean_b,0.03894743370574086,True,retained
median_r,0.04236345579230091,True,retained
median_g,0.04188459762667088,True,retained
median_b,0.03865375181403259,True,retained
mean_h,0.0350546427707684,True,retained
mean_s,0.02291294819259893,True,retained
mean_v,0.04462593055486505,True,retained
median_h,0.037863553895213724,True,retained
median_s,0.024773571242287986,True,retained
median_v,0.04236345579230091,True,retained
mean_gray,0.04366408477140077,True,retained
median_gray,0.04180021669530964,True,retained
contrast,0.04445934714915901,True,retained
energy,0.025349795490650258,True,retained
homogeneity,0.019173334422973032,True,retained
entropy,0.03567560288769859,True,retained
RI,0.01318063185632925,True,retained
CI,0.0315145011363045,True,retained
HI,0.039159568363020814,True,retained
SI,0.04745379438072712,True,retained
lab_L,0.04349396649415985,True,retained
lab_a,0.02552890867685998,True,retained
lab_b,0.04265187292771277,True,retained
luv_L,0.04349396649415985,True,retained
luv_u,0.028874988832942188,True,retained
luv_v,0.04488792991950837,True,retained
xyz_X,0.04342183328152838,True,retained
xyz_Y,0.044358036431473645,True,retained
xyz_Z,0.04242726519611585,True,retained
