feature,mi_score_raw,mi_score_norm,rank_by_mi
median_h,0.3705088604164728,1.0,1
mean_h,0.32839974106940595,0.8863478749206326,2
HI,0.30024730823676116,0.8103647181318857,3
entropy,0.2937273486315588,0.7927674072393107,4
lab_b,0.2594574959607545,0.7002733906798064,5
SI,0.2554625889944422,0.6894911735910657,6
luv_v,0.24124886236947596,0.6511284564107284,7
mean_s,0.22485335657038785,0.6068771373446779,8
mean_g,0.21772012442950484,0.5876246095296485,9
lab_L,0.2115941614639807,0.5710906919368594,10
luv_L,0.2115941614639807,0.5710906919368594,11
median_s,0.20152069839422282,0.5439025079392223,12
mean_v,0.2005819523138559,0.5413688409189202,13
mean_r,0.20036244265345893,0.5407763863683052,14
CI,0.17451527451628746,0.4710151177494716,15
contrast,0.1572127750918657,0.4243158312466528,16
median_r,0.15060454784530197,0.4064802868034357,17
median_v,0.1482913609296741,0.400237016634329,18
median_g,0.1338541987718731,0.3612712490098441,19
RI,0.09871669683542805,0.26643545507782174,20
luv_u,0.07020839004351487,0.18949179775241187,21
