feature,spearman_rho,abs_spearman,spearman_p,mi_observed,mi_null_95,mi_pass,corr_pass,stage2_pass
SI,-0.38186371899392446,0.38186371899392446,1.0505224292944844e-19,0.3178586680905271,0.041077007032475785,True,True,True
lab_b,-0.36504287619951586,0.36504287619951586,5.033506066242697e-18,0.3678475918288009,0.03837667917836259,True,True,True
luv_v,-0.3644589957625783,0.3644589957625783,5.733905079884532e-18,0.3785341188611504,0.03926510623570948,True,True,True
median_h,-0.32458046477860025,0.32458046477860025,2.2740995940050105e-14,0.34966366035301943,0.0414945138763742,True,True,True
HI,0.302562624587891,0.302562624587891,1.345907017583017e-12,0.39286909963845673,0.03958577363358491,True,True,True
mean_h,-0.2959822526785926,0.2959822526785926,4.270191951654274e-12,0.4212584108915802,0.040449239501832907,True,True,True
CI,-0.2659700684707236,0.2659700684707236,5.740376594593843e-10,0.22052399181725946,0.04006084470837914,True,True,True
mean_r,-0.2482223361583295,0.2482223361583295,7.931745328778276e-09,0.2856764192389183,0.043654539737946536,True,True,True
mean_v,-0.24821423130240594,0.24821423130240594,7.940905927648905e-09,0.28564155905795063,0.04005282843857139,True,True,True
luv_u,-0.24610192390299754,0.24610192390299754,1.0713148343336225e-08,0.21762798245742765,0.042016233222720516,True,True,True
median_s,-0.2451281957836262,0.2451281957836262,1.228751307895441e-08,0.263099061877726,0.03729159925003771,True,True,True
mean_g,-0.23851751551344533,0.23851751551344533,3.0694400664854145e-08,0.22984284024340784,0.039469544760021985,True,True,True
lab_L,-0.23378026857746717,0.23378026857746717,5.819349294482247e-08,0.24455571446607394,0.042069027742759744,True,True,True
luv_L,-0.23378026857746717,0.23378026857746717,5.819349294482247e-08,0.24455571446607394,0.041321207301061175,True,True,True
xyz_Y,-0.23378026857746717,0.23378026857746717,5.819349294482247e-08,0.24248456560192855,0.041209757614141196,True,True,True
mean_gray,-0.2295258808385231,0.2295258808385231,1.0217891155146939e-07,0.23284970151284057,0.037824667480567266,True,True,True
xyz_X,-0.22652993738692484,0.22652993738692484,1.5090452735101018e-07,0.2418422722237601,0.04220941163534572,True,True,True
mean_s,-0.2255894846406591,0.2255894846406591,1.7036494956376425e-07,0.27526692026060084,0.04575682870001013,True,True,True
median_r,-0.21976153295548242,0.21976153295548242,3.570589896685435e-07,0.2725459019060277,0.03961007104024089,True,True,True
median_v,-0.21976153295548242,0.21976153295548242,3.570589896685435e-07,0.260200534576724,0.043179486498882244,True,True,True
median_g,-0.2144063801207904,0.2144063801207904,6.924056621754004e-07,0.22736202948665074,0.044434572078538244,True,True,True
median_gray,-0.20593029836020507,0.20593029836020507,1.9087421768819368e-06,0.24585405912400748,0.04079173198325563,True,True,True
lab_a,0.13897876127166345,0.13897876127166345,0.0013965079855146221,0.28916609910232927,0.040551882133206034,True,False,True
xyz_Z,-0.07694865997423851,0.07694865997423851,0.0778650557817532,0.2630536696529493,0.04245217985040112,True,False,True
entropy,0.06208509853404867,0.06208509853404867,0.155059079459509,0.30070322556341544,0.03923926418277545,True,False,True
energy,-0.05545425125467931,0.05545425125467931,0.2041638713019403,0.291942868258813,0.03860118465639993,True,False,True
homogeneity,0.04213102595301117,0.04213102595301117,0.334849685241168,0.1260309419961927,0.04150962308517761,True,False,True
median_b,-0.03676432895335714,0.03676432895335714,0.4000919497935036,0.24533336042965992,0.04254568618333162,True,False,True
mean_b,-0.031824419755807375,0.031824419755807375,0.46641081827061415,0.27315690129292935,0.04174161921347464,True,False,True
RI,-0.010614838830131063,0.010614838830131063,0.8081016831360273,0.0784519835581472,0.04289899240692991,True,False,True
contrast,0.008898304777884771,0.008898304777884771,0.8386673594703857,0.2217162435663922,0.040488230656717215,True,False,True
