feature,pca_score_raw,pca_score_norm,mi_score_raw,mi_score_norm,combined_score,rank
median_h,0.19305188090083913,0.9342546310170475,0.3705088604164728,1.0,0.9539782417119331,1
mean_h,0.1952815352699587,0.9450448129629427,0.32839974106940595,0.8863478749206326,0.9274357315502496,2
lab_b,0.20663732829526266,1.0,0.2594574959607545,0.7002733906798064,0.9100820172039419,3
HI,0.19229166720628177,0.9305756553894151,0.30024730823676116,0.8103647181318857,0.8945123742121563,4
luv_v,0.20056337631705046,0.9706057369773328,0.24124886236947596,0.6511284564107284,0.8747625528073515,5
entropy,0.18348582689034706,0.8879607010218669,0.2937273486315588,0.7927674072393107,0.8594027128870999,6
SI,0.1887471374704427,0.9134222699624881,0.2554625889944422,0.6894911735910657,0.8462429410510613,7
mean_g,0.19561912336507667,0.9466785356688209,0.21772012442950484,0.5876246095296485,0.8389623578270692,8
luv_L,0.19379236060775412,0.9378381060504497,0.2115941614639807,0.5710906919368594,0.8278138818163725,9
lab_L,0.19379236060775412,0.9378381060504497,0.2115941614639807,0.5710906919368594,0.8278138818163725,10
mean_s,0.18538799895734914,0.8971660662029539,0.22485335657038785,0.6068771373446779,0.810079387545471,11
mean_v,0.18461822768847208,0.8934408376819137,0.2005819523138559,0.5413688409189202,0.7878192386530156,12
mean_r,0.18461694933749961,0.8934346512344649,0.20036244265345893,0.5407763863683052,0.7876371717746169,13
CI,0.19022577520504716,0.9205779845025622,0.17451527451628746,0.4710151177494716,0.785709124476635,14
median_g,0.19512171616483995,0.9442713849166298,0.1338541987718731,0.3612712490098441,0.769371344144594,15
median_s,0.17486583310763823,0.8462451317497371,0.20152069839422282,0.5439025079392223,0.7555423446065826,16
median_r,0.18570178214598013,0.8986845875234707,0.15060454784530197,0.4064802868034357,0.7510232973074601,17
median_v,0.18570178214598015,0.8986845875234709,0.1482913609296741,0.400237016634329,0.7491503162567283,18
contrast,0.17917481490056447,0.8670980039218413,0.1572127750918657,0.4243158312466528,0.7342633521192847,19
luv_u,0.19931877473657444,0.9645826162239632,0.07020839004351487,0.18949179775241187,0.7320553706824977,20
RI,0.10072879351677172,0.4874665886738578,0.09871669683542805,0.26643545507782174,0.42115724859504694,21
