feature,loading_PC1,loading_PC2,contribution_PC1,contribution_PC2,expected_contribution,PC1_influential,PC2_influential,PCA_pass,vw_score
luv_L,0.2371739836194975,-0.010402001714372576,0.0562514985059417,0.0001082016396658101,0.03225806451612903,True,False,True,0.031931350066142714
lab_L,0.2371739836194975,-0.010402001714372576,0.0562514985059417,0.0001082016396658101,0.03225806451612903,True,False,True,0.031931350066142714
mean_v,0.23690012419802967,0.020480832744391074,0.05612166884504191,0.00041946450990372193,0.03225806451612903,True,False,True,0.03191637238299491
mean_r,0.23689962138023843,0.020492270035578894,0.056121430610100345,0.0004199331312110849,0.03225806451612903,True,False,True,0.031916325570283
mean_gray,0.23697976186101036,-0.015208080238686267,0.056159407531701205,0.00023128570454631996,0.03225806451612903,True,False,True,0.03190230922579308
median_gray,0.23653703771023632,-0.02399087098359047,0.05594977020873378,0.0005755618905512836,0.03225806451612903,True,False,True,0.03184828045098435
mean_g,0.23657799391094209,-0.012167367307577797,0.05596914720292578,0.00014804482719751308,0.03225806451612903,True,False,True,0.031778685283879164
median_g,0.2363141608584827,-0.020764108306824153,0.05584438262224886,0.0004311481937775241,0.03225806451612903,True,False,True,0.03176127286851474
median_r,0.23648431425746486,0.006526135171428943,0.055924830889823425,4.259044027576191e-05,0.03225806451612903,True,False,True,0.03173366675261465
median_v,0.23648431425746486,0.006526135171428943,0.055924830889823425,4.259044027576191e-05,0.03225806451612903,True,False,True,0.03173366675261465
xyz_X,0.23626048199347813,-0.011170327124460944,0.05581901535179063,0.000124776208067468,0.03225806451612903,True,False,True,0.03168913070895282
xyz_Y,0.23611368278483358,-0.008355480124224341,0.05574967119821705,6.981404810630806e-05,0.03225806451612903,True,False,True,0.031639431970139256
luv_v,0.17911846541839718,0.2576135612920627,0.032083424653841564,0.0663647469615794,0.03225806451612903,False,True,True,0.030710475918335305
xyz_Z,0.20572373509125907,-0.17502316994557737,0.042322255179898564,0.030633110017798483,0.03225806451612903,True,False,True,0.029783406738463913
median_b,0.1998030583948123,-0.19219990835434705,0.0399212621439208,0.036940804771419436,0.03225806451612903,True,True,True,0.029610354800461806
lab_b,0.15187973366837138,0.29515586817004036,0.023067453499175432,0.08711698651521031,0.03225806451612903,False,True,True,0.029507624811121874
mean_b,0.19535667068631646,-0.20365813188642617,0.03816422878164191,0.041476634683468995,0.03225806451612903,True,True,True,0.02946861625114515
SI,0.17594011225790393,0.23074780447974585,0.03095492310132385,0.053244549272223066,0.03225806451612903,False,True,True,0.027597112074615154
entropy,0.14023251168789097,-0.24751639312535553,0.019665157334294487,0.0612643648657856,0.03225806451612903,False,True,True,0.022704278865531502
median_s,0.012112521771041778,0.3394791888444247,0.0001467131836539611,0.11524611965846863,0.03225806451612903,False,True,True,0.021807281613742666
energy,-0.1398967127386157,0.2287702282021509,0.01957109023507077,0.05233581731166424,0.03225806451612903,False,True,True,0.020967871937238588
contrast,0.11934948099965355,-0.260533990797743,0.01424429861488667,0.06787796036099848,0.03225806451612903,False,True,True,0.020875747817595172
luv_u,0.13783920743067785,0.18903906543758386,0.01899964710511744,0.035735768261515144,0.03225806451612903,False,True,True,0.017514565391885367
homogeneity,-0.1374866932433858,0.18930026831796162,0.018902590819000874,0.03583459158525229,0.03225806451612903,False,True,True,0.017478134592931245
CI,0.07549796275053207,0.26241897098664935,0.00569994237948073,0.06886371633369197,0.03225806451612903,False,True,True,0.016214430053535504
HI,-0.07685938504731622,-0.25486856021130677,0.005907365069851619,0.06495798298418456,0.03225806451612903,False,True,True,0.015595862898008302
mean_s,0.032183034996114454,0.27588573942589995,0.001035747741561128,0.07611294121857562,0.03225806451612903,False,True,True,0.014934964545264225
mean_h,0.08984138468516388,0.2294999883685968,0.008071474402147602,0.05267024466118611,0.03225806451612903,False,True,True,0.014507286441038467
median_h,0.08846167881671692,0.21938842610196346,0.007825468619071987,0.048131281507496716,0.03225806451612903,False,True,True,0.013512128821853965
lab_a,-0.03498461887782926,-0.04590716316439278,0.0012239235580269682,0.002107467629802183,0.03225806451612903,False,False,False,0.0010915810506005618
RI,-0.010289859850544978,-0.01906039680684423,0.00010588121574385756,0.000363298726434358,0.03225806451612903,False,False,False,0.00012854774390551362
