feature,pca_score_raw,pca_score_norm,rank_by_pca
lab_b,0.20663732829526266,1.0,1
luv_v,0.20056337631705046,0.9706057369773328,2
luv_u,0.19931877473657444,0.9645826162239632,3
mean_g,0.19561912336507667,0.9466785356688209,4
mean_h,0.1952815352699587,0.9450448129629427,5
median_g,0.19512171616483995,0.9442713849166298,6
lab_L,0.19379236060775412,0.9378381060504497,7
luv_L,0.19379236060775412,0.9378381060504497,8
median_h,0.19305188090083913,0.9342546310170475,9
HI,0.19229166720628177,0.9305756553894151,10
CI,0.19022577520504716,0.9205779845025622,11
SI,0.1887471374704427,0.9134222699624881,12
median_v,0.18570178214598015,0.8986845875234709,13
median_r,0.18570178214598013,0.8986845875234707,14
mean_s,0.18538799895734914,0.8971660662029539,15
mean_v,0.18461822768847208,0.8934408376819137,16
mean_r,0.18461694933749961,0.8934346512344649,17
entropy,0.18348582689034706,0.8879607010218669,18
contrast,0.17917481490056447,0.8670980039218413,19
median_s,0.17486583310763823,0.8462451317497371,20
RI,0.10072879351677172,0.4874665886738578,21
