,luv_L,lab_L,mean_v,mean_r,mean_gray,median_gray,mean_g,median_g,median_r,median_v,xyz_X,xyz_Y,luv_v,xyz_Z,median_b,lab_b,mean_b,SI,entropy,median_s,energy,contrast,luv_u,homogeneity,CI,HI,mean_s,mean_h,median_h
luv_L,1.0,1.0,0.9874297340670599,0.9874329498756451,0.9997824794090333,0.9952596697285703,0.9988672932683438,0.9956606752972675,0.9863343452808055,0.9863343452808055,0.9989252602795073,1.0,0.7157255719655702,0.885976003059141,0.8481555106474291,0.6060274147681887,0.8304314852397479,0.6827251091777322,0.5688048426779028,0.005460258696665248,0.5714506285772005,0.5612523925306662,0.5364218975950493,0.5203784759334864,0.19397192557876825,0.3850617857838585,0.08293648674973485,0.4051749864755663,0.38278955409594606
lab_L,1.0,1.0,0.9874297340670599,0.9874329498756451,0.9997824794090333,0.9952596697285703,0.9988672932683438,0.9956606752972675,0.9863343452808055,0.9863343452808055,0.9989252602795073,1.0,0.7157255719655702,0.885976003059141,0.8481555106474291,0.6060274147681887,0.8304314852397479,0.6827251091777322,0.5688048426779028,0.005460258696665248,0.5714506285772005,0.5612523925306662,0.5364218975950493,0.5203784759334864,0.19397192557876825,0.3850617857838585,0.08293648674973485,0.4051749864755663,0.38278955409594606
mean_v,0.9874297340670599,0.9874297340670599,1.0,0.9999999175433696,0.9846801352701021,0.9794676527988979,0.9804487908250508,0.9770909033125299,0.9949595071017384,0.9949595071017384,0.990949560248483,0.9874297340670599,0.7822325338819448,0.8246283525062178,0.7808699057562195,0.686393192380595,0.7600535968097529,0.7352375317844543,0.5595269050831421,0.11970765405938098,0.5622656196048884,0.556110067233075,0.648333273208707,0.5156813339833665,0.2797698635445838,0.36050785038656696,0.19762508413153068,0.3746366368133118,0.3550156512594821
mean_r,0.9874329498756451,0.9874329498756451,0.9999999175433696,1.0,0.9846832686220569,0.9794725177417958,0.9804524189167879,0.9770960988885021,0.9949623522336871,0.9949623522336871,0.9909521988606556,0.9874329498756451,0.7822228864561892,0.8246375051921909,0.7808798853206493,0.6863814835390798,0.7600619249294223,0.7352091667036004,0.5595611245847536,0.11969569482020728,0.5623006636728038,0.5561426376020787,0.6483202450611055,0.515713656982479,0.2797374580888408,0.36050150122602703,0.19762706309066003,0.3746315245021223,0.3550100962838546
mean_gray,0.9997824794090333,0.9997824794090333,0.9846801352701021,0.9846832686220569,1.0,0.9957604702487399,0.999159107283291,0.9962276115991934,0.9842856441087213,0.9842856441087213,0.9985316947826598,0.9997824794090333,0.7044294258854038,0.8933960278579726,0.8564788385227323,0.5931166029517412,0.8393193205161372,0.6739357271180274,0.5717257863528092,0.010218798725124706,0.574298680590843,0.5636203820421828,0.5237220098391374,0.5224111143292102,0.1831908860686431,0.38120677339990333,0.06755972694486846,0.40199459294757917,0.37932422460544685
median_gray,0.9952596697285703,0.9952596697285703,0.9794676527988979,0.9794725177417958,0.9957604702487399,1.0,0.9939940424651994,0.9991968210793164,0.9873529186567763,0.9873529186567763,0.9951040327841693,0.9952596697285703,0.6834635004464314,0.9017301530377597,0.8728463517312908,0.57095724327437,0.8500443400378747,0.6499259858719572,0.598795971983985,0.03267562206383313,0.601340378347883,0.5862849467556066,0.5164151728251698,0.5390901357036986,0.15950828455456026,0.35150977009374573,0.057021418508922006,0.3746024042878327,0.3533607739940436
mean_g,0.9988672932683438,0.9988672932683438,0.9804487908250508,0.9804524189167879,0.999159107283291,0.9939940424651994,1.0,0.9957842557828935,0.9791557887375264,0.9791557887375264,0.9959660567281003,0.9988672932683438,0.7070033096030023,0.8914095651752667,0.8542362819390195,0.5950807198876116,0.837211151846977,0.6771158319822471,0.5600754065884909,0.012870574437491709,0.562953472815595,0.5515831157680784,0.507600501748596,0.5124401287560284,0.17964607552821202,0.4089355364370696,0.06157048959655002,0.4301240133316708,0.40689195727778155
median_g,0.9956606752972675,0.9956606752972675,0.9770909033125299,0.9770960988885021,0.9962276115991934,0.9991968210793164,0.9957842557828935,1.0,0.9837670692665665,0.9837670692665665,0.9939591654010813,0.9956606752972675,0.6883761690164462,0.8995856101031834,0.8703562620008506,0.5754151932693968,0.8476055218898871,0.6552408884365781,0.5868720568091864,0.032662938588741135,0.589802980178492,0.573614678786628,0.5036528670722484,0.5281727281176658,0.15845921182237774,0.3782385080669835,0.05326937451428636,0.4014533600375621,0.37989236669312393
median_r,0.9863343452808055,0.9863343452808055,0.9949595071017384,0.9949623522336871,0.9842856441087213,0.9873529186567763,0.9791557887375264,0.9837670692665665,1.0,1.0,0.9906854179401728,0.9863343452808055,0.7512083114872155,0.8439236983799444,0.8080891408888567,0.6520360831888744,0.782981219440427,0.698773890386972,0.5952934725774768,0.08086458787374401,0.5979423728893588,0.5872105764124578,0.6291665414806282,0.5400018792599434,0.24034602624362517,0.3251615537933716,0.173259258074895,0.34269913974202465,0.3244530909826414
median_v,0.9863343452808055,0.9863343452808055,0.9949595071017384,0.9949623522336871,0.9842856441087213,0.9873529186567763,0.9791557887375264,0.9837670692665665,1.0,1.0,0.9906854179401728,0.9863343452808055,0.7512083114872155,0.8439236983799444,0.8080891408888567,0.6520360831888744,0.782981219440427,0.698773890386972,0.5952934725774768,0.08086458787374401,0.5979423728893588,0.5872105764124578,0.6291665414806282,0.5400018792599434,0.24034602624362517,0.3251615537933716,0.173259258074895,0.34269913974202465,0.3244530909826414
