removed_feature,retained_feature,pairwise_abs_spearman
luv_v,lab_b,0.985500661199105
HI,median_h,0.9620460020317187
mean_h,median_h,0.969383127113212
mean_v,mean_r,0.9999999175433696
mean_g,mean_r,0.9804524189167879
luv_L,mean_r,0.9874329498756451
lab_L,mean_r,0.9874329498756451
xyz_Y,mean_r,0.9874329498756451
mean_gray,mean_r,0.9846832686220569
xyz_X,mean_r,0.9909521988606556
mean_s,median_s,0.9539095779075024
median_r,mean_r,0.9949623522336871
median_v,mean_r,0.9949623522336871
median_g,mean_r,0.9770960988885021
median_gray,mean_r,0.9794725177417958
energy,entropy,0.9987323117643967
homogeneity,entropy,0.9214478559730037
median_b,xyz_Z,0.9918795480510442
mean_b,xyz_Z,0.9924543112964553
contrast,entropy,0.9688861449154665
