Sample_No,image_no,moisture,soil_type,soc,SI,lab_b,CI,median_s,luv_u,mean_r,entropy,xyz_Z
1,1,12.26,1,1.17,1.759089272,21.45497656,0.486021303,82,15.48869645,175.0611647,13.72292041,0.220850794
3,4,68.36,1,3.34,0.538802673,9.028345875,0.228250108,41,7.254426272,152.9510922,14.41565351,0.243752688
4,6,13.5,1,1.22,2.193528626,25.68159375,0.658256742,99,15.82543867,162.9836177,13.30445934,0.159225604
4,7,13.5,1,1.22,1.635630565,22.59476564,0.430063861,85,15.26672661,171.9700853,14.18959667,0.20474305
6,11,69.63,1,4.43,0.604913626,9.790854304,0.269885757,45,7.764245388,150.7805724,14.77236308,0.228473536
7,12,86.86,1,5.34,0.876443863,14.41146271,0.331214571,64,11.16373759,155.5428292,14.78650092,0.206031298
7,13,86.86,1,5.34,0.516181895,9.199314691,0.216992828,41,6.708487394,151.6105708,14.64671975,0.240142711
7,14,86.86,1,5.34,0.679224061,11.05930802,0.286096673,50,9.007474734,156.0714286,14.59384319,0.235813756
8,15,4.13,1,0.99,2.100016312,28.05963592,0.564867767,108,16.40336662,159.6281091,14.05548365,0.138034128
8,16,4.13,1,0.99,1.613534721,28.04520664,0.44245281,107,16.37981651,159.1781728,14.7445965,0.136946846
9,17,34.31,1,1.31,1.340567284,21.71090729,0.416578934,88,15.44275975,162.1806441,14.74362522,0.175969596
9,18,34.31,1,1.31,1.33586119,21.04492444,0.38890096,81,15.04517697,170.7757494,14.44932319,0.209500065
9,19,34.31,1,1.31,1.393296657,22.38156081,0.427462244,88,16.02175846,167.9445552,14.45816692,0.189339846
1,20,0.0,1,1.38,1.67808977,24.66506552,0.648100168,103,12.77337398,141.3242188,13.35948335,0.113908494
2,23,0.0,1,1.48,2.554788608,25.41573076,0.740292677,100,12.93439414,149.6930604,12.46003892,0.131992166
3,27,0.0,1,2.12,1.907125073,20.95550546,0.596571441,88,10.94480709,141.894591,12.71577259,0.134446027
4,28,0.0,1,1.32,2.201644392,16.46758082,0.575721304,69,10.74261401,153.7985292,11.94103641,0.191272098
4,29,0.0,1,1.32,1.807602683,22.75106242,0.595493648,93,11.34343011,142.8822943,12.90531423,0.128933763
5,32,0.0,1,2.2,2.125487546,21.09028803,0.637649617,88,11.14222079,143.069874,12.44980918,0.136506462
6,35,0.0,1,1.49,2.347138528,21.70339217,0.521455838,86,10.90890282,148.82954,12.74096371,0.151011479
7,37,0.0,1,6.72,1.44892399,15.45180607,0.66637065,74,10.95433587,136.729831,12.29190276,0.141978743
7,38,0.0,1,6.72,1.568965935,21.15370636,0.622207117,92,13.41415885,144.2184311,13.56136958,0.132411526
7,39,0.0,1,6.72,1.048673138,14.10091343,0.241304411,53,7.287311746,161.938915,14.0290953,0.249410384
9,44,0.0,1,3.11,1.555403349,20.57595311,0.672724991,90,11.86956953,138.2390784,12.6241574,0.123416844
9,45,0.0,1,3.11,1.743983518,19.33765306,0.451013663,74,10.80353738,161.6602559,13.24298883,0.20350709
1,47,46.78,1,1.38,1.794961846,25.45449797,0.672643896,108,17.29596018,149.6291853,14.01263731,0.119429098
2,48,46.5,1,1.48,1.230061812,20.9526996,0.54058725,102,13.65754895,128.1736886,13.62981921,0.093442374
2,49,46.5,1,1.48,1.621931102,22.83062649,0.62503459,105,15.58461183,138.4635085,13.7689041,0.105978476
3,50,51.14,1,2.12,1.550449558,20.50542026,0.566437442,94,14.28769584,138.6976443,14.00057271,0.117965463
4,51,48.55,1,1.32,1.016479046,19.83771306,0.464837604,99,12.27455395,123.261639,13.72347387,0.089489534
4,52,48.55,1,1.32,1.531173799,21.73731401,0.563481382,99,14.76721916,139.571887,13.98275807,0.11448355
5,53,51.05,1,2.2,1.451034298,21.01651455,0.533039204,95,14.29466091,141.9511918,14.18941977,0.124377758
6,55,39.76,1,1.49,1.298189206,19.33637554,0.512519031,88,11.5560495,132.890346,13.63469672,0.115229053
7,58,53.32,1,6.72,0.89256295,15.2289042,0.340840508,75,10.19973566,130.0918766,14.42854317,0.1269833
8,59,48.3,1,1.18,1.802034073,26.56302387,0.699259388,114,17.09867837,144.7016303,13.85401045,0.104350001
8,60,48.3,1,1.18,1.876995119,26.85779375,0.674010723,113,17.18651234,148.0205875,13.92473775,0.110885494
9,61,58.85,1,3.11,1.354423456,17.7059432,0.540528522,81,12.41619085,140.6910276,13.96652374,0.139359337
9,62,58.85,1,3.11,1.301763196,17.77542398,0.521148732,83,12.03948298,137.1311185,13.92345283,0.130508509
9,63,58.85,1,3.11,1.401336509,19.47849436,0.557821011,91,13.2065762,135.4589644,13.98314857,0.116504053
1,65,6.86,1,1.38,2.038112606,30.37366933,0.617167587,122,17.620782,151.8234813,14.14361083,0.106810902
2,66,7.21,1,1.48,1.912338151,27.5179118,0.695701127,113,16.09054249,148.1412229,13.72780103,0.111695738
2,67,7.21,1,1.48,2.22592103,29.49461261,0.685565686,116,17.19465355,154.6802256,13.81740287,0.117704139
3,68,12.83,1,2.12,1.561901953,26.17796897,0.465187205,111,15.87113249,144.3299187,14.44186811,0.107807602
3,69,12.83,1,2.12,1.753374148,28.05749926,0.52236222,113,17.29209471,152.8005222,14.26573768,0.117968356
4,70,7.34,1,1.32,2.053647028,29.6713274,0.631947519,119,17.8203759,152.5439055,14.10769129,0.110369519
4,71,7.34,1,1.32,1.838508178,27.70624799,0.625009191,114,16.79691377,149.9001315,14.1312092,0.113442077
5,73,10.52,1,2.2,1.790423769,26.5622169,0.539493971,109,16.12260806,148.9572106,14.14327606,0.116928549
6,76,8.04,1,1.49,1.910268541,27.26856508,0.525890802,106,15.9526602,156.5037269,14.01483696,0.134076039
7,77,12.25,1,6.72,1.446137149,25.91886743,0.501551549,113,17.16664427,144.5807159,14.65611076,0.106029877
7,78,12.25,1,6.72,1.502242843,27.38452917,0.512860037,121,18.36969865,143.7710061,14.64672957,0.096647799
7,79,12.25,1,6.72,1.464567858,26.65886839,0.511007625,114,17.81389848,147.933514,14.700802,0.10978057
8,80,7.07,1,1.18,2.161013289,30.24916119,0.682839252,122,17.85726293,151.1367785,13.95919457,0.105080049
8,82,7.07,1,1.18,2.440508456,32.67596585,0.673267459,125,19.36677751,159.744898,14.08399892,0.11317784
9,83,14.96,1,3.11,1.726621592,27.51209058,0.57439807,113,19.12078465,155.5149673,14.2940207,0.121857862
9,84,14.96,1,3.11,1.705720459,25.23561937,0.561433053,105,17.34268123,152.4481425,14.19813227,0.1272586
9,85,14.96,1,3.11,1.694390704,26.1513633,0.503640162,108,17.23580338,152.3059232,14.43392979,0.123789391
1,86,2.73,1,1.38,1.76239758,24.18840747,0.515442098,95,13.43267862,155.6067243,13.86428058,0.151828458
1,87,2.73,1,1.38,1.625447345,23.25533447,0.475379975,92,12.89902187,153.4893575,13.92134858,0.151388508
2,88,5.1,1,1.48,2.130419545,28.52628432,0.556322348,109,15.59406153,158.2756696,13.75343567,0.134923015
2,89,5.1,1,1.48,2.021038532,27.30332519,0.477631525,99,14.57301826,166.3104074,13.90486492,0.166144289
3,91,5.56,1,2.12,1.536643874,25.22523606,0.464807857,96,14.54098008,159.6640027,14.21993133,0.155608724
3,92,5.56,1,2.12,1.366757863,23.57987407,0.403303266,94,13.514467,151.4877033,14.42378686,0.142392268
4,93,2.37,1,1.32,1.774299238,25.92480505,0.586553123,102,14.46141972,153.7695313,13.94340743,0.136386774
4,94,2.37,1,1.32,1.772010979,25.44259648,0.524094928,97,14.33286544,159.4185467,14.01511127,0.1546324
5,95,4.33,1,2.2,1.690854317,24.54894758,0.481726955,96,13.54243441,153.835499,14.02222178,0.144919745
5,96,4.33,1,2.2,1.607494609,23.71183199,0.441019034,91,13.01780488,157.351144,14.10156579,0.160396419
6,97,2.79,1,1.49,1.512366703,24.02142588,0.380015542,90,12.00786055,157.8844467,14.15149804,0.164080057
6,98,2.79,1,1.49,1.452527188,23.20609535,0.351639837,85,11.99854164,162.5595105,14.24365562,0.182573472
7,99,5.68,1,6.72,1.337202768,23.80585106,0.412685044,100,14.07189443,146.388074,14.57476823,0.126132768
7,100,5.68,1,6.72,1.20900723,21.48224242,0.392550808,92,12.7606842,143.4782964,14.59769638,0.131124743
8,101,3.91,1,1.18,2.035033189,29.25144713,0.517935117,109,16.27576068,162.5590123,14.03987337,0.141608404
8,102,3.91,1,1.18,1.904649838,28.39024087,0.478114982,104,15.65664464,164.9670759,14.12308836,0.15385972
8,103,3.91,1,1.18,2.013245399,32.39009411,0.444325601,116,16.24950699,165.0045041,14.49627251,0.135746199
9,104,10.48,1,3.11,1.707694413,25.83328353,0.507947568,102,15.34525363,155.2989278,14.22387203,0.138263094
9,105,10.48,1,3.11,1.532240433,23.86476567,0.43857271,94,13.90229358,153.9855309,14.25445723,0.147034686
9,106,10.48,1,3.11,1.850898298,30.55683042,0.465347175,114,17.54532187,163.0736408,14.59998102,0.134131195
1,107,0.75,1,1.38,1.904631341,28.83063551,0.643666737,117,16.68024869,149.5976762,14.01040364,0.109157617
2,110,0.71,1,1.48,2.470900447,30.98665856,0.636438684,118,17.98378486,161.2184511,13.89363555,0.126468735
3,115,0.85,1,2.12,1.706146553,26.56555909,0.517783459,104,15.32661651,154.8213688,14.12675376,0.134148973
4,116,0.69,1,1.32,1.894786755,26.6056672,0.718424307,109,15.50386649,149.1075614,13.59067464,0.118794995
4,118,0.69,1,1.32,2.438190383,33.00757826,0.568716715,120,19.45677411,169.5285993,14.30738083,0.136228947
5,120,0.87,1,2.2,1.799261986,25.62439845,0.646225765,106,15.20428125,147.8927176,13.79719613,0.120115219
6,122,0.62,1,1.49,1.581913066,24.10742788,0.502062023,98,13.71467054,147.782665,13.97084294,0.129669365
6,123,0.62,1,1.49,1.7273307,27.99360842,0.494106523,105,16.27099836,161.6867626,14.2285217,0.144334109
7,126,1.03,1,6.72,1.297058266,22.21779936,0.420091446,98,13.479766,139.8386679,14.49823598,0.116955951
8,128,0.68,1,1.18,2.264788022,30.45290319,0.586882772,115,17.66624853,162.5983937,14.11031709,0.132943104
8,130,0.68,1,1.18,2.221075233,30.09330336,0.637581082,118,17.45332589,155.6548948,13.96226278,0.117278014
9,131,0.98,1,3.11,1.876385358,25.10279735,0.545323066,99,15.81392154,158.6738481,14.08609769,0.149211965
9,132,0.98,1,3.11,1.869011999,27.27597767,0.543357615,107,17.04010632,157.7781808,14.24071496,0.134308638
9,133,0.98,1,3.11,1.770446405,26.50221808,0.536975799,103,16.55382259,159.5723852,14.24721606,0.143697226
1,134,19.4,1,1.38,1.83766853,30.64861096,0.709954982,134,19.21811355,142.1470225,14.1048234,0.081840515
1,135,19.4,1,1.38,1.948217964,29.46864507,0.635820193,120,18.64730249,152.7097816,14.3203678,0.109406175
2,136,19.86,1,1.48,2.071200376,29.83606423,0.737041264,123,19.56225034,151.5737006,13.91683637,0.103383709
2,137,19.86,1,1.48,1.634844986,27.7624632,0.779897387,123,17.78281239,139.83524,13.76246221,0.088449836
3,139,5.03,1,2.12,1.471343686,22.02505101,0.531295366,101,15.29668032,140.0151865,14.3076545,0.113153859
3,140,5.03,1,2.12,1.439225864,25.02568001,0.531187878,114,17.04596415,140.9127272,14.54248657,0.100854274
3,141,5.03,1,2.12,1.398399945,24.83228047,0.511788518,112,15.90210884,139.0050223,14.51008876,0.099928431
4,142,1.81,1,1.32,1.898723427,28.64314521,0.725068336,121,18.41322505,149.114198,13.89459794,0.104430526
4,143,1.81,1,1.32,1.94440503,29.54423996,0.674189688,121,19.45196136,154.6189214,14.22376804,0.111655879
4,144,1.81,1,1.32,1.938124613,29.02079764,0.667903791,119,19.02196783,153.6031768,14.2168291,0.112114399
5,145,4.12,1,2.2,1.793764552,26.28289775,0.582866175,109,16.95972973,150.2485651,14.29359986,0.118891497
5,146,4.12,1,2.2,1.632716426,23.88247459,0.54094422,104,15.08710729,142.839784,14.31645959,0.114136648
5,147,4.12,1,2.2,1.85292807,28.25565804,0.593602456,117,17.84568451,150.3342235,14.35952676,0.109933734
6,148,2.36,1,1.49,1.629240326,25.9561604,0.595782694,111,16.07178282,145.015904,14.30116183,0.109663932
7,150,25.64,1,6.72,1.290654952,22.11997784,0.482116342,110,16.13569623,132.4382374,14.52182269,0.09332684
7,151,25.64,1,6.72,1.27332806,23.25571704,0.497522814,114,17.11774858,134.1554129,14.66970901,0.091351225
7,152,25.64,1,6.72,1.129590074,19.88403348,0.44668196,99,14.08857142,130.6450694,14.58173575,0.10126108
8,153,22.42,1,1.18,2.108339684,31.63344818,0.859935222,133,20.6574097,148.3475167,13.75656032,0.088469749
8,154,22.42,1,1.18,2.313487995,32.87979933,0.892511987,133,22.00949264,154.9745297,13.87255548,0.095671101
8,155,22.42,1,1.18,2.180953412,30.16329012,0.722312547,124,17.80345967,147.2827846,13.85525333,0.096904737
9,156,23.27,1,3.11,1.516833098,25.64272902,0.585901537,113,17.06120541,143.9930046,14.42570349,0.105843383
9,157,23.27,1,3.11,1.477067534,22.38201193,0.49213868,100,14.85344865,142.5615633,14.47715724,0.119392798
9,158,23.27,1,3.11,1.36123476,20.7700067,0.497543769,97,14.1651201,137.7577129,14.44716014,0.115028104
1,159,3.03,1,1.38,1.923519906,27.67676431,0.578094432,109,16.04185333,154.2984096,14.10470207,0.126497678
1,161,3.03,1,1.38,2.163035273,29.30200907,0.606506792,113,17.23375777,158.2329998,13.98981959,0.127205524
2,162,2.6,1,1.48,2.380456554,31.4521482,0.563620354,115,18.03339909,167.3793248,14.07407327,0.140707952
2,164,2.6,1,1.48,2.294698264,33.39861497,0.486660064,116,19.35977026,177.0750359,14.24225977,0.155695018
3,165,5.03,1,2.12,1.71317914,27.5318751,0.493447542,110,16.28569429,153.931262,14.40861759,0.125423322
3,167,5.03,1,2.12,1.48537349,25.73131108,0.408469965,100,13.68248613,153.4089804,14.55757211,0.138515953
4,169,1.81,1,1.32,2.141876175,29.92573186,0.489582712,107,16.87846855,170.5571987,14.07345629,0.159603815
4,170,1.81,1,1.32,2.055959949,28.03051031,0.602466508,108,15.84143735,158.6512077,13.74279265,0.137159804
5,171,4.12,1,2.2,2.050483233,28.08364406,0.558312351,106,16.97493012,162.8484136,14.06505819,0.145072396
5,172,4.12,1,2.2,2.107289541,29.64955339,0.548734759,110,18.03122698,165.8181401,14.1917556,0.143746086
5,173,4.12,1,2.2,1.858098729,29.30242287,0.452311055,107,16.80742424,165.676419,14.38517929,0.148454332
6,174,2.36,1,1.49,1.770565723,26.57656675,0.534905445,102,14.51191766,157.8702766,13.98345689,0.14488141
