feature,scaled_variance,stage1_pass,reason
mean_r,0.040523398211549974,True,retained
mean_g,0.041892653155041204,True,retained
mean_b,0.029030940293809107,True,retained
median_r,0.04105123055945279,True,retained
median_g,0.04221452018767955,True,retained
median_b,0.030395116953588378,True,retained
mean_h,0.02607194355696843,True,retained
mean_s,0.027897327586444278,True,retained
mean_v,0.04052338770503428,True,retained
median_h,0.028757220766277864,True,retained
median_s,0.028670865869047473,True,retained
median_v,0.04105123055945279,True,retained
mean_gray,0.04088108259003492,True,retained
median_gray,0.041621903597148034,True,retained
contrast,0.035873876601662566,True,retained
energy,0.026435851434267615,True,retained
homogeneity,0.020260106710112802,True,retained
entropy,0.03464827407666053,True,retained
RI,0.0141758047879466,True,retained
CI,0.029343386144611853,True,retained
HI,0.027218217789092045,True,retained
SI,0.04629750945459067,True,retained
lab_L,0.04048613665805857,True,retained
lab_a,0.021660635631918005,True,retained
lab_b,0.044118549374106544,True,retained
luv_L,0.04048613665805857,True,retained
luv_u,0.03227155732905406,True,retained
luv_v,0.04590503065021227,True,retained
xyz_X,0.04129712449070349,True,retained
xyz_Y,0.042576593787092214,True,retained
xyz_Z,0.030600077020242374,True,retained
