feature,spearman_rho,abs_spearman,spearman_p,mi_observed,mi_null_95,mi_pass,corr_pass,stage2_pass
SI,-0.31272124502954435,0.31272124502954435,2.7756979972447987e-13,0.14196700413190388,0.04021985379978371,True,True,True
lab_b,-0.28907220119000115,0.28907220119000115,1.738183328008967e-11,0.1850646340945845,0.046840137425013355,True,True,True
luv_v,-0.2854573011817967,0.2854573011817967,3.1655189922590783e-11,0.17868572642351044,0.045920009374285434,True,True,True
CI,-0.2567495569520911,0.2567495569520911,2.742597114188756e-09,0.11741642538536379,0.04254107900947299,True,True,True
median_h,-0.22419106197153946,0.22419106197153946,2.32932406344541e-07,0.2935511814112792,0.0407498258633088,True,True,True
median_s,-0.20899319991967855,0.20899319991967855,1.493218830012689e-06,0.1338592759733377,0.04096375402621542,True,True,True
luv_u,-0.2064165211171843,0.2064165211171843,2.019204289627122e-06,0.09099198949272846,0.03928828653613061,True,True,True
HI,0.20259922037820718,0.20259922037820718,3.1355291313119247e-06,0.17560326231272683,0.04296574656783233,True,True,True
mean_h,-0.1982101130837462,0.1982101130837462,5.147881148347003e-06,0.2176616334149939,0.04153534735124895,True,False,True
mean_s,-0.1884772099700619,0.1884772099700619,1.4869582549330428e-05,0.1385478378910303,0.03889672874370776,True,False,True
mean_r,-0.1669459129071287,0.1669459129071287,0.00012900096841201615,0.11843800716717823,0.03924856382130526,True,False,True
mean_v,-0.16694242690420424,0.16694242690420424,0.000129043464069908,0.11801426832798789,0.03968213473378612,True,False,True
median_r,-0.1531231305856414,0.1531231305856414,0.0004524903267325314,0.13948452467194805,0.041290542465673125,True,False,True
median_v,-0.1531231305856414,0.1531231305856414,0.0004524903267325314,0.1360248521096663,0.04523197944778,True,False,True
mean_g,-0.14607257764007212,0.14607257764007212,0.0008254581605836344,0.10882409756652223,0.04445067375242372,True,False,True
lab_L,-0.14532300198685144,0.14532300198685144,0.0008785930252013012,0.10920731016615992,0.039329294904080124,True,False,True
luv_L,-0.14532300198685144,0.14532300198685144,0.0008785930252013012,0.10920731016615992,0.03916310811017999,True,False,True
xyz_Y,-0.14532300198685144,0.14532300198685144,0.0008785930252013012,0.10418388838734316,0.042338344841788424,True,False,True
xyz_X,-0.14217386597913959,0.14217386597913959,0.0011382104690222043,0.11111341989485268,0.04481019221832923,True,False,True
mean_gray,-0.14203051473692882,0.14203051473692882,0.0011515623729464615,0.09449147754185727,0.03618674275982103,True,False,True
median_g,-0.1373200349887797,0.1373200349887797,0.0016793839606669882,0.11348589220626337,0.040401881152421056,True,False,True
median_gray,-0.132113544164658,0.132113544164658,0.002514764901657342,0.09952928718374388,0.04075065034289469,True,False,True
entropy,0.12044403679843528,0.12044403679843528,0.005912226687180737,0.1598643227342098,0.040987908632652593,True,False,True
energy,-0.11383810376881251,0.11383810376881251,0.009305524214187818,0.17461182923856455,0.0394611455432445,True,False,True
contrast,0.06543078696405491,0.06543078696405491,0.13583108422727205,0.11892431760575306,0.04050383298250028,True,False,True
lab_a,0.04860635906929818,0.04860635906929818,0.26809914028805504,0.1145139393104957,0.0412024155921664,True,False,True
xyz_Z,-0.028225060361360042,0.028225060361360042,0.5203346427730644,0.13128440799311658,0.03974488334877178,True,False,True
homogeneity,-0.014396639419023591,0.014396639419023591,0.7430348240012011,0.05121037499522352,0.04210117545817894,True,False,True
mean_b,0.009017141735349305,0.009017141735349305,0.8373143806103234,0.14105702004089604,0.044751600104981665,True,False,True
median_b,-0.0019607866136221396,0.0019607866136221396,0.964387618235016,0.07398414620081084,0.040493334350189994,True,False,True
RI,0.036273348357093914,0.036273348357093914,0.4086691815671689,0.03332505225334703,0.04449203995005637,False,False,False
