feature,loading_PC1,loading_PC2,contribution_PC1,contribution_PC2,expected_contribution,PC1_influential,PC2_influential,PCA_pass,vw_score
luv_L,0.23991222930407516,-0.01681921089128807,0.057557877769651204,0.00028288585500562335,0.03333333333333333,True,False,True,0.033001137897288466
lab_L,0.23991222930407516,-0.016819210891288097,0.057557877769651204,0.00028288585500562427,0.03333333333333333,True,False,True,0.033001137897288466
mean_gray,0.23968864457524947,-0.022820804539655293,0.057450646338320324,0.0005207891198371519,0.03333333333333333,True,False,True,0.032984098023523034
mean_r,0.23922076033287848,0.03185078909260846,0.05722657217424055,0.0010144727658218267,0.03333333333333333,True,False,True,0.03294784856633074
mean_v,0.2392214623456103,0.03183450905991281,0.0572269080467723,0.0010134359670856713,0.03333333333333333,True,False,True,0.03294784758042581
median_gray,0.23919458219104628,-0.027681224648044067,0.05721404814954926,0.0007662501980154829,0.03333333333333333,True,False,True,0.03289441222009632
mean_g,0.2393158088872087,-0.024220115918194316,0.05727205638333906,0.0005866140150907702,0.03333333333333333,True,False,True,0.03289413539649534
median_g,0.23898370661624932,-0.028462316555987813,0.05711321202804159,0.0008101034637332585,0.03333333333333333,True,False,True,0.03284486359694827
median_r,0.23875388245036244,0.02114398963469414,0.05700341638512155,0.00044706829767205347,0.03333333333333333,True,False,True,0.03271434478872461
median_v,0.2387538824503624,0.021143989634694015,0.057003416385121526,0.0004470682976720482,0.03333333333333333,True,False,True,0.0327143447887246
xyz_Y,0.23833806867988994,-0.016043545455642544,0.05680503498205999,0.0002573953507872687,0.03333333333333333,True,False,True,0.03256542958978458
xyz_X,0.23837424299978563,-0.01319810514356548,0.05682227972572091,0.0001741899793806097,0.03333333333333333,True,False,True,0.03255979221552096
luv_v,0.17345969285308785,0.2859855882250141,0.03008826504468761,0.08178775667240737,0.03333333333333333,False,True,True,0.032468429552149375
lab_b,0.14386264938105764,0.329407593226938,0.020696461886937148,0.10850936247556393,0.03333333333333333,False,True,True,0.03207292563577255
median_b,0.201152217988991,-0.21272377894896483,0.04046221480189059,0.045251406130328076,0.03333333333333333,True,True,True,0.031596747481190054
mean_b,0.1964800430222191,-0.22569067781510335,0.03860440730601311,0.05093628205264082,0.03333333333333333,True,True,True,0.03159288935551252
xyz_Z,0.20468456013562486,-0.19709506951719247,0.04189576915791428,0.03884646642798696,0.03333333333333333,True,True,True,0.03122353101897933
median_s,0.0009387894769344284,0.38967825148516577,8.813256820028185e-07,0.1518491396805362,0.03333333333333333,False,True,True,0.028304212467742534
SI,0.17856386211104402,0.22921980010644194,0.03188505285201198,0.052541716760837236,0.03333333333333333,False,True,True,0.028045707389406264
luv_u,0.1280441675748838,0.27320609974781235,0.016395308849944938,0.07464157293941165,0.03333333333333333,False,True,True,0.0232980359664407
mean_s,0.014347621910373429,0.3488479156535091,0.0002058542544830279,0.12169486825579788,0.03333333333333333,False,True,True,0.022800983855576017
entropy,0.13581956047955515,-0.18856505615544839,0.01844695300885956,0.035556780402907426,0.03333333333333333,False,True,True,0.01718732314558351
CI,0.06855287884069254,0.2782989653135089,0.004699497197346677,0.07745031409456968,0.03333333333333333,False,True,True,0.01712642134531186
energy,-0.13261677151718632,0.17567060960613945,0.01758720808764162,0.030860163079392676,0.03333333333333333,False,False,False,0.015819751672304542
contrast,0.11843654330462475,-0.18443151913318426,0.014027214789948268,0.03401498524977413,0.03333333333333333,False,True,True,0.014369909120259972
homogeneity,-0.1279900691113243,0.14150899740850162,0.016381457791121587,0.020024796347559333,0.03333333333333333,False,False,False,0.013109889404650322
HI,-0.0784727189057847,-0.16332854904490648,0.006157967612466305,0.02667621493311444,0.03333333333333333,False,False,False,0.00849734041522554
mean_h,0.08839202500371951,0.13556956055399907,0.007813150084258183,0.018379105748804435,0.03333333333333333,False,False,False,0.007898304384244565
median_h,0.08530522832969649,0.1327995552336058,0.0072769819803816605,0.017635721870243523,0.03333333333333333,False,False,False,0.00745281851953104
lab_a,-0.03349638533964209,0.08209864623132877,0.0011220078308217907,0.006740187713016878,0.03333333333333333,False,False,False,0.00189860959798052
