,luv_L,lab_L,mean_gray,mean_r,mean_v,median_gray,mean_g,median_g,median_r,median_v,xyz_Y,xyz_X,luv_v,lab_b,median_b,mean_b,xyz_Z,median_s,SI,luv_u,mean_s,entropy,CI,contrast
luv_L,1.0,1.0,0.9997928726468007,0.9847411374779169,0.984761247753504,0.9956430470861055,0.998817397000599,0.9953093006006151,0.9848065443372938,0.9848065443372938,1.0,0.9989812490772184,0.681881405377335,0.5728535038548938,0.8616044489573476,0.8445782018189193,0.9006037325350318,0.02535048227793806,0.6841139853814419,0.49231566853514036,0.03356617129203005,0.5368509344914136,0.17214616521652062,0.5358522938442192
lab_L,1.0,1.0,0.9997928726468007,0.9847411374779169,0.984761247753504,0.9956430470861055,0.998817397000599,0.9953093006006151,0.9848065443372938,0.9848065443372938,1.0,0.9989812490772184,0.681881405377335,0.5728535038548938,0.8616044489573476,0.8445782018189193,0.9006037325350318,0.02535048227793806,0.6841139853814419,0.49231566853514036,0.03356617129203005,0.5368509344914136,0.17214616521652062,0.5358522938442192
mean_gray,0.9997928726468007,0.9997928726468007,1.0,0.9818193774809038,0.9818420333609955,0.9960481378311206,0.9992201964867263,0.995892032569581,0.9824042300438104,0.9824042300438104,0.9997928726468007,0.9984830742756482,0.6704961043765729,0.5600180568212867,0.8694928043625951,0.8530218022540479,0.9074940899548749,0.04045532428500935,0.6758464559245551,0.4793052536185768,0.0187863915377318,0.5386649322614642,0.16191962338629887,0.5371329874705346
mean_r,0.9847411374779169,0.9847411374779169,0.9818193774809038,1.0,0.9999995757325826,0.9766160858320271,0.9767099249725499,0.9727076340399291,0.995685995067385,0.995685995067385,0.9847411374779169,0.9892993817575193,0.7630211064554833,0.66786683433715,0.7869899860934328,0.7664801587099556,0.8327010900278489,0.09988701449235877,0.7474712813385128,0.6212132011655475,0.15762807360530573,0.5265060220517233,0.27100929824472086,0.5312052079674027
mean_v,0.984761247753504,0.984761247753504,0.9818420333609955,0.9999995757325826,1.0,0.9766434935217296,0.976734702189729,0.9727356822327119,0.995692147666872,0.995692147666872,0.984761247753504,0.9893176252564696,0.7629650183028964,0.6678100673566952,0.7870488027970844,0.7665344649393891,0.8327547174294146,0.09983129476309485,0.7474361519963479,0.6211648346799581,0.15757249457361974,0.5264999974543955,0.27095371921303485,0.5311965529120867
median_gray,0.9956430470861055,0.9956430470861055,0.9960481378311206,0.9766160858320271,0.9766434935217296,1.0,0.9950127126497116,0.9992490740358732,0.9845670090277662,0.9845670090277662,0.9956430470861055,0.994701766894557,0.6559817547943961,0.5448072981672086,0.8822615044313212,0.8592696381030038,0.9116199800786411,0.05773608841068796,0.6630607028355058,0.47169804956746714,0.011017679126595696,0.5552247658600246,0.14594556582509222,0.5484183249256632
mean_g,0.998817397000599,0.998817397000599,0.9992201964867263,0.9767099249725499,0.976734702189729,0.9950127126497116,1.0,0.9960755127293283,0.9771776604271982,0.9771776604271982,0.998817397000599,0.9959704777760241,0.6694673407427395,0.5579126721889314,0.8699743714282788,0.8535576520022876,0.9079092780495918,0.047225250172096,0.6738767520123004,0.4604284082674446,0.010107492392885204,0.531116620930639,0.1526994438702692,0.5288310923528343
median_g,0.9953093006006151,0.9953093006006151,0.995892032569581,0.9727076340399291,0.9727356822327119,0.9992490740358732,0.9960755127293283,1.0,0.9803142241545817,0.9803142241545817,0.9953093006006151,0.9929364065180005,0.6567506405241874,0.5447659606749068,0.8823928111453364,0.8594256510167464,0.9117769451348579,0.06221991236177669,0.6630294470084146,0.45589392520399863,0.004264598292071376,0.5471939751847904,0.13942137110987385,0.5397573426971259
median_r,0.9848065443372938,0.9848065443372938,0.9824042300438104,0.995685995067385,0.995692147666872,0.9845670090277662,0.9771776604271982,0.9803142241545817,1.0,1.0,0.9848065443372938,0.9893270501231236,0.7390272099522407,0.6416673724454692,0.8092485269853279,0.7834120202196232,0.8465384971587712,0.06930204430515799,0.7239148980702662,0.6021649681089131,0.1388812279729116,0.550994392219755,0.24087906469985412,0.5497276780646865
median_v,0.9848065443372938,0.9848065443372938,0.9824042300438104,0.995685995067385,0.995692147666872,0.9845670090277662,0.9771776604271982,0.9803142241545817,1.0,1.0,0.9848065443372938,0.9893270501231236,0.7390272099522407,0.6416673724454692,0.8092485269853279,0.7834120202196232,0.8465384971587712,0.06930204430515799,0.7239148980702662,0.6021649681089131,0.1388812279729116,0.550994392219755,0.24087906469985412,0.5497276780646865
xyz_Y,1.0,1.0,0.9997928726468007,0.9847411374779169,0.984761247753504,0.9956430470861055,0.998817397000599,0.9953093006006151,0.9848065443372938,0.9848065443372938,1.0,0.9989812490772184,0.681881405377335,0.5728535038548938,0.8616044489573476,0.8445782018189193,0.9006037325350318,0.02535048227793806,0.6841139853814419,0.49231566853514036,0.03356617129203005,0.5368509344914136,0.17214616521652062,0.5358522938442192
xyz_X,0.9989812490772184,0.9989812490772184,0.9984830742756482,0.9892993817575193,0.9893176252564696,0.994701766894557,0.9959704777760241,0.9929364065180005,0.9893270501231236,0.9893270501231236,0.9989812490772184,1.0,0.6846465258438255,0.5774029233722132,0.8570790001160031,0.8399554688918645,0.8964640704894858,0.014112453683509293,0.6872422787572698,0.5158722683542327,0.046957408642497,0.5446940268238832,0.1841151733302107,0.5446624613280249
luv_v,0.681881405377335,0.681881405377335,0.6704961043765729,0.7630211064554833,0.7629650183028964,0.6559817547943961,0.6694673407427395,0.6567506405241874,0.7390272099522407,0.7390272099522407,0.681881405377335,0.6846465258438255,1.0,0.9851041406802874,0.2645253238773702,0.23020953719213036,0.3315523435683605,0.6234139738547034,0.8675407424000977,0.8213612704942376,0.6209627985357683,0.21025513745415791,0.5810299855239958,0.23233138340028273
lab_b,0.5728535038548938,0.5728535038548938,0.5600180568212867,0.66786683433715,0.6678100673566952,0.5448072981672086,0.5579126721889314,0.5447659606749068,0.6416673724454692,0.6416673724454692,0.5728535038548938,0.5774029233722132,0.9851041406802874,1.0,0.12790952566961847,0.09188096413922081,0.19729716199039118,0.7382823812357567,0.8293448801953667,0.850102163594122,0.7255750944843539,0.13156634439313636,0.6114739728910091,0.1587197985238888
median_b,0.8616044489573476,0.8616044489573476,0.8694928043625951,0.7869899860934328,0.7870488027970844,0.8822615044313212,0.8699743714282788,0.8823928111453364,0.8092485269853279,0.8092485269853279,0.8616044489573476,0.8570790001160031,0.2645253238773702,0.12790952566961847,1.0,0.9938084851557047,0.9914263237852293,0.4678979127927626,0.36971059597190603,0.12022456742209234,0.3844847068975012,0.5848129142643378,0.0996452138970553,0.5664971975402966
mean_b,0.8445782018189193,0.8445782018189193,0.8530218022540479,0.7664801587099556,0.7665344649393891,0.8592696381030038,0.8535576520022876,0.8594256510167464,0.7834120202196232,0.7834120202196232,0.8445782018189193,0.8399554688918645,0.23020953719213036,0.09188096413922081,0.9938084851557047,1.0,0.9922398943743838,0.49645884110424104,0.3377523330465286,0.08965364505109029,0.4167353131348101,0.5862942956397189,0.1192174472338613,0.5720785369901791
xyz_Z,0.9006037325350318,0.9006037325350318,0.9074940899548749,0.8327010900278489,0.8327547174294146,0.9116199800786411,0.9079092780495918,0.9117769451348579,0.8465384971587712,0.8465384971587712,0.9006037325350318,0.8964640704894858,0.3315523435683605,0.19729716199039118,0.9914263237852293,0.9922398943743838,1.0,0.401364869126516,0.41709712838841173,0.17842260768331322,0.3248358509361885,0.5879244159110464,0.06394117277696601,0.5777167115541594
median_s,0.02535048227793806,0.02535048227793806,0.04045532428500935,0.09988701449235877,0.09983129476309485,0.05773608841068796,0.047225250172096,0.06221991236177669,0.06930204430515799,0.06930204430515799,0.02535048227793806,0.014112453683509293,0.6234139738547034,0.7382823812357567,0.4678979127927626,0.49645884110424104,0.401364869126516,1.0,0.41289639174043397,0.7057626412715138,0.956184715922243,0.20351662941369253,0.5174785891162896,0.1625347897585556
SI,0.6841139853814419,0.6841139853814419,0.6758464559245551,0.7474712813385128,0.7474361519963479,0.6630607028355058,0.6738767520123004,0.6630294470084146,0.7239148980702662,0.7239148980702662,0.6841139853814419,0.6872422787572698,0.8675407424000977,0.8293448801953667,0.36971059597190603,0.3377523330465286,0.41709712838841173,0.41289639174043397,1.0,0.716808202277128,0.36567591739343674,0.10475247390331115,0.7243343668487623,0.12188939857547972
luv_u,0.49231566853514036,0.49231566853514036,0.4793052536185768,0.6212132011655475,0.6211648346799581,0.47169804956746714,0.4604284082674446,0.45589392520399863,0.6021649681089131,0.6021649681089131,0.49231566853514036,0.5158722683542327,0.8213612704942376,0.850102163594122,0.12022456742209234,0.08965364505109029,0.17842260768331322,0.7057626412715138,0.716808202277128,1.0,0.7321476756085268,0.2473406069739381,0.641226489221062,0.2825527661387083
mean_s,0.03356617129203005,0.03356617129203005,0.0187863915377318,0.15762807360530573,0.15757249457361974,0.011017679126595696,0.010107492392885204,0.004264598292071376,0.1388812279729116,0.1388812279729116,0.03356617129203005,0.046957408642497,0.6209627985357683,0.7255750944843539,0.3844847068975012,0.4167353131348101,0.3248358509361885,0.956184715922243,0.36567591739343674,0.7321476756085268,1.0,0.01950993719145152,0.4022179852049466,0.04169971709848604
entropy,0.5368509344914136,0.5368509344914136,0.5386649322614642,0.5265060220517233,0.5264999974543955,0.5552247658600246,0.531116620930639,0.5471939751847904,0.550994392219755,0.550994392219755,0.5368509344914136,0.5446940268238832,0.21025513745415791,0.13156634439313636,0.5848129142643378,0.5862942956397189,0.5879244159110464,0.20351662941369253,0.10475247390331115,0.2473406069739381,0.01950993719145152,1.0,0.2591786013091195,0.9591589153009499
CI,0.17214616521652062,0.17214616521652062,0.16191962338629887,0.27100929824472086,0.27095371921303485,0.14594556582509222,0.1526994438702692,0.13942137110987385,0.24087906469985412,0.24087906469985412,0.17214616521652062,0.1841151733302107,0.5810299855239958,0.6114739728910091,0.0996452138970553,0.1192174472338613,0.06394117277696601,0.5174785891162896,0.7243343668487623,0.641226489221062,0.4022179852049466,0.2591786013091195,1.0,0.2234854925999277
contrast,0.5358522938442192,0.5358522938442192,0.5371329874705346,0.5312052079674027,0.5311965529120867,0.5484183249256632,0.5288310923528343,0.5397573426971259,0.5497276780646865,0.5497276780646865,0.5358522938442192,0.5446624613280249,0.23233138340028273,0.1587197985238888,0.5664971975402966,0.5720785369901791,0.5777167115541594,0.1625347897585556,0.12188939857547972,0.2825527661387083,0.04169971709848604,0.9591589153009499,0.2234854925999277,1.0
