Sample_No,image_no,moisture,soil_type,soc,SI,luv_v,median_h,CI,luv_u,mean_r,median_s,entropy,xyz_Z
4,6,13.5,1,1.22,2.193528626,32.19006209,20,0.658256742,15.82543867,162.9836177,99,13.30445934,0.159225604
4,7,13.5,1,1.22,1.635630565,29.16849333,19,0.430063861,15.26672661,171.9700853,85,14.18959667,0.20474305
6,11,69.63,1,4.43,0.604913626,13.02560627,17,0.269885757,7.764245388,150.7805724,45,14.77236308,0.228473536
8,15,4.13,1,0.99,2.100016312,34.49910441,21,0.564867767,16.40336662,159.6281091,108,14.05548365,0.138034128
8,16,4.13,1,0.99,1.613534721,34.45187366,21,0.44245281,16.37981651,159.1781728,107,14.7445965,0.136946846
9,17,34.31,1,1.31,1.340567284,27.51836155,19,0.416578934,15.44275975,162.1806441,88,14.74362522,0.175969596
9,18,34.31,1,1.31,1.33586119,27.22835647,19,0.38890096,15.04517697,170.7757494,81,14.44932319,0.209500065
9,19,34.31,1,1.31,1.393296657,28.54217676,19,0.427462244,16.02175846,167.9445552,88,14.45816692,0.189339846
1,20,0.0,1,1.38,1.67808977,30.08418771,22,0.648100168,12.77337398,141.3242188,103,13.35948335,0.113908494
2,23,0.0,1,1.48,2.554788608,31.54245215,22,0.740292677,12.93439414,149.6930604,100,12.46003892,0.131992166
4,28,0.0,1,1.32,2.201644392,21.46389105,20,0.575721304,10.74261401,153.7985292,69,11.94103641,0.191272098
4,29,0.0,1,1.32,1.807602683,28.36591704,22,0.595493648,11.34343011,142.8822943,93,12.90531423,0.128933763
5,32,0.0,1,2.2,2.125487546,26.49608285,21,0.637649617,11.14222079,143.069874,88,12.44980918,0.136506462
6,35,0.0,1,1.49,2.347138528,27.6287869,22,0.521455838,10.90890282,148.82954,86,12.74096371,0.151011479
8,41,0.0,1,1.18,1.919228756,28.48574924,22,0.599703472,11.42765258,144.3629026,93,12.84977439,0.132503736
9,44,0.0,1,3.11,1.555403349,25.43064886,20,0.672724991,11.86956953,138.2390784,90,12.6241574,0.123416844
9,45,0.0,1,3.11,1.743983518,25.44344629,21,0.451013663,10.80353738,161.6602559,74,13.24298883,0.20350709
1,46,46.78,1,1.38,1.766634273,28.07587025,19,0.643578852,16.22562368,144.5408163,103,13.93944029,0.117270654
1,47,46.78,1,1.38,1.794961846,30.61543325,19,0.672643896,17.29596018,149.6291853,108,14.01263731,0.119429098
2,48,46.5,1,1.48,1.230061812,24.74186345,19,0.54058725,13.65754895,128.1736886,102,13.62981921,0.093442374
2,49,46.5,1,1.48,1.621931102,27.20328923,19,0.62503459,15.58461183,138.4635085,105,13.7689041,0.105978476
4,51,48.55,1,1.32,1.016479046,23.4325755,20,0.464837604,12.27455395,123.261639,99,13.72347387,0.089489534
4,52,48.55,1,1.32,1.531173799,26.24130954,19,0.563481382,14.76721916,139.571887,99,13.98275807,0.11448355
5,53,51.05,1,2.2,1.451034298,25.68298883,19,0.533039204,14.29466091,141.9511918,95,14.18941977,0.124377758
5,54,51.05,1,2.2,1.463100137,25.64800509,19,0.527907314,14.19459715,141.1315171,95,14.14739105,0.12255409
6,55,39.76,1,1.49,1.298189206,23.70657489,20,0.512519031,11.5560495,132.890346,88,13.63469672,0.115229053
6,56,39.76,1,1.49,1.582728675,26.05162056,20,0.518030532,12.80861815,142.8477958,90,13.80573605,0.131082668
8,59,48.3,1,1.18,1.802034073,31.43985398,20,0.699259388,17.09867837,144.7016303,114,13.85401045,0.104350001
8,60,48.3,1,1.18,1.876995119,32.0309129,20,0.674010723,17.18651234,148.0205875,113,13.92473775,0.110885494
9,61,58.85,1,3.11,1.354423456,22.06862103,19,0.540528522,12.41619085,140.6910276,81,13.96652374,0.139359337
9,62,58.85,1,3.11,1.301763196,22.02866231,19,0.521148732,12.03948298,137.1311185,83,13.92345283,0.130508509
9,63,58.85,1,3.11,1.401336509,23.69780498,19,0.557821011,13.2065762,135.4589644,91,13.98314857,0.116504053
1,64,6.86,1,1.38,1.855681313,35.05623157,21,0.582658687,16.58061546,150.6662946,118,14.16383238,0.110155994
1,65,6.86,1,1.38,2.038112606,35.98479094,21,0.617167587,17.620782,151.8234813,122,14.14361083,0.106810902
2,66,7.21,1,1.48,1.912338151,33.00220941,21,0.695701127,16.09054249,148.1412229,113,13.72780103,0.111695738
2,67,7.21,1,1.48,2.22592103,35.44167922,21,0.685565686,17.19465355,154.6802256,116,13.81740287,0.117704139
4,70,7.34,1,1.32,2.053647028,35.27840706,21,0.631947519,17.8203759,152.5439055,119,14.10769129,0.110369519
4,71,7.34,1,1.32,1.838508178,33.19696957,20,0.625009191,16.79691377,149.9001315,114,14.1312092,0.113442077
5,72,10.52,1,2.2,1.754154227,32.19069008,20,0.549748548,16.24002752,150.396863,109,14.16699732,0.119980378
5,73,10.52,1,2.2,1.790423769,32.03591229,20,0.539493971,16.12260806,148.9572106,109,14.14327606,0.116928549
6,74,8.04,1,1.49,1.915886187,33.11361126,21,0.533514327,15.82737228,154.4303651,106,13.99949086,0.129733346
6,75,8.04,1,1.49,1.876134611,33.5866177,21,0.477037339,15.90606874,155.3753388,107,14.14622732,0.130547735
6,76,8.04,1,1.49,1.910268541,33.47278739,21,0.525890802,15.9526602,156.5037269,106,14.01483696,0.134076039
8,80,7.07,1,1.18,2.161013289,35.73069915,21,0.682839252,17.85726293,151.1367785,122,13.95919457,0.105080049
8,81,7.07,1,1.18,2.409024813,38.25692015,21,0.675181432,19.19711402,159.659379,123,14.09683903,0.115087234
8,82,7.07,1,1.18,2.440508456,38.71972194,21,0.673267459,19.36677751,159.744898,125,14.08399892,0.11317784
9,83,14.96,1,3.11,1.726621592,32.94638637,19,0.57439807,19.12078465,155.5149673,113,14.2940207,0.121857862
9,84,14.96,1,3.11,1.705720459,30.58559371,19,0.561433053,17.34268123,152.4481425,105,14.19813227,0.1272586
9,85,14.96,1,3.11,1.694390704,31.61376513,20,0.503640162,17.23580338,152.3059232,108,14.43392979,0.123789391
1,86,2.73,1,1.38,1.76239758,30.4593987,21,0.515442098,13.43267862,155.6067243,95,13.86428058,0.151828458
1,87,2.73,1,1.38,1.625447345,29.34244788,21,0.475379975,12.89902187,153.4893575,92,13.92134858,0.151388508
2,88,5.1,1,1.48,2.130419545,35.08350255,21,0.556322348,15.59406153,158.2756696,109,13.75343567,0.134923015
2,89,5.1,1,1.48,2.021038532,34.55754161,22,0.477631525,14.57301826,166.3104074,99,13.90486492,0.166144289
2,90,5.1,1,1.48,2.011094705,34.20907061,22,0.48756281,14.31513745,164.5072545,99,13.83534705,0.162647573
4,93,2.37,1,1.32,1.774299238,32.08993785,21,0.586553123,14.46141972,153.7695313,102,13.94340743,0.136386774
4,94,2.37,1,1.32,1.772010979,31.98207296,21,0.524094928,14.33286544,159.4185467,97,14.01511127,0.1546324
5,95,4.33,1,2.2,1.690854317,30.73030642,21,0.481726955,13.54243441,153.835499,96,14.02222178,0.144919745
5,96,4.33,1,2.2,1.607494609,30.10414382,21,0.441019034,13.01780488,157.351144,91,14.10156579,0.160396419
6,97,2.79,1,1.49,1.512366703,30.71189697,22,0.380015542,12.00786055,157.8844467,90,14.15149804,0.164080057
6,98,2.79,1,1.49,1.452527188,30.02966401,22,0.351639837,11.99854164,162.5595105,85,14.24365562,0.182573472
8,101,3.91,1,1.18,2.035033189,36.08044152,21,0.517935117,16.27576068,162.5590123,109,14.03987337,0.141608404
8,102,3.91,1,1.18,1.904649838,35.4554699,21,0.478114982,15.65664464,164.9670759,104,14.12308836,0.15385972
8,103,3.91,1,1.18,2.013245399,39.68541103,22,0.444325601,16.24950699,165.0045041,116,14.49627251,0.135746199
9,104,10.48,1,3.11,1.707694413,31.90987067,20,0.507947568,15.34525363,155.2989278,102,14.22387203,0.138263094
9,105,10.48,1,3.11,1.532240433,29.8752658,21,0.43857271,13.90229358,153.9855309,94,14.25445723,0.147034686
9,106,10.48,1,3.11,1.850898298,37.2516365,21,0.465347175,17.54532187,163.0736408,114,14.59998102,0.134131195
1,107,0.75,1,1.38,1.904631341,34.38866094,21,0.643666737,16.68024869,149.5976762,117,14.01040364,0.109157617
1,108,0.75,1,1.38,2.323044987,37.81529523,21,0.625789139,18.30283842,157.8910435,122,14.14699994,0.114744903
2,110,0.71,1,1.48,2.470900447,37.43970574,21,0.636438684,17.98378486,161.2184511,118,13.89363555,0.126468735
2,111,0.71,1,1.48,2.507582144,37.28622468,21,0.630126206,18.01907704,161.0831075,117,13.84464673,0.126497994
2,112,0.71,1,1.48,2.205087109,35.85909333,21,0.582901449,16.88639339,163.3921795,110,13.87280156,0.142642107
2,113,0.71,1,1.48,2.283885692,36.00010825,21,0.556988726,16.9178601,163.692343,110,13.89411202,0.142918516
4,116,0.69,1,1.32,1.894786755,32.23657376,21,0.718424307,15.50386649,149.1075614,109,13.59067464,0.118794995
4,117,0.69,1,1.32,1.764519586,31.53763185,21,0.679101094,14.9235735,148.1776945,106,13.71764533,0.12053212
4,118,0.69,1,1.32,2.438190383,39.99984468,21,0.568716715,19.45677411,169.5285993,120,14.30738083,0.136228947
5,119,0.87,1,2.2,1.772668747,30.93498881,20,0.643483256,15.16114512,146.5186344,107,13.770426,0.11711358
5,120,0.87,1,2.2,1.799261986,31.12820695,20,0.646225765,15.20428125,147.8927176,106,13.79719613,0.120115219
5,121,0.87,1,2.2,1.89194546,32.79771015,20,0.596154124,16.09047509,154.1804648,107,14.02627958,0.129153436
6,122,0.62,1,1.49,1.581913066,29.75317239,21,0.502062023,13.71467054,147.782665,98,13.97084294,0.129669365
6,123,0.62,1,1.49,1.7273307,34.62017965,21,0.494106523,16.27099836,161.6867626,105,14.2285217,0.144334109
6,124,0.62,1,1.49,1.621869759,31.26103612,21,0.509847173,14.28172488,159.5556043,95,14.0630844,0.157969857
8,128,0.68,1,1.18,2.264788022,37.06990576,21,0.586882772,17.66624853,162.5983937,115,14.11031709,0.132943104
8,129,0.68,1,1.18,2.30591355,37.74502209,21,0.58637656,17.94193993,163.5931322,116,14.07374633,0.132429672
8,130,0.68,1,1.18,2.221075233,36.10341878,21,0.637581082,17.45332589,155.6548948,118,13.96226278,0.117278014
9,131,0.98,1,3.11,1.876385358,31.22450345,20,0.545323066,15.81392154,158.6738481,99,14.08609769,0.149211965
9,132,0.98,1,3.11,1.869011999,33.34131666,20,0.543357615,17.04010632,157.7781808,107,14.24071496,0.134308638
9,133,0.98,1,3.11,1.770446405,32.72365968,20,0.536975799,16.55382259,159.5723852,103,14.24721606,0.143697226
1,134,19.4,1,1.38,1.83766853,34.82768068,20,0.709954982,19.21811355,142.1470225,134,14.1048234,0.081840515
1,135,19.4,1,1.38,1.948217964,34.88586132,20,0.635820193,18.64730249,152.7097816,120,14.3203678,0.109406175
2,136,19.86,1,1.48,2.071200376,34.93713468,20,0.737041264,19.56225034,151.5737006,123,13.91683637,0.103383709
2,137,19.86,1,1.48,1.634844986,32.05904609,20,0.779897387,17.78281239,139.83524,123,13.76246221,0.088449836
4,142,1.81,1,1.32,1.898723427,33.73483009,20,0.725068336,18.41322505,149.114198,121,13.89459794,0.104430526
4,143,1.81,1,1.32,1.94440503,34.95649601,20,0.674189688,19.45196136,154.6189214,121,14.22376804,0.111655879
4,144,1.81,1,1.32,1.938124613,34.41204161,20,0.667903791,19.02196783,153.6031768,119,14.2168291,0.112114399
5,145,4.12,1,2.2,1.793764552,31.65071162,20,0.582866175,16.95972973,150.2485651,109,14.29359986,0.118891497
5,146,4.12,1,2.2,1.632716426,28.82376815,20,0.54094422,15.08710729,142.839784,104,14.31645959,0.114136648
5,147,4.12,1,2.2,1.85292807,33.57641873,20,0.593602456,17.84568451,150.3342235,117,14.35952676,0.109933734
6,148,2.36,1,1.49,1.629240326,31.05321107,20,0.595782694,16.07178282,145.015904,111,14.30116183,0.109663932
6,149,2.36,1,1.49,1.696340307,32.33253407,20,0.600097101,16.71509495,149.4920679,112,14.26576638,0.11542255
8,153,22.42,1,1.18,2.108339684,36.12996452,20,0.859935222,20.6574097,148.3475167,133,13.75656032,0.088469749
8,154,22.42,1,1.18,2.313487995,37.75750171,20,0.892511987,22.00949264,154.9745297,133,13.87255548,0.095671101
8,155,22.42,1,1.18,2.180953412,35.26287749,21,0.722312547,17.80345967,147.2827846,124,13.85525333,0.096904737
9,156,23.27,1,3.11,1.516833098,30.40026835,19,0.585901537,17.06120541,143.9930046,113,14.42570349,0.105843383
9,157,23.27,1,3.11,1.477067534,27.17047461,19,0.49213868,14.85344865,142.5615633,100,14.47715724,0.119392798
9,158,23.27,1,3.11,1.36123476,25.13962936,19,0.497543769,14.1651201,137.7577129,97,14.44716014,0.115028104
1,159,3.03,1,1.38,1.923519906,33.71981798,21,0.578094432,16.04185333,154.2984096,109,14.10470207,0.126497678
1,160,3.03,1,1.38,2.227587489,35.82952105,21,0.658169563,17.58417007,153.8520408,119,13.91580356,0.11283992
1,161,3.03,1,1.38,2.163035273,35.54708496,21,0.606506792,17.23375777,158.2329998,113,13.98981959,0.127205524
2,162,2.6,1,1.48,2.380456554,38.48183132,21,0.563620354,18.03339909,167.3793248,115,14.07407327,0.140707952
2,163,2.6,1,1.48,2.309365617,36.4683441,21,0.588189884,17.2178968,163.7767658,111,13.83673839,0.140313657
2,164,2.6,1,1.48,2.294698264,41.12453002,21,0.486660064,19.35977026,177.0750359,116,14.24225977,0.155695018
4,168,1.81,1,1.32,1.998639818,35.12583723,21,0.516859536,15.82964131,164.0293766,105,13.98039972,0.151453432
4,169,1.81,1,1.32,2.141876175,37.33901687,21,0.489582712,16.87846855,170.5571987,107,14.07345629,0.159603815
4,170,1.81,1,1.32,2.055959949,34.51349839,21,0.602466508,15.84143735,158.6512077,108,13.74279265,0.137159804
5,171,4.12,1,2.2,2.050483233,34.65635703,21,0.558312351,16.97493012,162.8484136,106,14.06505819,0.145072396
5,172,4.12,1,2.2,2.107289541,36.39156046,21,0.548734759,18.03122698,165.8181401,110,14.1917556,0.143746086
5,173,4.12,1,2.2,1.858098729,36.27235644,21,0.452311055,16.80742424,165.676419,107,14.38517929,0.148454332
6,174,2.36,1,1.49,1.770565723,33.12406543,22,0.534905445,14.51191766,157.8702766,102,13.98345689,0.14488141
6,175,2.36,1,1.49,1.905954879,36.26700753,21,0.465729798,16.02102011,164.8631816,107,14.26250485,0.149008099
6,176,2.36,1,1.49,1.631361552,31.93868394,22,0.459931259,13.88196178,159.46307,96,14.24734568,0.156764568
8,180,3.23,1,1.18,2.347452293,35.96683358,21,0.690541194,17.1291386,152.0955238,119,13.58435115,0.109182614
8,181,3.23,1,1.18,2.234832385,36.65083213,21,0.576519457,16.98502934,160.6244619,113,13.93784069,0.13113013
8,182,3.23,1,1.18,2.242431599,37.19946844,21,0.543509556,16.81921628,163.3632215,112,13.88485097,0.137874631
9,183,4.43,1,3.11,1.608623494,31.20561491,21,0.481403667,14.38002487,152.5990912,101,14.20569127,0.136312878
9,184,4.43,1,3.11,1.504277641,30.93568446,21,0.450955021,14.10258502,151.4845344,100,14.34966843,0.134991951
9,185,4.43,1,3.11,1.53320761,30.70068318,21,0.446734415,13.83376482,150.9735332,99,14.33804697,0.135302089
1,186,0.82,1,1.38,1.749901671,32.3484723,21,0.547639996,14.51060979,154.6326531,102,14.0123758,0.137861654
1,187,0.82,1,1.38,1.485390179,29.49720078,21,0.542609339,13.51370709,139.3576212,104,14.01856163,0.10803796
2,188,0.74,1,1.48,1.777274017,31.34049185,21,0.614782499,14.1857069,148.5117387,103,13.88409299,0.12472225
4,191,0.74,1,1.32,2.011638798,32.98458707,20,0.645941621,16.08254658,154.9829002,107,13.91059086,0.130859101
4,192,0.74,1,1.32,1.972937679,33.81175238,21,0.598313201,16.34797854,158.5456792,107,14.03489812,0.137466644
5,193,0.91,1,2.2,1.487234777,29.33430647,21,0.431881498,13.06825262,150.9848932,93,14.30105477,0.143022467
5,194,0.91,1,2.2,1.562563683,31.29190154,21,0.440135395,14.13309883,156.3808992,96,14.37510324,0.148429375
5,195,0.91,1,2.2,1.513669187,30.44999624,21,0.451075687,13.60094037,153.2808115,95,14.30303887,0.143996325
6,196,0.67,1,1.49,1.600132817,31.22491621,21,0.501773181,13.74603098,152.7063935,98,14.22408175,0.138957868
6,197,0.67,1,1.49,1.607453035,32.73758696,21,0.518179571,14.72395938,152.7241709,105,14.25569383,0.130094672
8,202,0.76,1,1.18,1.771630441,31.97247707,22,0.546921335,13.83691747,149.5169404,103,13.90828684,0.126702887
8,203,0.76,1,1.18,1.945826684,35.13844146,21,0.470892757,15.68645161,163.0755341,105,14.14532551,0.148978174
9,204,0.84,1,3.11,1.337678055,26.6650556,20,0.405440743,12.78487843,144.2889031,91,14.47239021,0.133317857
9,205,0.84,1,3.11,1.328522293,29.01721005,20,0.391439238,13.83083977,153.550283,93,14.67415189,0.149041421
10,206,13.26,2,2.05,1.302367847,28.47832054,20,0.378448074,14.32168508,156.0999283,93,14.88932414,0.157050655
10,207,13.26,2,2.05,1.328364812,29.71981839,20,0.363976615,15.06138546,163.1478795,93,14.94238786,0.17237712
10,208,13.26,2,2.05,1.309646333,29.45345664,20,0.377401568,14.78292861,161.3709144,93,14.95509075,0.168648162
10,209,13.26,2,2.05,1.224433258,29.2918048,20,0.383682394,14.71291035,158.6043128,94,15.03932931,0.160493896
10,210,13.26,2,2.05,1.313905103,30.1402199,20,0.382876595,14.88784903,160.8079759,95,15.00048839,0.163750621
10,211,13.26,2,2.05,1.281995185,29.55029193,20,0.368730007,14.71496445,162.0340202,93,14.97788902,0.17077179
10,212,13.26,2,2.05,1.209725185,28.07453019,20,0.405281493,12.95455125,153.4504544,91,15.0052021,0.155640746
10,213,13.26,2,2.05,1.245491921,27.25941035,20,0.3695144,13.6269464,156.0948063,89,14.94489063,0.164380974
10,216,13.26,2,2.05,1.110866177,25.53078361,19,0.385778919,14.57145038,152.842056,88,14.98228982,0.156344696
10,217,13.26,2,2.05,1.120733638,25.56804713,19,0.375993815,14.68684306,154.6618104,87,14.98757532,0.161562686
11,218,13.35,2,2.29,1.080475361,26.80503661,19,0.340206039,13.9884261,158.005102,86,14.95483733,0.170862168
11,219,13.35,2,2.29,1.053060573,25.66819705,19,0.336388267,13.41417617,156.8299984,83,14.96703421,0.173677628
11,220,13.35,2,2.29,1.157581702,27.30084193,19,0.353086384,14.41714728,158.2009925,89,15.01888232,0.167835935
11,221,13.35,2,2.29,1.155839872,27.93542703,19,0.374875103,14.86430455,160.6058873,90,14.98158219,0.171541312
11,222,13.35,2,2.29,1.113921136,27.54750163,19,0.357989297,14.71462893,159.6346261,89,15.01371551,0.170407115
11,223,13.35,2,2.29,1.094496479,26.62296091,19,0.32981115,13.7791307,152.8904456,89,14.95388126,0.15577101
11,224,13.35,2,2.29,1.030818032,25.69739784,19,0.344090432,13.55334055,149.0190529,90,14.94031541,0.147853183
11,225,13.35,2,2.29,1.129830936,28.4372197,19,0.34989428,14.56042416,159.4474649,91,15.02927265,0.167075246
11,226,13.35,2,2.29,1.077735179,27.95374495,20,0.334559435,13.7207524,157.3766342,89,15.0174734,0.165597344
11,227,13.35,2,2.29,1.114927993,28.0840351,20,0.335638795,13.78564871,157.035794,90,15.00039879,0.163724487
11,228,13.35,2,2.29,1.165061282,29.03300394,20,0.347927612,14.27564763,158.1793886,92,15.01356598,0.161877761
11,229,13.35,2,2.29,1.19595997,29.06697616,20,0.353705535,14.28062804,159.2932677,92,14.99925947,0.165363962
10,269,0.0,2,2.05,1.305660439,30.78574672,21,0.801526298,15.36246386,136.5585738,118,13.26880788,0.091381272
10,270,0.0,2,2.05,1.439212893,28.73145787,20,0.730736213,14.25068067,137.4880823,107,13.08105529,0.103151591
11,272,0.0,2,2.29,1.340630666,29.01294245,20,0.554796011,14.63347993,133.9261998,114,13.96560159,0.09232472
11,273,0.0,2,2.29,1.245002186,23.97596651,19,0.481618216,13.17037817,128.2927475,98,14.4739841,0.097352552
11,274,0.0,2,2.29,0.425176857,18.62963596,22,0.162052454,7.138125105,106.6364397,83,12.56725222,0.079273532
10,296,27.86,2,2.05,0.740541525,24.06937612,19,0.409878449,14.17958986,113.6550941,117,13.24038441,0.062208982
10,298,27.86,2,2.05,0.394401084,18.6276029,21,0.145611837,8.488295482,96.83484136,98,13.0225553,0.056023945
10,299,27.86,2,2.05,0.41635554,19.77897207,20,0.177123024,9.689302296,100.0921755,103,13.02077385,0.056706705
11,300,29.46,2,2.29,0.464841999,21.85073452,19,0.253562085,14.24937623,98.6408243,130,12.85037371,0.040353292
11,302,29.46,2,2.29,0.430415706,19.37146696,20,0.205317294,9.799839505,102.2869699,98,13.01188223,0.061440055
11,303,29.46,2,2.29,1.200093894,25.26747031,19,0.547249539,13.57499763,128.0233179,103,13.5240095,0.091876573
10,312,12.44,2,2.05,1.577973709,29.10160518,19,0.664617226,16.30774564,139.5923748,111,13.83560585,0.100912587
10,313,12.44,2,2.05,0.516850946,21.43115022,19,0.29512117,12.22373375,101.2412109,117,13.16196567,0.049575926
10,314,12.44,2,2.05,1.241130013,26.8418134,20,0.513738713,13.20011687,128.1848095,107,13.83013699,0.089026674
10,315,12.44,2,2.05,1.645982428,30.61238991,20,0.585698752,15.43802094,140.4693479,112,14.13418613,0.101303456
11,316,13.59,2,2.29,1.19895339,23.70566435,19,0.518344669,13.61497212,124.4021445,102,13.71313309,0.087483587
11,317,13.59,2,2.29,0.378103216,18.21738574,18,0.180543646,11.28767844,88.81881776,120,12.93162274,0.037519037
11,318,13.59,2,2.29,1.48720463,28.15291717,20,0.551439547,15.06278958,136.5147082,108,14.05111093,0.099858362
