feature,scaled_variance,stage1_pass,reason
mean_r,0.047326782071208585,True,retained
mean_g,0.04588666965522763,True,retained
mean_b,0.031517898505582724,True,retained
median_r,0.048707091842038426,True,retained
median_g,0.046014769845600385,True,retained
median_b,0.03285565439908383,True,retained
mean_h,0.03933916988480596,True,retained
mean_s,0.029178537709005074,True,retained
mean_v,0.047326853354049035,True,retained
median_h,0.04003977437046765,True,retained
median_s,0.030853774319586597,True,retained
median_v,0.048707091842038426,True,retained
mean_gray,0.04650850139261268,True,retained
median_gray,0.046235243240807605,True,retained
contrast,0.045799998575584665,True,retained
energy,0.02615993973763988,True,retained
homogeneity,0.019588708443679086,True,retained
entropy,0.03632533723173937,True,retained
RI,0.012440040010167736,True,retained
CI,0.030515753690695886,True,retained
HI,0.03893648308035802,True,retained
SI,0.051635474186830545,True,retained
lab_L,0.045808376151665636,True,retained
lab_a,0.030235898503157117,True,retained
lab_b,0.04210687756907343,True,retained
luv_L,0.045808376151665636,True,retained
luv_u,0.025387710865425638,True,retained
luv_v,0.041612881280800415,True,retained
xyz_X,0.04921230498417519,True,retained
xyz_Y,0.04864084774795971,True,retained
xyz_Z,0.03403530234952583,True,retained
