feature,spearman_rho,abs_spearman,spearman_p,mi_observed,mi_null_95,mi_pass,corr_pass,stage2_pass
SI,-0.38058356979894736,0.38058356979894736,3.121009531865526e-18,0.3137278694130532,0.043711018111204696,True,True,True
luv_v,-0.36687054569569305,0.36687054569569305,5.815704338473288e-17,0.3390435984500195,0.04234867709882227,True,True,True
lab_b,-0.3660929332279169,0.3660929332279169,6.836542558630248e-17,0.33286492245696975,0.041863610753291126,True,True,True
median_h,-0.3353042002426761,0.3353042002426761,2.923436301183723e-14,0.369231259015419,0.04705461538058726,True,True,True
HI,0.3114939244686539,0.3114939244686539,2.0343146849865704e-12,0.4147430159401533,0.03930193992147555,True,True,True
mean_h,-0.305675809546913,0.305675809546913,5.423195049624594e-12,0.43771331929306667,0.04416829214606505,True,True,True
CI,-0.270950220664252,0.270950220664252,1.2165664710297587e-09,0.21409773180840475,0.0403740135299377,True,True,True
luv_u,-0.24938991541621822,0.24938991541621822,2.4360192375496627e-08,0.11161739025025419,0.041361276783197,True,True,True
mean_r,-0.24674831628823765,0.24674831628823765,3.452351454915245e-08,0.22178649164130793,0.03976014527007186,True,True,True
mean_v,-0.24673820320794349,0.24673820320794349,3.456936714716414e-08,0.22191068504572709,0.04292185253173101,True,True,True
median_s,-0.24174448669851756,0.24174448669851756,6.61062603921655e-08,0.24333663834657493,0.04237439131898125,True,True,True
mean_g,-0.23423421349264453,0.23423421349264453,1.706786230993108e-07,0.2188767534620646,0.04435159413300538,True,True,True
xyz_Y,-0.22932978658419706,0.22932978658419706,3.1174633958442846e-07,0.20812142561393188,0.03983962299438069,True,True,True
lab_L,-0.22932978658419706,0.22932978658419706,3.1174633958442846e-07,0.20261667393315985,0.03901685864140105,True,True,True
luv_L,-0.22932978658419706,0.22932978658419706,3.1174633958442846e-07,0.20261667393315985,0.04079982798381841,True,True,True
mean_gray,-0.22498548878792057,0.22498548878792057,5.256735409429699e-07,0.1969336805482893,0.041215093327520984,True,True,True
mean_s,-0.22405930787252354,0.22405930787252354,5.86826662506884e-07,0.2355168647691901,0.04228931630615828,True,True,True
xyz_X,-0.22105150055347728,0.22105150055347728,8.362077544880979e-07,0.19836434954481064,0.044174276505994654,True,True,True
median_r,-0.21779058110152338,0.21779058110152338,1.2207851302777983e-06,0.19099274620972118,0.04340018897606864,True,True,True
median_v,-0.21779058110152338,0.21779058110152338,1.2207851302777983e-06,0.19009812836830342,0.04211903318990442,True,True,True
median_g,-0.21092134667618048,0.21092134667618048,2.6583227000960737e-06,0.15165963532286675,0.040781785860370186,True,True,True
median_gray,-0.20218576361252535,0.20218576361252535,6.894795340278486e-06,0.17788650848960597,0.045712896223245626,True,True,True
lab_a,0.16374719068623622,0.16374719068623622,0.00028471780095195014,0.29291983499724594,0.04416336088109043,True,False,True
entropy,0.07252637236408542,0.07252637236408542,0.10992946952626882,0.23531639213697364,0.039676662050867506,True,False,True
xyz_Z,-0.07176502423162782,0.07176502423162782,0.11372122904733746,0.25641450949228073,0.04098262103972127,True,False,True
energy,-0.06438659382997222,0.06438659382997222,0.15598378014740624,0.23115843672551373,0.04463477527435269,True,False,True
homogeneity,0.04074575689316645,0.04074575689316645,0.3695895636067613,0.11554485609167475,0.042425213367829284,True,False,True
median_b,-0.031638506872362235,0.031638506872362235,0.48606494225118746,0.22796278296240668,0.04017964447827364,True,False,True
mean_b,-0.02648480192923004,0.02648480192923004,0.5598468717512222,0.2598372837308429,0.04593605352175834,True,False,True
contrast,0.016110189037938507,0.016110189037938507,0.7228665794920275,0.14236536295500413,0.0423616708873897,True,False,True
RI,-0.006802818893364152,0.006802818893364152,0.8809689018517761,0.09343170413296953,0.044128904643242074,True,False,True
