,lab_L,luv_L,mean_gray,median_gray,mean_g,median_g,mean_v,mean_r,median_r,median_v,xyz_X,xyz_Y,luv_v,xyz_Z,median_b,mean_b,lab_b,SI,entropy,median_s,contrast,energy,homogeneity,HI,mean_h,median_h,CI,luv_u,mean_s
lab_L,1.0,1.0,0.9997852482704538,0.994789800878293,0.9988244238897844,0.9952468580851042,0.9862579672164394,0.9862619152404949,0.9853907306077022,0.9853907306077022,0.9988378263924993,1.0,0.692253914465851,0.8890073296105544,0.8479846709203238,0.8361674951283461,0.5782905637653677,0.6630759387881727,0.5419853657137799,0.04956652003575909,0.5389316730022063,0.5458695980121907,0.5300091386367348,0.41957719155854273,0.4408427151071224,0.4275410810907273,0.1950400765999783,0.4894427758848041,0.024130842504177633
luv_L,1.0,1.0,0.9997852482704538,0.994789800878293,0.9988244238897844,0.9952468580851042,0.9862579672164394,0.9862619152404949,0.9853907306077022,0.9853907306077022,0.9988378263924993,1.0,0.692253914465851,0.8890073296105544,0.8479846709203238,0.8361674951283461,0.5782905637653677,0.6630759387881727,0.5419853657137799,0.04956652003575909,0.5389316730022063,0.5458695980121907,0.5300091386367348,0.41957719155854273,0.4408427151071224,0.4275410810907273,0.1950400765999783,0.4894427758848041,0.024130842504177633
mean_gray,0.9997852482704538,0.9997852482704538,1.0,0.9953441348546698,0.999081149348763,0.9958288773161365,0.9835201164293073,0.9835238566626231,0.9834363076515625,0.9834363076515625,0.9985140884199467,0.9997852482704538,0.681070512956376,0.8961213572724889,0.8560207810239107,0.8446087861405239,0.5656032767768497,0.6544215583723668,0.5450934995991716,0.06478164755147425,0.5416551862282947,0.548816901865005,0.5321926037301763,0.4149833538838375,0.43691188563322075,0.42333710807226954,0.18470072107542512,0.47695392905276096,0.009191935059575683
median_gray,0.994789800878293,0.994789800878293,0.9953441348546698,1.0,0.9936408734529791,0.9990945908255793,0.9771488272702199,0.9771547493087642,0.9863929271263543,0.9863929271263543,0.9945879840384257,0.994789800878293,0.656955475828581,0.9057607305261297,0.8738843655852554,0.8567900431623844,0.5397948522732366,0.6287437153665183,0.5736962372406539,0.09231824311924847,0.5658127052454374,0.5774708095447968,0.5518559149321457,0.38587057706840394,0.40996323271108714,0.39831666608715477,0.15782056098537434,0.4652128027408843,0.005471599981049949
mean_g,0.9988244238897844,0.9988244238897844,0.999081149348763,0.9936408734529791,1.0,0.9955749648021162,0.9790118885393848,0.9790163560402898,0.9780321725700857,0.9780321725700857,0.99573634181078,0.9988244238897844,0.6850425368423371,0.8934111426537454,0.8532841763165847,0.841656703100695,0.5692579003078212,0.6582843882245819,0.5334196080484834,0.06572070027594783,0.5293682080999323,0.5375093453885209,0.5213875891578117,0.44244321182977614,0.4648334553281458,0.4506887363666425,0.1814197052945496,0.4605481228807942,0.005121626153706135
median_g,0.9952468580851042,0.9952468580851042,0.9958288773161365,0.9990945908255793,0.9955749648021162,1.0,0.9747174052480343,0.9747238478819076,0.9825674182783468,0.9825674182783468,0.9933306421183392,0.9952468580851042,0.6637593689480916,0.9026442316321043,0.870409508178468,0.8532154612923083,0.5464058057693081,0.6352895257324316,0.56111631325745,0.09053849707196324,0.5522222571954464,0.5653400312853296,0.5397380434075812,0.41394546116245373,0.43816359305636793,0.4261685174757792,0.15746659667822738,0.4518931981565173,0.007601996230070999
mean_v,0.9862579672164394,0.9862579672164394,0.9835201164293073,0.9771488272702199,0.9790118885393848,0.9747174052480343,1.0,0.9999998961046301,0.9941398348344919,0.9941398348344919,0.9897351374556522,0.9862579672164394,0.7611224149273543,0.8279831373658867,0.7802981436487457,0.766897127376139,0.6607994873386869,0.7181022513295491,0.5304114215089182,0.06726370440682669,0.5310454949513084,0.5347586115755234,0.5238006630186924,0.3984947431020747,0.4134887258326053,0.40345361760762705,0.28281109286708417,0.6091708650785636,0.14094913407365017
mean_r,0.9862619152404949,0.9862619152404949,0.9835238566626231,0.9771547493087642,0.9790163560402898,0.9747238478819076,0.9999998961046301,1.0,0.9941434717435206,0.9941434717435206,0.9897384621074885,0.9862619152404949,0.7611106747505576,0.8279930074260254,0.7803087955553476,0.7669065818547983,0.6607850458822733,0.7180694203926663,0.5304509017494734,0.06724873942316974,0.5310828972844659,0.5347990268744075,0.5238379614564801,0.39848695094933356,0.4134824921102505,0.4034467934953897,0.2827737944292965,0.609154657400862,0.14095173145789724
median_r,0.9853907306077022,0.9853907306077022,0.9834363076515625,0.9863929271263543,0.9780321725700857,0.9825674182783468,0.9941398348344919,0.9941434717435206,1.0,1.0,0.9898038599347221,0.9853907306077022,0.726387266973164,0.8491779924053632,0.8099294407267187,0.7917868925077012,0.6222988266622352,0.6781968714919603,0.5693409110470937,0.023108939888282363,0.5650841688083048,0.5736314245840057,0.5518215046094619,0.3606389646731894,0.37908428603994154,0.3706972293385015,0.23905060136585354,0.5861705517095253,0.11330971924132044
median_v,0.9853907306077022,0.9853907306077022,0.9834363076515625,0.9863929271263543,0.9780321725700857,0.9825674182783468,0.9941398348344919,0.9941434717435206,1.0,1.0,0.9898038599347221,0.9853907306077022,0.726387266973164,0.8491779924053632,0.8099294407267187,0.7917868925077012,0.6222988266622352,0.6781968714919603,0.5693409110470937,0.023108939888282363,0.5650841688083048,0.5736314245840057,0.5518215046094619,0.3606389646731894,0.37908428603994154,0.3706972293385015,0.23905060136585354,0.5861705517095253,0.11330971924132044
