removed,kept,rho
lab_b,luv_v,0.9851221830328887
HI,median_h,0.9639627388962801
mean_h,median_h,0.9713847325722492
mean_v,mean_r,0.9999998961046301
mean_g,mean_r,0.9790163560402898
xyz_Y,mean_r,0.9862619152404949
lab_L,mean_r,0.9862619152404949
luv_L,mean_r,0.9862619152404949
mean_gray,mean_r,0.9835238566626231
mean_s,median_s,0.9482797800565551
xyz_X,mean_r,0.9897384621074885
median_r,mean_r,0.9941434717435206
median_v,mean_r,0.9941434717435206
median_g,mean_r,0.9747238478819076
median_gray,mean_r,0.9771547493087642
energy,entropy,0.9986483212378344
homogeneity,entropy,0.9297558209458884
median_b,xyz_Z,0.99158078951806
mean_b,xyz_Z,0.9929379200230066
contrast,entropy,0.9658592541891652
