Sample_No,image_no,moisture,soil_type,soc,SI,luv_v,median_h,mean_r,CI,luv_u,median_s,xyz_Z,homogeneity
4,6,13.5,1,1.22,2.193528626,32.19006209,20,162.9836177,0.658256742,15.82543867,99,0.159225604,0.044731175
4,7,13.5,1,1.22,1.635630565,29.16849333,19,171.9700853,0.430063861,15.26672661,85,0.20474305,0.029579094
8,15,4.13,1,0.99,2.100016312,34.49910441,21,159.6281091,0.564867767,16.40336662,108,0.138034128,0.030469423
8,16,4.13,1,0.99,1.613534721,34.45187366,21,159.1781728,0.44245281,16.37981651,107,0.136946846,0.02149234
9,17,34.31,1,1.31,1.340567284,27.51836155,19,162.1806441,0.416578934,15.44275975,88,0.175969596,0.026098273
9,18,34.31,1,1.31,1.33586119,27.22835647,19,170.7757494,0.38890096,15.04517697,81,0.209500065,0.030935187
9,19,34.31,1,1.31,1.393296657,28.54217676,19,167.9445552,0.427462244,16.02175846,88,0.189339846,0.037034581
1,20,0.0,1,1.38,1.67808977,30.08418771,22,141.3242188,0.648100168,12.77337398,103,0.113908494,0.039270293
2,23,0.0,1,1.48,2.554788608,31.54245215,22,149.6930604,0.740292677,12.93439414,100,0.131992166,0.056150619
4,29,0.0,1,1.32,1.807602683,28.36591704,22,142.8822943,0.595493648,11.34343011,93,0.128933763,0.045574094
5,32,0.0,1,2.2,2.125487546,26.49608285,21,143.069874,0.637649617,11.14222079,88,0.136506462,0.052905897
6,35,0.0,1,1.49,2.347138528,27.6287869,22,148.82954,0.521455838,10.90890282,86,0.151011479,0.050198422
8,41,0.0,1,1.18,1.919228756,28.48574924,22,144.3629026,0.599703472,11.42765258,93,0.132503736,0.048612416
1,46,46.78,1,1.38,1.766634273,28.07587025,19,144.5408163,0.643578852,16.22562368,103,0.117270654,0.03371542
1,47,46.78,1,1.38,1.794961846,30.61543325,19,149.6291853,0.672643896,17.29596018,108,0.119429098,0.033412655
2,48,46.5,1,1.48,1.230061812,24.74186345,19,128.1736886,0.54058725,13.65754895,102,0.093442374,0.03872288
2,49,46.5,1,1.48,1.621931102,27.20328923,19,138.4635085,0.62503459,15.58461183,105,0.105978476,0.037212104
4,51,48.55,1,1.32,1.016479046,23.4325755,20,123.261639,0.464837604,12.27455395,99,0.089489534,0.036586852
4,52,48.55,1,1.32,1.531173799,26.24130954,19,139.571887,0.563481382,14.76721916,99,0.11448355,0.032263638
5,53,51.05,1,2.2,1.451034298,25.68298883,19,141.9511918,0.533039204,14.29466091,95,0.124377758,0.03201272
5,54,51.05,1,2.2,1.463100137,25.64800509,19,141.1315171,0.527907314,14.19459715,95,0.12255409,0.032005999
