feature,scaled_variance,stage1_pass,reason
mean_r,0.048936945618285044,True,retained
mean_g,0.04747491314417588,True,retained
mean_b,0.03765805742782146,True,retained
median_r,0.05034537499578727,True,retained
median_g,0.04750595284141546,True,retained
median_b,0.03913083723110535,True,retained
mean_h,0.04367794635956915,True,retained
mean_s,0.02851091454518667,True,retained
mean_v,0.04893709565696999,True,retained
median_h,0.05439026690559278,True,retained
median_s,0.033446176875663064,True,retained
median_v,0.05034537499578727,True,retained
mean_gray,0.04812779368556669,True,retained
median_gray,0.047773004465583975,True,retained
contrast,0.050972005436133117,True,retained
energy,0.042145531400784114,True,retained
homogeneity,0.032382440668784165,True,retained
entropy,0.04900434433120828,True,retained
RI,0.012557889431709905,True,retained
CI,0.036312242150589986,True,retained
HI,0.04354687231663085,True,retained
SI,0.05289485068577175,True,retained
lab_L,0.047458567655566296,True,retained
lab_a,0.02997596075764196,True,retained
lab_b,0.04248124416331942,True,retained
luv_L,0.047458567655566296,True,retained
luv_u,0.025360636933004273,True,retained
luv_v,0.04213541242625972,True,retained
xyz_X,0.050583002542552484,True,retained
xyz_Y,0.049952373110348294,True,retained
xyz_Z,0.04119509017631093,True,retained
