feature,spearman_rho,abs_spearman,spearman_p,mi_observed,mi_null_95,mi_pass,corr_pass,stage2_pass
SI,-0.45318291866450194,0.45318291866450194,9.95892957414903e-25,0.2985042964369806,0.040762311899504584,True,True,True
luv_v,-0.4425180405821745,0.4425180405821745,1.5826319738133655e-23,0.3687011478193525,0.04704507842857439,True,True,True
lab_b,-0.4369416192741026,0.4369416192741026,6.467839537539927e-23,0.3387722906153199,0.04198067446566777,True,True,True
median_h,-0.40682989169625705,0.40682989169625705,8.372230298541751e-20,0.40548168606631485,0.04773911083213984,True,True,True
HI,0.38925089500181026,0.38925089500181026,3.973118544096527e-18,0.43458180621093856,0.04517714591089114,True,True,True
mean_h,-0.3793418632167845,0.3793418632167845,3.167191402268893e-17,0.44520509956786647,0.046119340964865065,True,True,True
mean_r,-0.3177077682784621,0.3177077682784621,2.853945297402608e-12,0.23432339433170668,0.03947290619751716,True,True,True
mean_v,-0.31769596268490197,0.31769596268490197,2.8595174115294583e-12,0.23425507491368958,0.0397083188245135,True,True,True
mean_g,-0.30913377149306254,0.30913377149306254,1.150531865207793e-11,0.22197002467562088,0.041793058367597995,True,True,True
xyz_Y,-0.30292058598234445,0.30292058598234445,3.072860777943571e-11,0.21823987239252718,0.04670819540172698,True,True,True
lab_L,-0.30292058598234445,0.30292058598234445,3.072860777943571e-11,0.21107920053608753,0.04014715522639223,True,True,True
luv_L,-0.30292058598234445,0.30292058598234445,3.072860777943571e-11,0.21107920053608753,0.04187747676183934,True,True,True
CI,-0.30097376981932933,0.30097376981932933,4.1606146559782386e-11,0.20834096725943851,0.04428445399649025,True,True,True
mean_gray,-0.2987313834050472,0.2987313834050472,5.882196279086849e-11,0.19799947833070064,0.039447257868735895,True,True,True
xyz_X,-0.29273598650052585,0.29273598650052585,1.4630798234015357e-10,0.20937355716210293,0.04249481056236094,True,True,True
luv_u,-0.28829351704888523,0.28829351704888523,2.835234167138484e-10,0.11697298647456567,0.04260643569453804,True,True,True
median_r,-0.28621708983527433,0.28621708983527433,3.847456777699546e-10,0.20410585460795794,0.04155245877861752,True,True,True
median_v,-0.28621708983527433,0.28621708983527433,3.847456777699546e-10,0.19593699011849175,0.038209184602252255,True,True,True
median_g,-0.2850170511656449,0.2850170511656449,4.584635349821839e-10,0.16713285307644998,0.04083299389111792,True,True,True
median_gray,-0.27363770543618876,0.27363770543618876,2.3194655267028434e-09,0.18940075029060122,0.04295305222424778,True,True,True
median_s,-0.2546129965099058,0.2546129965099058,2.9639615047391532e-08,0.2570273243422232,0.04163597568056634,True,True,True
mean_s,-0.2359539713875168,0.2359539713875168,2.9764572186832895e-07,0.2587098694642851,0.04461783096022603,True,True,True
lab_a,0.2208087475742102,0.2208087475742102,1.6903183873385426e-06,0.3046332862378254,0.043925086010763496,True,True,True
xyz_Z,-0.12745939830861877,0.12745939830861877,0.006135978519628732,0.23871477124998863,0.04007519000439152,True,False,True
median_b,-0.0850082951370504,0.0850082951370504,0.06821978644437855,0.20234362795506478,0.04028783519922705,True,False,True
mean_b,-0.07923324117840401,0.07923324117840401,0.08926953099452258,0.24442685591927082,0.04326116055714754,True,False,True
homogeneity,0.04958625988828102,0.04958625988828102,0.2880426197516714,0.1051696658179413,0.04127608462221166,True,False,True
RI,-0.035492963651149734,0.035492963651149734,0.44711300184095104,0.09760795390782118,0.044131230944633504,True,False,True
entropy,0.030804298383808524,0.030804298383808524,0.5094095872539235,0.21066288578622538,0.04229418253313221,True,False,True
energy,-0.021087802984139953,0.021087802984139953,0.651560540661758,0.2069652239278481,0.044906279816240464,True,False,True
contrast,0.006444378384602741,0.006444378384602741,0.8902463804881224,0.13720751612318516,0.04538237837344056,True,False,True
