,luv_L,lab_L,mean_gray,median_gray,mean_g,median_g,mean_v,mean_r,xyz_X,median_r,median_v,xyz_Y,luv_v,xyz_Z,mean_b,median_b,lab_b,SI,entropy,energy,median_s,contrast,homogeneity,HI,mean_h,CI,median_h,luv_u,mean_s
luv_L,1.0,1.0,0.9997914091944083,0.9948455816439832,0.9988830654397004,0.9953775598901681,0.9875934402294866,0.987597727180864,0.9988956813251824,0.9867409516315602,0.9867409516315602,1.0,0.7026009546428296,0.8934028717674856,0.8416997884695706,0.8521301936938975,0.5867026117332634,0.6734771217653421,0.5583127049315864,0.561482354295709,0.05442418603310366,0.5629759281555943,0.5554503687390606,0.4145633862506446,0.43751861570416306,0.21954335393927962,0.4263729502870875,0.5089251877990915,0.018302097789035448
lab_L,1.0,1.0,0.9997914091944083,0.9948455816439832,0.9988830654397004,0.9953775598901681,0.9875934402294866,0.987597727180864,0.9988956813251824,0.9867409516315602,0.9867409516315602,1.0,0.7026009546428296,0.8934028717674856,0.8416997884695706,0.8521301936938975,0.5867026117332634,0.6734771217653421,0.5583127049315864,0.561482354295709,0.05442418603310366,0.5629759281555943,0.5554503687390606,0.4145633862506446,0.43751861570416306,0.21954335393927962,0.4263729502870875,0.5089251877990915,0.018302097789035448
mean_gray,0.9997914091944083,0.9997914091944083,1.0,0.9954041716650276,0.9991358730866418,0.9959592753809874,0.9850240865425247,0.985028128525252,0.9985815090313818,0.9849435335236651,0.9849435335236651,0.9997914091944083,0.6917636640450938,0.9002361497787321,0.8498393618076726,0.8598748582283876,0.574346148051703,0.6648590021691974,0.5617518198108598,0.564756482789115,0.0693197280975919,0.5661749737577334,0.5581284885066834,0.4101845716294457,0.4338140159368649,0.2090508567166117,0.4223368988169723,0.49667834758846735,0.0036995165543689547
median_gray,0.9948455816439832,0.9948455816439832,0.9954041716650276,1.0,0.9936846134355698,0.9991371185815926,0.9787613613833807,0.978767853055591,0.9947117062151921,0.9877783890987111,0.9877783890987111,0.9948455816439832,0.6665123567603278,0.9104984272240871,0.8627775936260038,0.8785045340737663,0.5469519225838045,0.640296289718499,0.5886860258335492,0.5917442158665361,0.09872713310019772,0.5886579156680345,0.5759111498298457,0.3794838661276734,0.4054735638277527,0.18340400937313664,0.3961159704053966,0.4843807763826127,0.012931104832086761
mean_g,0.9988830654397004,0.9988830654397004,0.9991358730866418,0.9936846134355698,1.0,0.9956239789087599,0.9808338977819313,0.980838797154934,0.9959773697961003,0.9797943241838657,0.9797943241838657,0.9988830654397004,0.6953596813447799,0.8977781343432574,0.8471687135838791,0.8573017568531395,0.5776859281433459,0.6687336713084143,0.5502006905666247,0.5535473297804714,0.07019217444968577,0.553986558570167,0.5471880661072399,0.4368589629742134,0.46099096129957606,0.20625208988879648,0.44895925846269175,0.48100941781975454,0.00043837139942015923
median_g,0.9953775598901681,0.9953775598901681,0.9959592753809874,0.9991371185815926,0.9956239789087599,1.0,0.9765807441031122,0.9765879106517513,0.9936265944252255,0.9841751058577406,0.9841751058577406,0.9953775598901681,0.6730242420202525,0.9076665386111248,0.8594912835873985,0.8752003238163342,0.55336670698963,0.6467271736881997,0.5763622627434837,0.5798588034487513,0.09681738380183016,0.5757721556529758,0.5644799413421424,0.40705634880220176,0.433185935294144,0.18332741948512823,0.4235050251257842,0.47167044135305153,0.01511823249584373
mean_v,0.9875934402294866,0.9875934402294866,0.9850240865425247,0.9787613613833807,0.9808338977819313,0.9765807441031122,1.0,0.999999877515675,0.9909017418495868,0.9944515659955872,0.9944515659955872,0.9875934402294866,0.7673895283251126,0.8358457726372468,0.7757574124451423,0.7879554343354244,0.6649103231014011,0.7261451365761467,0.5437362128581594,0.5473700778142917,0.05766679260208168,0.5518647626070053,0.5468293095191142,0.393879335792002,0.4106511269982134,0.3047881572355778,0.40271249769501455,0.6218014749562425,0.130868132150788
mean_r,0.987597727180864,0.987597727180864,0.985028128525252,0.978767853055591,0.980838797154934,0.9765879106517513,0.999999877515675,1.0,0.9909050489263637,0.9944553023222044,0.9944553023222044,0.987597727180864,0.7673765449866553,0.835856918710828,0.7757680685814233,0.7879672569414337,0.664894032686167,0.7261093711532267,0.543780062246534,0.5474150295615918,0.05765025275409225,0.5519061623088786,0.5468705867366623,0.3938701494676219,0.4106437779384842,0.30474700250235476,0.40270445637525154,0.6217829798231571,0.13087094929026458
xyz_X,0.9988956813251824,0.9988956813251824,0.9985815090313818,0.9947117062151921,0.9959773697961003,0.9936265944252255,0.9909017418495868,0.9909050489263637,1.0,0.990953445513052,0.990953445513052,0.9988956813251824,0.6987338795317669,0.8935166597054742,0.8418428501612506,0.852150102227333,0.5836517721644573,0.6690254289707275,0.5713354833415194,0.574124328939004,0.05078823737545869,0.5764888888344514,0.5677653102344228,0.38406013490423563,0.40656578469478105,0.22328231044632063,0.39623552873996115,0.5283792506653961,0.026159222273529546
median_r,0.9867409516315602,0.9867409516315602,0.9849435335236651,0.9877783890987111,0.9797943241838657,0.9841751058577406,0.9944515659955872,0.9944553023222044,0.990953445513052,1.0,1.0,0.9867409516315602,0.7320179257756145,0.8570383544472623,0.8007313610648231,0.817712584585988,0.6253096013623776,0.68901550146696,0.579428613025826,0.5829922111010463,0.012234565423910713,0.5827042689464981,0.5714372229042053,0.3554839758121918,0.3757681982670944,0.26350994729074906,0.3697982389523658,0.5983215629450708,0.10124857120541811
