removed,kept,rho
lab_b,luv_v,0.9842406767993866
HI,median_h,0.9637761090879183
mean_h,median_h,0.9715433626777801
mean_v,mean_r,0.999999877515675
mean_g,mean_r,0.980838797154934
xyz_Y,mean_r,0.987597727180864
luv_L,mean_r,0.987597727180864
lab_L,mean_r,0.987597727180864
mean_gray,mean_r,0.985028128525252
xyz_X,mean_r,0.9909050489263637
median_r,mean_r,0.9944553023222044
median_v,mean_r,0.9944553023222044
median_g,mean_r,0.9765879106517513
median_gray,mean_r,0.978767853055591
mean_s,median_s,0.9477032117740068
median_b,xyz_Z,0.9913087907162303
mean_b,xyz_Z,0.9929222432759167
entropy,homogeneity,0.9360380730276043
energy,homogeneity,0.9411291339990765
contrast,homogeneity,0.9736984509407408
