Sample_No,SOC_actual,SOC_predicted,Error,Abs_Error,N_images,Best_model,img_R2,img_RMSE,img_MAE,img_RPD,img_RPIQ,img_LCCC,img_Bias,img_Composite
1,1.38,1.4914177656173706,0.11141776561737071,0.11141776561737071,16,WeightedEnsemble_L2,0.0,0.37887590227663226,0.3185411909222603,0.0,0.0,0.0,0.11141775816679012,0.20414887999928025
2,1.48,1.4513696432113647,-0.028630356788635236,0.028630356788635236,18,WeightedEnsemble_L2,0.0,0.31266888288454325,0.2610088258319431,0.0,0.0,0.0,-0.028630475997924787,0.2122078910657471
3,2.12,3.1136696338653564,0.9936696338653563,0.9936696338653563,17,WeightedEnsemble_L2,0.0,1.9035073665616693,1.174836181752822,0.0,0.0,0.0,0.9936697180130901,0.030278358800012527
4,1.3104761904761906,1.8147170543670654,0.5042408638908749,0.5042408638908749,21,WeightedEnsemble_L2,-408.8032910667195,0.5942377319712268,0.5042409944534301,0.049398331367675144,0.0,-0.005646262791575091,0.5042409944534301,0.18229255593621313
5,2.2000000000000006,1.9355167150497437,-0.26448328495025697,0.26448328495025697,19,WeightedEnsemble_L2,-1.3500451029182734e+30,0.5159936535407444,0.45075414431722555,8.606485889947015e-16,0.0,-4.185987094368869e-22,-0.26448315946679385,0.187131781037995
6,1.644736842105263,1.8835155963897705,0.23877875428450746,0.23877875428450746,19,WeightedEnsemble_L2,-0.1333062900503681,0.6988816402121062,0.5087582086261949,0.9393476439199356,0.0,0.17814119847002294,0.23877890486466258,0.24958579960612887
7,6.657272727272726,2.267505407333374,-4.389767319939352,4.389767319939352,22,WeightedEnsemble_L2,-235.93034776455733,4.4246242871592125,4.389767092357982,0.06496652749592494,0.0,-0.006236947322846638,-4.389767092357982,0.005684571155893431
8,1.1627272727272726,1.7307881116867065,0.5680608389594339,0.5680608389594339,22,WeightedEnsemble_L2,-133.57539146796913,0.6336416872082147,0.5680607251687484,0.08620196664361512,0.0,-0.04029915656897125,0.5680607251687484,0.17997698523127614
9,2.8939999999999997,2.3374834060668945,-0.5565165939331052,0.5565165939331052,25,WeightedEnsemble_L2,-3.758004293968904,1.275900709755934,1.1355302686691282,0.45844536386039003,0.0,-0.10046558830542203,-0.5565163412094115,0.13413564164546254
10,2.0499999999999994,2.0907812118530273,0.040781211853027965,0.040781211853027965,27,WeightedEnsemble_L2,-9.216687132236304e+29,0.4263415342854477,0.33656428566685437,1.0416278362237453e-15,0.0,6.25646933400577e-22,0.04078133989263482,0.19895173942978397
11,2.2900000000000005,2.0254714488983154,-0.26452855110168505,0.26452855110168505,29,WeightedEnsemble_L2,-8.13031672332722e+29,0.40042755306351735,0.3315301355822332,1.109037593573436e-15,0.0,1.3662044792204307e-22,-0.26452857576567557,0.20166899130409252
12,1.92,2.3281524181365967,0.40815241813659675,0.40815241813659675,40,WeightedEnsemble_L2,0.0,0.8341670186506789,0.6155468091964722,0.0,0.0,0.0,0.40815256118774423,0.1511946279050203
13,2.5,1.869441032409668,-0.630558967590332,0.630558967590332,35,WeightedEnsemble_L2,0.0,0.709691137095361,0.6405031510761806,0.0,0.0,0.0,-0.6305591481072562,0.16301830751355936
14,2.061363636363636,2.306147575378418,0.2447839390147819,0.2447839390147819,44,WeightedEnsemble_L2,-4792.1693228403055,0.685860054327211,0.48009450749917465,0.014444037738522012,0.02916046775696663,0.005021004812189509,0.24478421807289133,0.17249801441673063
15,1.75,2.128600835800171,0.3786008358001709,0.3786008358001709,55,WeightedEnsemble_L2,0.0,0.6848666061782277,0.4867621573534879,0.0,0.0,0.0,0.37860080762342974,0.16934428544834004
16,2.6599999999999997,2.2565903663635254,-0.4034096336364743,0.4034096336364743,45,WeightedEnsemble_L2,-1.341779622488116e+30,0.5144116755097717,0.40352289687262655,8.632953546592407e-16,0.0,-5.512746963584555e-22,-0.4034097978803848,0.18847076002720728
17,1.5900000000000003,2.1869170665740967,0.5969170665740964,0.5969170665740964,45,WeightedEnsemble_L2,-9.166795039616599e+30,0.6722781340769343,0.6005985605451796,3.3028681682456883e-16,0.0,-6.247138651578732e-23,0.5969171301523845,0.16775722257867712
18,1.2699999999999998,2.1328909397125244,0.8628909397125246,0.8628909397125246,53,WeightedEnsemble_L2,-1.801444817061157e+31,0.9424334820998523,0.8628909622048431,2.3560772101420875e-16,0.0,1.1246128804285942e-23,0.8628909622048431,0.13418437773489372
19,2.51,2.3420801162719727,-0.16791988372802713,0.16791988372802713,51,WeightedEnsemble_L2,0.0,0.43165301776281856,0.322887711057476,0.0,0.0,0.0,-0.16791988840290123,0.19876250544728125
20,2.7700000000000014,2.0195751190185547,-0.7504248809814467,0.7504248809814467,55,WeightedEnsemble_L2,-4.655600463938355e+29,0.9090323257036567,0.8523022539832374,1.4655888375794738e-15,0.0,3.284794255483237e-22,-0.7504249828512021,0.13778921108005351
