Fold,Model,R2,RMSE,MAE,RPD,RPIQ,N_Train,N_Tune
1,LightGBMXT,-0.5066602419998918,0.5884278373368914,0.487758970774137,0.8146899068760018,1.2235994871666482,394,130
1,LightGBM,-0.6055547972710262,0.6074326226206145,0.5086228762773367,0.7892006490119818,1.1853166477851358,394,130
1,RandomForestMSE,-1.266248388047087,0.7216710771184706,0.6130633322275602,0.6642724576372935,0.9976844338488072,394,130
1,CatBoost,-0.5328993736649228,0.5935295820105111,0.49216765528458817,0.807687155843817,1.2130819117070553,394,130
1,ExtraTreesMSE,-1.2761903280484432,0.7232523157195464,0.6138230805763831,0.6628201660527133,0.9955032073194117,394,130
1,XGBoost,-0.639398215970137,0.613801259305357,0.5156291060814491,0.7810121154618741,1.1730181212316655,394,130
1,NeuralNetTorch,-0.05775296703535626,0.49303491111654013,0.40740013955189636,0.9723169885021089,1.4603428352963257,394,130
1,LightGBMLarge,-0.590203538022477,0.6045217121937749,0.5039358421105605,0.7930008307949336,1.1910242187781166,394,130
1,WeightedEnsemble_L2,-0.05775296703535626,0.49303491111654013,0.40740013955189636,0.9723169885021089,1.4603428352963257,394,130
2,LightGBMXT,-0.0736843502520459,0.7568079610785493,0.7218285192242105,0.9650763844452234,1.6252471739952243,393,131
2,LightGBM,-0.06584977171454987,0.7540417256426359,0.7187588709183321,0.968616809864971,1.6312094651681592,393,131
2,RandomForestMSE,-0.46125910289478256,0.8828989395631085,0.785406613277115,0.8272492559097034,1.3931379287969812,393,131
2,CatBoost,-0.067228424176909,0.7545292359674031,0.7193755942628584,0.9679909750092192,1.630155521307246,393,131
2,ExtraTreesMSE,-0.36879906368269877,0.8545101586884505,0.7627765924511974,0.8547323672758572,1.4394211554931917,393,131
2,XGBoost,-0.07186156336912553,0.7561652742342231,0.7215940136217889,0.9658966309140671,1.6266285188058054,393,131
2,NeuralNetTorch,-0.2646616844878016,0.8213619136361117,0.7587032430226566,0.8892273657585579,1.497512825442412,393,131
2,LightGBMLarge,-0.070685055266142,0.755750165203656,0.7216166870466625,0.9664271665759134,1.6275219730432282,393,131
2,WeightedEnsemble_L2,-0.06584977171454987,0.7540417256426359,0.7187588709183321,0.968616809864971,1.6312094651681592,393,131
3,LightGBMXT,0.35777135149864203,0.3785120135026095,0.3294577192176471,1.2478292531396415,2.985374201319001,392,132
3,LightGBM,0.23506198040932125,0.41309311270644666,0.3530161764043749,1.1433702198975737,2.735460759915897,392,132
3,RandomForestMSE,0.15044115002181968,0.43534299916486485,0.36504444143988857,1.0849338659847743,2.595654465944605,392,132
3,CatBoost,0.33638046421859025,0.384763983074371,0.32368197329116577,1.2275534714538205,2.9368653244801823,392,132
3,ExtraTreesMSE,0.29585929237266206,0.39633694446547596,0.3218686948039314,1.1917091497749228,2.8511094304468294,392,132
3,XGBoost,0.05706209574492904,0.458644698288079,0.3818631808685533,1.029813197179215,2.463780796372002,392,132
3,NeuralNetTorch,0.5472883471059999,0.3177939809994998,0.2448766043691924,1.4862407451136923,3.555762750590857,392,132
3,LightGBMLarge,0.09199811653285284,0.4500680723871855,0.3829624251163366,1.0494376119775413,2.5107313078362092,392,132
3,WeightedEnsemble_L2,0.5526502125276711,0.3159064174133173,0.251457771135099,1.4951211405603821,3.5770086890053907,392,132
4,LightGBMXT,0.2331747520044618,0.5036129695658245,0.4618384750380771,1.1419623828216985,2.124647427016167,393,131
4,LightGBM,0.1974164205494684,0.5152213356117102,0.46214352050810364,1.1162330186937799,2.0767773499317803,393,131
4,RandomForestMSE,0.1328638144639368,0.5355405483710621,0.46843587766166866,1.073881461440383,1.9979812980634006,393,131
4,CatBoost,0.21523641308124541,0.509469425300997,0.45636717960124706,1.12883529056827,2.1002241682468754,393,131
4,ExtraTreesMSE,0.21556603989920176,0.5093624170079508,0.44808828827079017,1.1290724394696035,2.1006653892630993,393,131
4,XGBoost,0.0786023096822227,0.5520421819328359,0.5100802093607779,1.0417810188556762,1.9382576821460744,393,131
4,NeuralNetTorch,0.17736283860998725,0.5216183562343717,0.4676893970984539,1.1025437657084587,2.051308178117933,393,131
4,LightGBMLarge,0.07925502940838391,0.5518466134705899,0.5014116698184996,1.0421502147642518,1.938944579673541,393,131
4,WeightedEnsemble_L2,0.2516333358086815,0.4975147041922254,0.4558559073382662,1.1559599382676649,2.150690202689131,393,131
