Fold,Model,RMSE,MAE,R2,RPD,RPIQ,N_Train_Images,N_Tune_Images,N_Train_Groups,N_Tune_Groups
1,LightGBMXT,0.6018828654659522,0.5303812854840205,-2.9808112176832524,0.5031425306009474,0.9470281224216776,396,130,12,4
1,LightGBM,0.6162951138551865,0.5382173366546631,-3.1737369270092817,0.4913763897324142,0.9248815821926752,396,130,12,4
1,RandomForestMSE,0.7110753065569398,0.62486769423118,-4.5562121147701475,0.4258801638355574,0.8016028608277325,396,130,12,4
1,CatBoost,0.6112050060801753,0.5339130532558147,-3.1050781372596745,0.49546856626394253,0.9325839846364571,396,130,12,4
1,ExtraTreesMSE,0.7015730674153163,0.6113540993103614,-4.408706805446469,0.4316483658239094,0.8124599225280293,396,130,12,4
1,NeuralNetFastAI,0.5855006848895279,0.5086782568051265,-2.7670591327803677,0.5172203481077519,0.9735257613021363,396,130,12,4
1,XGBoost,0.6196897898333076,0.5466247047644395,-3.219843104325969,0.4886846177300238,0.9198150580362572,396,130,12,4
1,NeuralNetTorch,0.5252216315079252,0.43505275458555953,-2.03132730516473,0.5765811038407682,1.0852561391340922,396,130,12,4
1,LightGBMLarge,0.6152152168517449,0.5399868490879352,-3.159122963517195,0.4922389104833629,0.9265050414664223,396,130,12,4
1,WeightedEnsemble_L2,0.5252216315079252,0.43505275458555953,-2.03132730516473,0.5765811038407682,1.0852561391340922,396,130,12,4
2,LightGBMXT,0.6965325213553809,0.5727238775195932,-4.220738945181113,0.4393117974239096,0.9331940434527974,393,133,12,4
2,LightGBM,0.7221542466451804,0.5982719417442953,-4.6118896065822685,0.4237252018420742,0.9000847160002476,393,133,12,4
2,RandomForestMSE,0.7210070262551254,0.6005441181283248,-4.594073577877769,0.4243994063555284,0.9015168733875835,393,133,12,4
2,CatBoost,0.707537947079077,0.589586917977584,-4.3870208276192395,0.43247850547674016,0.918678641454341,393,133,12,4
2,ExtraTreesMSE,0.7016309401220236,0.5931345855383048,-4.297447293710497,0.4361195272654641,0.9264129656068981,393,133,12,4
2,NeuralNetFastAI,0.6456355463773509,0.5297611708390084,-3.4856361848252,0.473943783978085,1.0067599339087476,393,133,12,4
2,XGBoost,0.7522242080743531,0.6503476445477708,-5.088969405167203,0.4067869002835844,0.8641040703329121,393,133,12,4
2,NeuralNetTorch,0.6817693668567676,0.5194339373954256,-4.001774956224686,0.4488247328148528,0.9534015923841851,393,133,12,4
2,LightGBMLarge,0.7489770734965474,0.6707163322778573,-5.036514223528604,0.4085504947332018,0.8678503294707275,393,133,12,4
2,WeightedEnsemble_L2,0.6450648493024645,0.521927154799153,-3.477709706614645,0.4743630880704865,1.0076506272243355,393,133,12,4
3,LightGBMXT,0.3814164001621526,0.32509558811332223,0.30109498708070825,1.2007213697783592,2.674242637616957,394,132,12,4
3,LightGBM,0.4250743893547349,0.3689879686904675,0.13194087081256867,1.0773992362932963,2.3995799924534738,394,132,12,4
3,RandomForestMSE,0.45865876934462174,0.37284923224738137,-0.010645467164270173,0.9985088110558348,2.2238754999876695,394,132,12,4
3,CatBoost,0.3854936796523813,0.32700234763550023,0.2860727587721803,1.1880216113312394,2.64595777788052,394,132,12,4
3,ExtraTreesMSE,0.40961863843844987,0.32108407967018343,0.19391869497747127,1.1180517180676262,2.490121064530776,394,132,12,4
3,NeuralNetFastAI,0.3343864777385898,0.2765319219502534,0.462823700674446,1.3695973161231039,3.0503625831347034,394,132,12,4
3,XGBoost,0.4291410172657041,0.36179952852653724,0.11525221849937206,1.0671895811233396,2.3768410824464805,394,132,12,4
3,NeuralNetTorch,0.2819710461029218,0.22218219175483234,0.618030698312602,1.6241909543133233,3.6173926865799237,394,132,12,4
3,LightGBMLarge,0.4387941067584672,0.37710930849566593,0.07500155663684782,1.0437123366169578,2.324552641636674,394,132,12,4
3,WeightedEnsemble_L2,0.2819710461029218,0.22218219175483234,0.618030698312602,1.6241909543133233,3.6173926865799237,394,132,12,4
4,LightGBMXT,0.6723724029545968,0.5791966710927832,-0.030991472879370763,0.9886360325026808,1.591380008010611,395,131,12,4
4,LightGBM,0.6782416356064407,0.5812141500720541,-0.049069369485931214,0.9800807705161974,1.5776088400165436,395,131,12,4
4,RandomForestMSE,0.6816685287633488,0.5845356274743116,-0.05969723616555078,0.9751536953411232,1.5696778637282023,395,131,12,4
4,CatBoost,0.6710871496276868,0.601646895153832,-0.02705371829207448,0.9905294494017857,1.5944277886912699,395,131,12,4
4,ExtraTreesMSE,0.6542911256286147,0.5522002613635464,0.023713298968024765,1.0159569017273173,1.6353576536316157,395,131,12,4
4,NeuralNetFastAI,0.6730087949895271,0.6043472494605844,-0.03294403744248431,0.987701185735129,1.58987521109089,395,131,12,4
4,XGBoost,0.6895521732451747,0.6085358653177741,-0.08435023222701599,0.9640047709413523,1.551731749266135,395,131,12,4
4,NeuralNetTorch,0.6674577210287841,0.6119360200139402,-0.015974566695530434,0.9959156421124984,1.6030977937460347,395,131,12,4
4,LightGBMLarge,0.6871147951011842,0.6339499326880652,-0.07669801802654308,0.9674243511572739,1.5572361527194774,395,131,12,4
4,WeightedEnsemble_L2,0.6499623830310657,0.5707489911654523,0.03658865032208547,1.0227231639489431,1.6462491183106795,395,131,12,4
