Fold,Model,RMSE,MAE,R2,RPD,RPIQ,N_Train_Images,N_Tune_Images,N_Train_Groups,N_Tune_Groups
1,LightGBMXT,0.37879302998667147,0.314341959146353,-0.15255748840046368,0.9350730120266629,2.158170650681628,391,130,15,5
1,LightGBM,0.39167733911584485,0.32203943083836484,-0.2322973937575965,0.9043135870047945,2.087177169466553,391,130,15,5
1,RandomForestMSE,0.7621887813098122,0.6163602526004497,-3.666419117712996,0.46471313691557625,1.072568922616699,391,130,15,5
1,CatBoost,0.3842602030778757,0.3148829080141508,-0.1860676327961388,0.9217689905102131,2.1274646540337208,391,130,15,5
1,ExtraTreesMSE,0.6544339750033394,0.5417225587918209,-2.440252458509504,0.5412297542812253,1.2491710871151342,391,130,15,5
1,NeuralNetFastAI,0.35816606104567533,0.30786333351868855,-0.030451367753396852,0.9889243510405457,2.282460816117773,391,130,15,5
1,XGBoost,0.4108307383566166,0.33862687507042527,-0.3557652513234675,0.86215345254153,1.9898705809358872,391,130,15,5
1,NeuralNetTorch,0.5097317088147347,0.4070733689895043,-1.08709366360775,0.6948736626723744,1.6037848653773386,391,130,15,5
1,LightGBMLarge,0.3867521040402922,0.318204677948585,-0.20150064596502637,0.9158298966809038,2.113757084860829,391,130,15,5
1,WeightedEnsemble_L2,0.35735740844826897,0.3055656762856704,-0.025803599044420977,0.9911621561796075,2.287625723361326,391,130,15,5
2,LightGBMXT,0.4244400431797926,0.39088100906546785,-0.3147865174980746,0.8754600863900918,0.3769672597366696,390,131,15,5
2,LightGBM,0.45341926143900496,0.4156005769103537,-0.5004532627796374,0.8195071283260458,0.3528742901045101,390,131,15,5
2,RandomForestMSE,0.8450423075964054,0.6392404602866136,-4.2117004652343075,0.43971800409200734,0.18933963253874928,390,131,15,5
2,CatBoost,0.4533358394865981,0.4154955289564059,-0.4999011943670004,0.819657932384983,0.35293922532398897,390,131,15,5
2,ExtraTreesMSE,0.7423452200712373,0.5676045728639791,-3.0219287701025612,0.5005492146011767,0.21553314505702098,390,131,15,5
2,NeuralNetFastAI,0.48070697272783736,0.4280783058486821,-0.6864885042815745,0.7729871583950869,0.3328431020920256,390,131,15,5
2,XGBoost,0.4663480331695331,0.42953136524171315,-0.5872408814765797,0.796787571600015,0.3430914008847868,390,131,15,5
2,NeuralNetTorch,0.5961598305993823,0.5311153281554011,-1.593868538090724,0.623289758546809,0.2683844026175586,390,131,15,5
2,LightGBMLarge,0.4515144035839899,0.41303751166540237,-0.48787264812751574,0.8229644811330472,0.3543630031068039,390,131,15,5
2,WeightedEnsemble_L2,0.4244400431797926,0.39088100906546785,-0.3147865174980746,0.8754600863900918,0.3769672597366696,390,131,15,5
3,LightGBMXT,0.6777093731949507,0.593916389465332,-0.23401335760088515,0.903684619238993,0.4721788020894736,391,130,15,5
3,LightGBM,0.6998919290045927,0.6363517538950993,-0.31611805478333665,0.875043005198531,0.4572134450173092,391,130,15,5
3,RandomForestMSE,1.0207781171076802,0.6924169228260334,-1.7995973825666756,0.5999693044024874,0.3134863440320435,391,130,15,5
3,CatBoost,0.6772004669156831,0.5941006647256704,-0.23216076006260877,0.9043637250572493,0.4725336375762458,391,130,15,5
3,ExtraTreesMSE,0.7525945962367725,0.5881382029239949,-0.5217911970808864,0.8137655252014304,0.4251957183855798,391,130,15,5
3,NeuralNetFastAI,0.6409624720734615,0.5627758975395789,-0.1038195493114491,0.9554935952633803,0.4992491977959737,391,130,15,5
3,XGBoost,0.7102721846267139,0.6408190688353318,-0.35544684461047815,0.8622547104139286,0.4505315102099584,391,130,15,5
3,NeuralNetTorch,0.574763123368517,0.47244474851168117,0.11241354003188764,1.0655442424369048,0.5567510979559271,391,130,15,5
3,LightGBMLarge,0.6990930979435824,0.6182290936983549,-0.3131154312383828,0.8760428885249842,0.4577358880259238,391,130,15,5
3,WeightedEnsemble_L2,0.5744561516419759,0.47737859542553246,0.11336137811576286,1.0661136365584087,0.5570486086454804,391,130,15,5
4,LightGBMXT,1.8286312384631502,1.309772796337421,0.03061210590960861,1.0195957700691176,0.17499427619367366,391,130,15,5
4,LightGBM,1.8008061270141962,1.2582886929145227,0.05988876673092536,1.0353500289587707,0.1776981959354903,391,130,15,5
4,RandomForestMSE,1.8000038183339027,1.2786920472658596,0.06072627096852434,1.0358115114883715,0.17777740065918,391,130,15,5
4,CatBoost,1.8096816656375436,1.2773854752320508,0.05059897618971809,1.030272180547531,0.17682667956259884,391,130,15,5
4,ExtraTreesMSE,1.8033218637900035,1.2769430730526263,0.05726025011558766,1.0339056566611875,0.17745029682469596,391,130,15,5
4,NeuralNetFastAI,1.841199647310105,1.336548233472384,0.01724086621915233,1.012635798880998,0.17379972914262887,391,130,15,5
4,XGBoost,1.8068576747623584,1.284425781910236,0.053559726650667216,1.0318824231678891,0.17710304716838704,391,130,15,5
4,NeuralNetTorch,1.841065097691395,1.342659530713008,0.017384495439847103,1.0127098048250585,0.17381243085932394,391,130,15,5
4,LightGBMLarge,1.8145268368501726,1.292371058023893,0.0455083919817183,1.0275211354767253,0.17635451485274606,391,130,15,5
4,WeightedEnsemble_L2,1.7971742610554495,1.2652267024700459,0.06367697568427311,1.0374423427688708,0.17805730191799518,391,130,15,5
