Composite_Rank,Model,Mean_RMSE,SD_RMSE,Mean_MAE,SD_MAE,Mean_R2,SD_R2,Mean_RPD,SD_RPD,Mean_RPIQ,SD_RPIQ,Folds_Evaluated,RMSE_Rank,RPD_norm,RPIQ_norm,RMSE_norm,R2_norm,MAE_norm,Composite_Score
1,WeightedEnsemble_L2,0.7883569660813717,0.678641299094678,0.6097629958116791,0.44256963050677206,-0.04088794068561491,0.19146334882405902,0.9925445554742447,0.08394225182439327,0.8499247234153678,0.9708853654212097,4,1,1.0,1.0,1.0,1.0,1.0,1.0
2,NeuralNetFastAI,0.8302587882892698,0.6838353921447393,0.6588164425948334,0.4636637931302883,-0.20087963878181703,0.3275459161133351,0.9325102258950027,0.10890133959135824,0.8220882112871003,0.9826073998168225,4,3,0.8320678437003449,0.9323751897288856,0.8685005175890655,0.932303281694469,0.7508895206644728,0.8754076145325492
3,LightGBMXT,0.8273934212061412,0.6803176260149134,0.6522280385036434,0.45395837892470875,-0.1676863143974537,0.14786129906625028,0.9334533719312164,0.062376640381082385,0.7955777471753612,0.9168069376951072,4,2,0.8347060766693295,0.8679718227591057,0.87749283029755,0.9463482550100293,0.7843477302061541,0.8658082733453638
4,CatBoost,0.8311195437794252,0.6642486246779096,0.6504661442320695,0.43360205001628155,-0.21688265275900748,0.22570548858861134,0.919015707124994,0.08654908323723846,0.7824410491241386,0.904870466376884,4,4,0.7943200475451051,0.8360581006228928,0.8657992293043648,0.9255319832949612,0.7932952426708852,0.8386809472851714
5,LightGBMLarge,0.8379716106045093,0.6648046247203725,0.6604605853340588,0.43948895621496775,-0.23924508333730166,0.2234440112804907,0.9105896004539151,0.08674115022762485,0.7755526227115758,0.8996735940489448,4,6,0.7707499623554729,0.8193236574904482,0.8442955525317147,0.9160698475622965,0.7425399914728743,0.8179899884113587
6,LightGBM,0.8364486641434097,0.6565480721189226,0.6580701136395851,0.4212845934687373,-0.2472449861474113,0.23338987668261166,0.9085534373720354,0.09155607787638295,0.7687407751309656,0.8864912233268615,4,5,0.7650542669206388,0.8027752516373051,0.8490749788387744,0.9126848771328808,0.7546796389125493,0.8129145156148644
7,XGBoost,0.8485771577288055,0.6519588039759833,0.6733507727644266,0.42659855044888617,-0.3112233126899645,0.2665783619264813,0.8882695394308406,0.10058567183693118,0.7401491347997549,0.8407056167815822,4,7,0.708314752324564,0.7333159657961517,0.8110124186715636,0.8856139553216364,0.6770791323471415,0.7601376884125506
8,NeuralNetTorch,0.8804299401185072,0.6414771450033429,0.6883232440923986,0.4391565104156261,-0.6377910415566848,0.8382559124109887,0.8491043671202867,0.2224052656101285,0.650683199202537,0.6559431187941922,4,8,0.5987592382702683,0.515971318140176,0.7110495966059307,0.7474345134391316,0.6010437107011046,0.622935844801749
9,ExtraTreesMSE,0.9881739137753381,0.5452149082838343,0.7436021019081053,0.3560674540716503,-1.4816780438943409,1.4810976829585345,0.722362537686255,0.24994923259829313,0.5168375618456077,0.5002261778239685,4,9,0.24422827474670186,0.19081255578620654,0.3729192714264197,0.39036360689371563,0.32031842694142887,0.28233735177430996
10,RandomForestMSE,1.10700325608695,0.474413713410734,0.8066774207447391,0.3162852242583272,-2.404247673636364,1.9409328401715615,0.6350529892246106,0.27629071634128993,0.4382930749616679,0.42728944290545,4,10,0.0,0.0,0.0,0.0,0.0,0.0
