Validation_design,Final_rank,feature,spearman_rho,abs_spearman,spearman_p,mi_observed,mi_null_95,mi_pass,corr_pass,stage2_pass,contribution_PC1,contribution_PC2,PCA_pass
Sample-grouped,1,SI,-0.3818637189939244,0.3818637189939244,1.0505224292944844e-19,0.3178586680905271,0.0410770070324757,True,True,True,0.0309549231013238,0.053244549272223,True
Sample-grouped,2,lab_b,-0.3650428761995158,0.3650428761995158,5.0335060662426975e-18,0.3678475918288009,0.0383766791783625,True,True,True,0.0230674534991754,0.0871169865152103,True
Sample-grouped,3,median_h,-0.3245804647786002,0.3245804647786002,2.2740995940050102e-14,0.3496636603530194,0.0414945138763742,True,True,True,0.0078254686190719,0.0481312815074967,True
Sample-grouped,4,CI,-0.2659700684707236,0.2659700684707236,5.740376594593843e-10,0.2205239918172594,0.0400608447083791,True,True,True,0.0056999423794807,0.0688637163336919,True
Sample-grouped,5,mean_r,-0.2482223361583295,0.2482223361583295,7.931745328778276e-09,0.2856764192389183,0.0436545397379465,True,True,True,0.0561214306101003,0.000419933131211,True
Sample-grouped,6,luv_u,-0.2461019239029975,0.2461019239029975,1.0713148343336225e-08,0.2176279824574276,0.0420162332227205,True,True,True,0.0189996471051174,0.0357357682615151,True
Sample-grouped,7,median_s,-0.2451281957836262,0.2451281957836262,1.2287513078954412e-08,0.263099061877726,0.0372915992500377,True,True,True,0.0001467131836539,0.1152461196584686,True
Sample-grouped,8,xyz_Z,-0.0769486599742385,0.0769486599742385,0.0778650557817532,0.2630536696529493,0.0424521798504011,True,False,True,0.0423222551798985,0.0306331100177984,True
Sample-grouped,9,entropy,0.0620850985340486,0.0620850985340486,0.155059079459509,0.3007032255634154,0.0392392641827754,True,False,True,0.0196651573342944,0.0612643648657856,True
KS image-level,1,SI,-0.3127212450295443,0.3127212450295443,2.775697997244799e-13,0.1419670041319038,0.0402198537997837,True,True,True,0.0318850528520119,0.0525417167608372,True
KS image-level,2,lab_b,-0.2890722011900011,0.2890722011900011,1.738183328008967e-11,0.1850646340945845,0.0468401374250133,True,True,True,0.0206964618869371,0.1085093624755639,True
KS image-level,3,CI,-0.2567495569520911,0.2567495569520911,2.742597114188756e-09,0.1174164253853637,0.0425410790094729,True,True,True,0.0046994971973466,0.0774503140945696,True
KS image-level,4,median_s,-0.2089931999196785,0.2089931999196785,1.493218830012689e-06,0.1338592759733377,0.0409637540262154,True,True,True,8.813256820028185e-07,0.1518491396805362,True
KS image-level,5,luv_u,-0.2064165211171843,0.2064165211171843,2.019204289627122e-06,0.0909919894927284,0.0392882865361306,True,True,True,0.0163953088499449,0.0746415729394116,True
KS image-level,6,mean_r,-0.1669459129071287,0.1669459129071287,0.000129000968412,0.1184380071671782,0.0392485638213052,True,False,True,0.0572265721742405,0.0010144727658218,True
KS image-level,7,entropy,0.1204440367984352,0.1204440367984352,0.0059122266871807,0.1598643227342098,0.0409879086326525,True,False,True,0.0184469530088595,0.0355567804029074,True
KS image-level,8,xyz_Z,-0.02822506036136,0.02822506036136,0.5203346427730644,0.1312844079931165,0.0397448833487717,True,False,True,0.0418957691579142,0.0388464664279869,True
