Model,Family,Key characteristics,Validation framework
WeightedEnsemble_L2,Stacked ensemble,AutoGluon level-2 weighted ensemble combining predictions from base models.,KS image-level
NeuralNetFastAI,Neural network,Feed-forward neural network implemented through the FastAI backend.,KS image-level
LightGBMXT,Gradient boosting,LightGBM extra-trees variant using increased split randomness.,KS image-level
CatBoost,Gradient boosting,Gradient boosting with ordered boosting and symmetric tree construction.,KS image-level
LightGBMLarge,Gradient boosting,Larger LightGBM configuration with increased model capacity.,KS image-level
LightGBM,Gradient boosting,Leaf-wise gradient-boosted decision trees with histogram-based splitting.,KS image-level
XGBoost,Gradient boosting,Regularized gradient-boosted decision trees using depth-wise growth.,KS image-level
NeuralNetTorch,Neural network,Multi-layer feed-forward neural network implemented with PyTorch.,KS image-level
ExtraTreesMSE,Randomized tree ensemble,Extremely randomized regression trees optimized using squared-error loss.,KS image-level
RandomForestMSE,Bagged tree ensemble,Bootstrap-aggregated regression trees optimized using squared-error loss.,KS image-level
