Feature,N,Mean,SD,Mean ± SD,Minimum,Maximum,IQR,Skewness,CV (%)
mean_r,731,139.38259653450066,22.028003554913635,139.383 ± 22.028,58.30452806,185.905971,28.701610300000027,-0.6639899278703136,15.803984215103323
mean_g,731,120.38281242519835,19.847141906770872,120.383 ± 19.847,49.77670599,165.8532765,25.852160399999974,-0.6724992572950159,16.486690671978764
mean_b,731,86.03625936235295,16.57467916309567,86.036 ± 16.575,32.08276865,148.623007,20.25332829,0.019595986952152967,19.264760330047874
median_r,731,141.23187414500683,24.2600620935755,141.232 ± 24.260,58.0,196.0,32.5,-0.5342000525846521,17.17746949153064
median_g,731,121.92134062927497,21.805859683956868,121.921 ± 21.806,49.0,167.0,28.0,-0.5504788861537667,17.885186933977156
median_b,731,87.06155950752394,18.027385173528128,87.062 ± 18.027,31.0,156.0,23.0,0.04193731158012957,20.706480880313414
mean_h,731,19.253753784623804,1.6407156606531206,19.254 ± 1.641,14.41061464,40.57894212,1.737932475000001,3.1830030224370516,8.521536522210067
mean_s,731,107.17012683991791,19.866421010042412,107.170 ± 19.866,14.80616231,162.8410993,20.327008915000008,-1.1820253179723423,18.537274887914677
mean_v,731,139.38597387053352,22.0298602496143,139.386 ± 22.030,58.30452806,185.905971,28.7018894,-0.6640678797457984,15.804933335743229
median_h,731,19.244870041039672,1.5751356813285586,19.245 ± 1.575,15.0,35.0,2.0,1.5549093212470029,8.184704172954055
median_s,731,97.75786593707251,19.323636681991797,97.758 ± 19.324,11.0,155.0,21.0,-0.9612414967085591,19.76683563697122
median_v,731,141.23324213406292,24.26081123828964,141.233 ± 24.261,58.0,196.0,32.5,-0.5342693648837185,17.177833540959526
mean_gray,731,0.4782112944117647,0.07774435433328422,0.478 ± 0.078,0.197933838,0.64758191,0.10187599450000001,-0.681799248876331,16.257322911813603
median_gray,731,0.4843601051340629,0.08558950059825866,0.484 ± 0.086,0.195147843,0.657929412,0.11153784349999996,-0.5551467407521238,17.670633830292214
contrast,731,1942.1998671730505,1076.501606044529,1942.200 ± 1076.502,82.8377042,5583.316744,915.9136680000001,1.1752459636627552,55.426922029987566
energy,731,0.00904309734883721,0.00282726454696797,0.009 ± 0.003,0.005614775,0.028092089,0.0022505515000000005,2.369161102603289,31.264338289264444
homogeneity,731,0.034843146207934335,0.01111209760877106,0.035 ± 0.011,0.018778275,0.141490247,0.008146344999999996,3.790956880365184,31.891774475407903
entropy,731,14.035558447838575,0.7104336118259336,14.036 ± 0.710,10.83582761,15.18032621,0.712616360000002,-0.949402532076119,5.061669718851391
RI,731,1.7002404787961698,0.2213531997066584,1.700 ± 0.221,1.206550921,3.774064137,0.21115294250000005,3.0421153848302214,13.018934819348866
CI,731,0.4820260191450068,0.1973957287784869,0.482 ± 0.197,0.066203729,2.680959198,0.21979905799999994,2.495034021422391,40.95126008521643
HI,731,2.201093203403557,1.003510975507142,2.201 ± 1.004,1.117068548,28.42619915,0.29798183899999997,24.519065469707428,45.59148035873311
SI,731,1.3103731053023255,0.5376747010441265,1.310 ± 0.538,0.201731092,3.223579456,0.8039789549999999,0.11526757235440693,41.03218380081723
lab_L,731,51.41503467337894,7.9760050522658865,51.415 ± 7.976,21.16307899,67.8470484,10.341482499999998,-0.7696999280871821,15.512981957387664
lab_a,731,2.2072236725608754,1.3541940063443731,2.207 ± 1.354,-2.746280817,8.838043097,1.6110738954999997,0.18246458041656965,61.352821790516764
lab_b,731,21.528442815012312,5.651447001564579,21.528 ± 5.651,2.947870788,36.07479654,7.9430177650000005,-0.30864005552834906,26.251071896494466
luv_L,731,51.41503467337894,7.9760050522658865,51.415 ± 7.976,21.16307899,67.8470484,10.341482499999998,-0.7696999280871821,15.512981957387664
luv_u,731,14.218944955937072,3.8273817627002984,14.219 ± 3.827,0.00108531,26.29317293,4.575995290000002,-0.4758073470505769,26.917480689044993
luv_v,731,25.902288538203834,6.919083577725129,25.902 ± 6.919,4.40753248,42.39923865,9.597047109999998,-0.26664789674431616,26.712248099313797
xyz_X,731,0.19841800434473328,0.06270415229492696,0.198 ± 0.063,0.031869052,0.353078951,0.0866373845,-0.1580173959505023,31.602047657925326
xyz_Y,731,0.2042715039357045,0.0653007931060505,0.204 ± 0.065,0.032882218,0.377649896,0.091733765,-0.15347702856338236,31.967646905171975
xyz_Z,731,0.1211166806976744,0.04408475854654952,0.121 ± 0.044,0.019993433,0.332216079,0.056526963,0.7769817302844148,36.398585473615945
soc,731,2.221422708618331,1.0250004479671835,2.221 ± 1.025,0.99,7.76,0.9199999999999997,2.904133456190458,46.14162104270141
moisture,731,18.696279069767442,20.400998668782304,18.696 ± 20.401,0.0,86.86,25.73,1.2461054609217523,109.1179618824339
