Composite rank,RMSE rank,Model,Composite score,Mean RMSE,Mean MAE,Mean R²,Mean RPD,Mean RPIQ
1,1,WeightedEnsemble_L2,1.0,0.5256,0.4375,-1.2136,0.9245,1.8391
2,2,NeuralNetTorch,0.919,0.5391,0.4472,-1.3578,0.9114,1.8148
3,3,NeuralNetFastAI,0.6519,0.5596,0.4798,-1.4557,0.8371,1.6551
4,4,LightGBMXT,0.4056,0.5881,0.5018,-1.7329,0.783,1.5365
5,5,CatBoost,0.3632,0.5938,0.513,-1.8083,0.7766,1.5229
6,6,LightGBM,0.2226,0.6104,0.5217,-1.9257,0.7431,1.4505
7,7,ExtraTreesMSE,0.2058,0.6168,0.5194,-2.1221,0.7504,1.4661
8,9,XGBoost,0.1431,0.6227,0.5418,-2.0695,0.7317,1.4281
9,8,LightGBMLarge,0.1295,0.6225,0.5554,-2.0493,0.728,1.419
10,10,RandomForestMSE,0.0041,0.6431,0.5457,-2.3052,0.706,1.3742
