Composite rank,RMSE rank,Model,Composite score,Mean RMSE,Mean MAE,Mean R²,Mean RPD,Mean RPIQ
1,1,WeightedEnsemble_L2,1.0,0.7884,0.6098,-0.0409,0.9925,0.8499
2,3,NeuralNetFastAI,0.8754,0.8303,0.6588,-0.2009,0.9325,0.8221
3,2,LightGBMXT,0.8658,0.8274,0.6522,-0.1677,0.9335,0.7956
4,4,CatBoost,0.8387,0.8311,0.6505,-0.2169,0.919,0.7824
5,6,LightGBMLarge,0.818,0.838,0.6605,-0.2392,0.9106,0.7756
6,5,LightGBM,0.8129,0.8364,0.6581,-0.2472,0.9086,0.7687
7,7,XGBoost,0.7601,0.8486,0.6734,-0.3112,0.8883,0.7401
8,8,NeuralNetTorch,0.6229,0.8804,0.6883,-0.6378,0.8491,0.6507
9,9,ExtraTreesMSE,0.2823,0.9882,0.7436,-1.4817,0.7224,0.5168
10,10,RandomForestMSE,0.0,1.107,0.8067,-2.4042,0.6351,0.4383
