Validation design,Metric,Estimate,95% CI lower,95% CI upper,Valid_Bootstrap_Replicates
Sample-grouped,R2,-0.2055613890107943,-3.7851010334942687,-0.0384359167728445,
Sample-grouped,RMSE,1.94818046804635,0.3848768003094283,3.6303645685898656,
Sample-grouped,MAE,1.13299544964539,0.314128969736842,3.1168452162393163,
Sample-grouped,RPD,0.9140098444616186,0.3057327572467823,0.9855036165479332,
Sample-grouped,RPIQ,0.3849746018407143,0.0,1.8964925830698955,
Sample-grouped,Bias,-0.8708689730496453,-3.1155472811965814,0.1701864881578947,
KS image-level,R2,0.8264869614230301,-0.062570678625033,0.9238221833077987,5000.0
KS image-level,RMSE,0.4415151832728953,0.2999766430269313,0.5898949362408811,5000.0
KS image-level,MAE,0.2866631890410959,0.2045766307391737,0.39279339723494,5000.0
KS image-level,RPD,2.4089421415034056,0.9734230847131116,3.636244263343287,5000.0
KS image-level,RPIQ,2.083733549501418,0.9551228765524732,3.265895692593721,5000.0
KS image-level,Bias,0.0838053863013698,-0.0542366007174568,0.2114644867775496,5000.0
