Model,N_Folds,Mean_R2,Mean_RMSE,Mean_MAE,Mean_RPD,Mean_RPIQ,RPD_norm,RPIQ_norm,RMSE_norm,R2_norm,MAE_norm,Composite_Score,Held_Out_Series
WeightedEnsemble_L2,4,-1.856751642301715e+29,0.26553207193283046,0.24323420651898814,0.3590275553253458,0.7154012530240019,1.0,1.0,1.0,1.0,1.0,1.0,1
NeuralNetTorch,4,-1.9678561738833336e+29,0.2731849485211314,0.251240563918906,0.3590275553253458,0.7154012530240019,1.0,1.0,0.907004347036659,0.867756392768139,0.8910327777249173,0.9561159672087985,1
NeuralNetFastAI,4,-1.856751642301715e+29,0.29203680750201516,0.26186310296881743,0.30395486124790316,0.6057313906025628,0.41239043505972506,0.4117485482784655,0.6779217379978353,1.0,0.7464590950924976,0.5701810916947121,1
XGBoost,4,-2.283918413376768e+29,0.30482712192726275,0.2697042882369348,0.31755446835191425,0.6327325465542304,0.5574942718633034,0.5565783933793107,0.522497352427492,0.49155922002107183,0.6397398799323275,0.5444879409822595,1
LightGBMLarge,4,-2.3959429399691376e+29,0.3132647275786617,0.27575859407095527,0.31313948072910813,0.6239218611606592,0.5103876430754373,0.509319298136598,0.4199658875664822,0.3582205768161045,0.5573402496655341,0.47155877612954133,1
LightGBMXT,4,-2.5306210083650197e+29,0.31371414647619744,0.28067477371947036,0.31621325371552855,0.6300507304831853,0.543183903318959,0.5421935645648083,0.41450467264315616,0.1979182621746256,0.4904306160149704,0.46277296195841133,1
CatBoost,4,-2.553024388345632e+29,0.3132444045133587,0.28146110606056457,0.3141206495854373,0.6258710362405749,0.5208564282775882,0.5197743588534038,0.42021284787039664,0.1712523490867712,0.4797285642935498,0.4459601897622793,1
LightGBM,4,-2.5866750523700352e+29,0.31752965551970735,0.2793236906572208,0.31270903980165843,0.6230591898960725,0.5057949640654811,0.5046920686266211,0.36813965541144433,0.13119921054250377,0.5088189742910771,0.42195001595779197,1
RandomForestMSE,4,-2.5034543532135507e+29,0.34782491406511495,0.316709121569187,0.265304278232264,0.5289676078532383,0.0,0.0,0.0,0.23025372520670817,0.0,0.03453805878100622,1
ExtraTreesMSE,4,-2.6969021335600218e+29,0.34478516056409353,0.3112794965511997,0.26555096237745907,0.5294224681107311,0.0026320477990764177,0.0024397970499167843,0.03693824909018293,0.0,0.07389766989560652,0.012613699304972853,1
