Held_Out_Series,Inner_Fold,Feature,Stage1_N,Stage2_N,Stage3_N,Stage4_N,PC1_Variance,PC2_Variance,PC12_Cumulative
1,1,mean_s,31,29,24,7,0.5980605616709844,0.17564692660358258,0.773707488274567
1,1,lab_b,31,29,24,7,0.5980605616709844,0.17564692660358258,0.773707488274567
1,1,SI,31,29,24,7,0.5980605616709844,0.17564692660358258,0.773707488274567
1,1,mean_r,31,29,24,7,0.5980605616709844,0.17564692660358258,0.773707488274567
1,1,energy,31,29,24,7,0.5980605616709844,0.17564692660358258,0.773707488274567
1,1,mean_b,31,29,24,7,0.5980605616709844,0.17564692660358258,0.773707488274567
1,1,CI,31,29,24,7,0.5980605616709844,0.17564692660358258,0.773707488274567
1,2,lab_b,31,31,27,8,0.6258897714873556,0.16307721406226652,0.7889669855496221
1,2,mean_s,31,31,27,8,0.6258897714873556,0.16307721406226652,0.7889669855496221
1,2,mean_r,31,31,27,8,0.6258897714873556,0.16307721406226652,0.7889669855496221
1,2,SI,31,31,27,8,0.6258897714873556,0.16307721406226652,0.7889669855496221
1,2,contrast,31,31,27,8,0.6258897714873556,0.16307721406226652,0.7889669855496221
1,2,CI,31,31,27,8,0.6258897714873556,0.16307721406226652,0.7889669855496221
1,2,mean_b,31,31,27,8,0.6258897714873556,0.16307721406226652,0.7889669855496221
1,2,lab_a,31,31,27,8,0.6258897714873556,0.16307721406226652,0.7889669855496221
1,3,mean_h,32,31,28,8,0.5854937690834578,0.18449110876146543,0.7699848778449233
1,3,luv_v,32,31,28,8,0.5854937690834578,0.18449110876146543,0.7699848778449233
1,3,mean_g,32,31,28,8,0.5854937690834578,0.18449110876146543,0.7699848778449233
1,3,SI,32,31,28,8,0.5854937690834578,0.18449110876146543,0.7699848778449233
1,3,luv_u,32,31,28,8,0.5854937690834578,0.18449110876146543,0.7699848778449233
1,3,contrast,32,31,28,8,0.5854937690834578,0.18449110876146543,0.7699848778449233
1,3,mean_s,32,31,28,8,0.5854937690834578,0.18449110876146543,0.7699848778449233
1,3,CI,32,31,28,8,0.5854937690834578,0.18449110876146543,0.7699848778449233
1,4,luv_v,32,32,27,8,0.5897164572138311,0.17987627914711676,0.7695927363609479
1,4,mean_r,32,32,27,8,0.5897164572138311,0.17987627914711676,0.7695927363609479
1,4,SI,32,32,27,8,0.5897164572138311,0.17987627914711676,0.7695927363609479
1,4,mean_h,32,32,27,8,0.5897164572138311,0.17987627914711676,0.7695927363609479
1,4,mean_s,32,32,27,8,0.5897164572138311,0.17987627914711676,0.7695927363609479
1,4,entropy,32,32,27,8,0.5897164572138311,0.17987627914711676,0.7695927363609479
1,4,xyz_Z,32,32,27,8,0.5897164572138311,0.17987627914711676,0.7695927363609479
1,4,CI,32,32,27,8,0.5897164572138311,0.17987627914711676,0.7695927363609479
2,1,SI,32,32,28,8,0.5277974815417809,0.19024471583643648,0.7180421973782174
2,1,CI,32,32,28,8,0.5277974815417809,0.19024471583643648,0.7180421973782174
2,1,HI,32,32,28,8,0.5277974815417809,0.19024471583643648,0.7180421973782174
2,1,lab_b,32,32,28,8,0.5277974815417809,0.19024471583643648,0.7180421973782174
2,1,entropy,32,32,28,8,0.5277974815417809,0.19024471583643648,0.7180421973782174
